season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2023,1,Michigan,Big Ten,2677.1,15,0,15,1,15-0,Washington,2430.3,1697.5,NA,2026-09-17T12:34:46Z,5621,2752.1,2681.1,2026-09-17,-4
2023,2,Georgia,SEC,2514.1,13,1,14,0.929,13-1,Florida St,2262,1678.2,NA,2026-09-17T12:34:46Z,4631.5,2473.5,2514.7,2026-09-17,-0.6
2023,3,Washington,Pac-12,2430.3,14,1,15,0.933,14-1,Oregon,2292.4,1796.2,NA,2026-09-17T12:34:46Z,5747.8,2407.1,2437,2026-09-17,-6.7
2023,4,Alabama,SEC,2366.1,12,2,14,0.857,12-2,Georgia,2514.1,1776.7,NA,2026-09-17T12:34:46Z,4354.5,2222.8,2367.1,2026-09-17,-1
2023,5,Oregon,Pac-12,2292.4,12,2,14,0.857,12-2,Liberty,1994.5,1650.3,NA,2026-09-17T12:34:46Z,2864.1,2143.2,2301.1,2026-09-17,-8.7
2023,6,Florida St,ACC,2262,13,1,14,0.929,13-1,LSU,2096.2,1583.7,NA,2026-09-17T12:34:46Z,3480.1,2223.2,2263.5,2026-09-17,-1.5
2023,7,Texas,Big 12,2250.4,12,2,14,0.857,12-2,Alabama,2366.1,1720.9,NA,2026-09-17T12:34:46Z,3843.3,2113.4,2255,2026-09-17,-4.6
2023,8,Missouri,SEC,2233.9,10,2,12,0.833,10-2,Ohio State,2173.2,1749.2,NA,2026-09-17T12:34:46Z,3366.1,2060,2234.1,2026-09-17,-0.2
2023,9,Ole Miss,SEC,2192.3,11,2,13,0.846,11-2,LSU,2096.2,1576.5,NA,2026-09-17T12:34:46Z,2665.1,2034.6,2194.2,2026-09-17,-1.9
2023,10,Ohio State,Big Ten,2173.2,11,2,13,0.846,11-2,Penn State,2056.9,1715.7,NA,2026-09-17T12:34:46Z,2869.9,2019.3,2176.7,2026-09-17,-3.5
2023,11,LSU,SEC,2096.2,10,3,13,0.769,10-3,Missouri,2233.9,1645.4,NA,2026-09-17T12:34:46Z,2294.5,1838.5,2095,2026-09-17,1.2
2023,12,Arizona,Pac-12,2075.4,10,3,13,0.769,10-3,Oklahoma,1971.7,1557.2,NA,2026-09-17T12:34:46Z,2124,1818.9,2087.4,2026-09-17,-12
2023,13,Penn State,Big Ten,2056.9,10,3,13,0.769,10-3,Iowa,1828,1689.6,NA,2026-09-17T12:34:46Z,2183.6,1803.7,2060.4,2026-09-17,-3.5
2023,14,Notre Dame,Independent,2002.5,10,3,13,0.769,10-3,NC State,1865.9,1573.2,NA,2026-09-17T12:34:46Z,1950.1,1754.7,2011.3,2026-09-17,-8.8
2023,15,Liberty,C-USA,1994.5,13,1,14,0.929,13-1,Western KY,1504,1319.4,NA,2026-09-17T12:34:46Z,757.8,1935.8,1999.1,2026-09-17,-4.6
2023,16,Oklahoma,Big 12,1971.7,10,3,13,0.769,10-3,Texas,2250.4,1654.4,NA,2026-09-17T12:34:46Z,2680.9,1736,1978.5,2026-09-17,-6.8
2023,17,Tennessee,SEC,1958.3,9,4,13,0.692,9-4,Iowa,1828,1618.9,NA,2026-09-17T12:34:46Z,1752.1,1612,1955.9,2026-09-17,2.4
2023,18,Kansas St,Big 12,1954.8,9,4,13,0.692,9-4,NC State,1865.9,1623.6,NA,2026-09-17T12:34:46Z,2357.9,1615.9,1960.4,2026-09-17,-5.6
2023,19,Clemson,ACC,1899,9,4,13,0.692,9-4,Notre Dame,2002.5,1620.9,NA,2026-09-17T12:34:46Z,1952,1566.8,1903.5,2026-09-17,-4.5
2023,20,NC State,ACC,1865.9,8,4,12,0.667,8-4,Clemson,1899,1576,NA,2026-09-17T12:34:46Z,1655.1,1504.1,1873.6,2026-09-17,-7.7
2023,21,Kansas,Big 12,1856.7,9,4,13,0.692,9-4,Oklahoma,1971.7,1580.2,NA,2026-09-17T12:34:46Z,1629.8,1529.1,1862,2026-09-17,-5.3
2023,22,Troy,Sun Belt,1850.2,11,3,14,0.786,11-3,App State,1683.3,1409,NA,2026-09-17T12:34:46Z,1126.7,1634.9,1854.5,2026-09-17,-4.3
2023,23,Duke,ACC,1842.8,8,5,13,0.615,8-5,Clemson,1899,1619.7,NA,2026-09-17T12:34:46Z,1979,1421.1,1848.9,2026-09-17,-6.1
2023,24,Iowa,Big Ten,1828,10,4,14,0.714,10-4,Northwestern,1741.7,1662.5,NA,2026-09-17T12:34:46Z,1836.6,1536.3,1830,2026-09-17,-2
2023,25,Louisville,ACC,1827.2,10,4,14,0.714,10-4,Notre Dame,2002.5,1637.5,NA,2026-09-17T12:34:46Z,2931.7,1547,1832.1,2026-09-17,-4.9
2023,26,Oregon St,Pac-12,1826.8,8,5,13,0.615,8-5,Utah,1724.9,1690.8,NA,2026-09-17T12:34:46Z,1223.3,1399.6,1839.5,2026-09-17,-12.7
2023,27,West Virginia,Big 12,1792.9,9,4,13,0.692,9-4,Texas Tech,1708.5,1497.6,NA,2026-09-17T12:34:46Z,1250.5,1472.9,1799.2,2026-09-17,-6.3
2023,28,USC,Pac-12,1792.4,8,5,13,0.615,8-5,Arizona,2075.4,1722.6,NA,2026-09-17T12:34:46Z,1839.4,1381.8,1801.5,2026-09-17,-9.1
2023,29,Oklahoma St,Big 12,1790.9,10,4,14,0.714,10-4,Oklahoma,1971.7,1606.8,NA,2026-09-17T12:34:46Z,2733.8,1515.4,1796,2026-09-17,-5.1
2023,30,James Madison,Sun Belt,1784,11,2,13,0.846,11-2,Troy,1850.2,1378.8,NA,2026-09-17T12:34:46Z,1212.6,1648.5,1787.5,2026-09-17,-3.5
2023,31,Kentucky,SEC,1778.8,7,6,13,0.538,7-6,Louisville,1827.2,1617,NA,2026-09-17T12:34:46Z,811,1254.8,1769.9,2026-09-17,8.9
2023,32,Memphis,AAC,1766.5,10,3,13,0.769,10-3,Iowa State,1741.6,1382.7,NA,2026-09-17T12:34:46Z,775.5,1536.8,1770.8,2026-09-17,-4.3
2023,33,Maryland,Big Ten,1759,8,5,13,0.615,8-5,Rutgers,1677.9,1568.5,NA,2026-09-17T12:34:46Z,741.7,1341.2,1760.6,2026-09-17,-1.6
2023,34,Northwestern,Big Ten,1741.7,8,5,13,0.615,8-5,Maryland,1759,1548.6,NA,2026-09-17T12:34:46Z,1397.8,1338.5,1747.8,2026-09-17,-6.1
2023,35,Iowa State,Big 12,1741.6,7,6,13,0.538,7-6,Kansas St,1954.8,1611.8,NA,2026-09-17T12:34:46Z,1360.2,1237.5,1746.4,2026-09-17,-4.8
2023,36,Virginia Tech,ACC,1740,7,6,13,0.538,7-6,Tulane,1678.3,1589,NA,2026-09-17T12:34:46Z,681.8,1225.7,1745.9,2026-09-17,-5.9
2023,37,Utah,Pac-12,1724.9,7,5,12,0.583,7-5,USC,1792.4,1640.4,NA,2026-09-17T12:34:46Z,1186,1282.3,1750.9,2026-09-17,-26
2023,38,Texas Tech,Big 12,1708.5,7,6,13,0.538,7-6,Kansas,1856.7,1582.4,NA,2026-09-17T12:34:46Z,1239,1213,1715.9,2026-09-17,-7.4
