season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2009,112,E Illinois,NA,1232.3,1,1,2,0.5,1-1,Jacksonville St,1195.9,1610.9,2026-05-21T03:43:14Z,1195.9
2009,113,San Diego St,Mountain West,1231.3,4,8,12,0.333,4-8,Southern Utah,1152.4,1463.3,2026-05-21T03:43:14Z,3964.3
2009,114,Furman,NA,1227.7,1,3,4,0.25,1-3,Ga Southern,929.7,1521,2026-05-21T03:43:14Z,929.7
2009,115,Maryland,ACC,1225.7,2,10,12,0.167,2-10,Clemson,1882.1,1679,2026-05-21T03:43:14Z,3331.2
2009,116,Texas State,Sun Belt,1221,7,4,11,0.636,7-4,SF Austin,1062.3,1034.6,2026-05-21T03:43:14Z,5302.8
2009,117,Jacksonville St,Independent,1195.9,8,3,11,0.727,8-3,Nicholls State,681.4,843.1,2026-05-21T03:43:14Z,4184.8
2009,118,Louisiana,Sun Belt,1187.3,6,6,12,0.5,6-6,Kansas State,1568,1243.5,2026-05-21T03:43:14Z,5408.3
2009,119,UL Monroe,Sun Belt,1184.4,5,6,11,0.455,5-6,FAU,1271.5,1285,2026-05-21T03:43:14Z,4291.8
2009,120,Army,Independent,1180,5,6,11,0.455,5-6,Vanderbilt,1168.7,1206.6,2026-05-21T03:43:14Z,4061.6
2009,121,Maine,NA,1174.2,1,3,4,0.25,1-3,UMass,1100.6,1379.3,2026-05-21T03:43:14Z,1100.6
2009,122,Vanderbilt,SEC,1168.7,2,10,12,0.167,2-10,Rice,1073.6,1676.9,2026-05-21T03:43:14Z,1638.4
2009,123,Southern Utah,NA,1152.4,1,2,3,0.333,1-2,Texas State,1221,1239.5,2026-05-21T03:43:14Z,1221
2009,124,Memphis,C-USA,1150.7,2,8,10,0.2,2-8,UTEP,1287.2,1429,2026-05-21T03:43:14Z,1859.4
2009,125,Samford,NA,1149.6,1,2,3,0.333,1-2,Ga Southern,929.7,1389.9,2026-05-21T03:43:14Z,929.7
