season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr
2022,1,Georgia,SEC,2630.6,15,0,15,1,15-0,TCU,2280.3,1771.5,NA,2026-08-13T20:12:41Z,6621.6,2712
2022,2,Michigan,Big Ten,2367,13,1,14,0.929,13-1,Ohio State,2239.9,1630.1,NA,2026-08-13T20:12:41Z,3555,2324.3
2022,3,TCU,Big 12,2280.3,13,2,15,0.867,13-2,Michigan,2367,1716.8,NA,2026-08-13T20:12:41Z,4458.9,2159.9
2022,4,Alabama,SEC,2268.6,11,2,13,0.846,11-2,Kansas St,2022.3,1698.9,NA,2026-08-13T20:12:41Z,3549.1,2111.6
2022,5,Ohio State,Big Ten,2239.9,11,2,13,0.846,11-2,Penn State,2148.4,1705.5,NA,2026-08-13T20:12:41Z,2929.4,2080.2
2022,6,Tennessee,SEC,2150,11,2,13,0.846,11-2,Alabama,2268.6,1695.8,NA,2026-08-13T20:12:41Z,3882.8,2007
2022,7,Penn State,Big Ten,2148.4,11,2,13,0.846,11-2,Utah,1996.5,1640.4,NA,2026-08-13T20:12:41Z,2454.9,1992.8
2022,8,Kansas St,Big 12,2022.3,10,4,14,0.714,10-4,TCU,2280.3,1771.1,NA,2026-08-13T20:12:41Z,3119.3,1708.1
2022,9,Tulane,AAC,2017.3,12,2,14,0.857,12-2,Kansas St,2022.3,1426.6,NA,2026-08-13T20:12:41Z,3066.7,1894.3
2022,10,USC,Pac-12,2005.1,11,3,14,0.786,11-3,Notre Dame,1981.4,1639.9,NA,2026-08-13T20:12:41Z,2619.9,1786.5
2022,11,Oregon,Pac-12,2000.1,10,3,13,0.769,10-3,Utah,1996.5,1635.7,NA,2026-08-13T20:12:41Z,2155,1754.9
2022,12,Utah,Pac-12,1996.5,10,4,14,0.714,10-4,USC,2005.1,1645.2,NA,2026-08-13T20:12:41Z,2465.1,1680.8
2022,13,Washington,Pac-12,1993.4,11,2,13,0.846,11-2,Oregon,2000.1,1503.9,NA,2026-08-13T20:12:41Z,2563.1,1853.7
2022,14,LSU,SEC,1993.3,10,4,14,0.714,10-4,Alabama,2268.6,1697.8,NA,2026-08-13T20:12:41Z,3515.9,1687.8
2022,15,Notre Dame,Independent,1981.4,9,4,13,0.692,9-4,Clemson,1971.7,1597.9,NA,2026-08-13T20:12:41Z,1943.2,1632.8
2022,16,Clemson,ACC,1971.7,11,3,14,0.786,11-3,Florida St,1924.6,1542.7,NA,2026-08-13T20:12:41Z,2493,1756.4
