season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score
2017,198,S Illinois,FCS,549.4,0,2,2,0,0-2,NA,NA,1341.2,NA,2026-05-24T09:10:53Z,NA
2017,199,Indiana State,FCS,547.4,0,4,4,0,0-4,NA,NA,1196.9,NA,2026-05-24T09:10:53Z,NA
2017,200,Murray State,FCS,522.4,0,3,3,0,0-3,NA,NA,1325.5,NA,2026-05-24T09:10:53Z,NA
2017,201,NC A&T,FCS,521.7,1,0,1,1,1-0,Charlotte,603.9,603.9,NA,2026-05-24T09:10:53Z,603.9
2017,202,Cal Poly,FCS,498.4,0,2,2,0,0-2,NA,NA,884.5,NA,2026-05-24T09:10:53Z,NA
2017,203,The Citadel,FCS,184.8,0,1,1,0,0-1,NA,NA,2274.1,NA,2026-05-24T09:10:53Z,NA
2017,204,N Greenville,FCS,184.6,0,1,1,0,0-1,NA,NA,1496,NA,2026-05-24T09:10:53Z,NA
2017,205,San Diego,FCS,184.5,0,1,1,0,0-1,NA,NA,1754.7,NA,2026-05-24T09:10:53Z,NA
2017,206,Duquesne,FCS,182.8,0,1,1,0,0-1,NA,NA,1025.3,NA,2026-05-24T09:10:53Z,NA
2017,207,PV A&M,FCS,182.7,0,1,1,0,0-1,NA,NA,1415,NA,2026-05-24T09:10:53Z,NA
2017,208,Alcorn State,FCS,182.5,0,1,1,0,0-1,NA,NA,1435.7,NA,2026-05-24T09:10:53Z,NA
2017,209,Holy Cross,FCS,181.9,0,1,1,0,0-1,NA,NA,1226.2,NA,2026-05-24T09:10:53Z,NA
2017,210,Robert Morris,FCS,181.8,0,1,1,0,0-1,NA,NA,1754.7,NA,2026-05-24T09:10:53Z,NA
2017,211,Norfolk State,FCS,181.7,0,1,1,0,0-1,NA,NA,1772,NA,2026-05-24T09:10:53Z,NA
2017,212,ETSU,FCS,181.2,0,1,1,0,0-1,NA,NA,1772,NA,2026-05-24T09:10:53Z,NA
2017,213,Furman,FCS,181.1,0,1,1,0,0-1,NA,NA,1919.9,NA,2026-05-24T09:10:53Z,NA
2017,214,Texas Southern,FCS,181,0,1,1,0,0-1,NA,NA,1496,NA,2026-05-24T09:10:53Z,NA
2017,215,Montana,FCS,180.7,0,1,1,0,0-1,NA,NA,1923.1,NA,2026-05-24T09:10:53Z,NA
2017,216,Grambling,FCS,180.3,0,1,1,0,0-1,NA,NA,1476.5,NA,2026-05-24T09:10:53Z,NA
2017,217,Colgate,FCS,179.7,0,1,1,0,0-1,NA,NA,1398.4,NA,2026-05-24T09:10:53Z,NA
2017,218,NC Central,FCS,179.7,0,1,1,0,0-1,NA,NA,1775,NA,2026-05-24T09:10:53Z,NA
2017,219,Fordham,FCS,179.6,0,1,1,0,0-1,NA,NA,1754.4,NA,2026-05-24T09:10:53Z,NA
