season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score
2017,118,UNH,FCS,1153.5,1,1,2,0.5,1-1,Ga Southern,994,1383,NA,2026-05-24T09:10:53Z,994
2017,119,Charleston So,FCS,1153.1,1,3,4,0.25,1-3,Liberty,1025.3,1530.2,NA,2026-05-24T09:10:53Z,1025.3
2017,120,Tennessee St,FCS,1151.6,1,1,2,0.5,1-1,Georgia State,1208.9,1316.1,NA,2026-05-24T09:10:53Z,1208.9
2017,121,BYU,Independent,1145.9,4,9,13,0.308,4-9,UNLV,1161.2,1438.4,NA,2026-05-24T09:10:53Z,3512.9
2017,122,N Arizona,FCS,1145.9,1,1,2,0.5,1-1,Sacramento St,973.7,1264.8,NA,2026-05-24T09:10:53Z,973.7
2017,123,Old Dominion,C-USA,1141.5,5,7,12,0.417,5-7,FIU,1435.7,1259.3,NA,2026-05-24T09:10:53Z,4660.5
2017,124,New Mexico,Mountain West,1134.8,3,9,12,0.25,3-9,Air Force,1340.3,1388.5,NA,2026-05-24T09:10:53Z,3235.9
2017,125,UMass,Independent,1133.2,4,8,12,0.333,4-8,Appalachian St,1632.1,1278.8,NA,2026-05-24T09:10:53Z,4395.6
2017,126,E Washington,FCS,1125.8,1,2,3,0.333,1-2,Sacramento St,973.7,1429,NA,2026-05-24T09:10:53Z,973.7
2017,127,Illinois,Big Ten,1110.6,2,10,12,0.167,2-10,W Kentucky,1107.7,1678,NA,2026-05-24T09:10:53Z,1994.3
2017,128,W Kentucky,C-USA,1107.7,6,7,13,0.462,6-7,Mid Tennessee,1388.2,1178.3,NA,2026-05-24T09:10:53Z,5303.5
2017,129,South Dakota,FCS,1093.8,1,2,3,0.333,1-2,Bowling Green,1064.7,1411.5,NA,2026-05-24T09:10:53Z,1064.7
2017,130,Louisiana,Sun Belt,1085.8,5,7,12,0.417,5-7,New Mexico St,1233.8,1208.9,NA,2026-05-24T09:10:53Z,4897.2
2017,131,Idaho,FCS,1085,4,8,12,0.333,4-8,Georgia State,1208.9,1249.8,NA,2026-05-24T09:10:53Z,4252.2
2017,132,UL Monroe,Sun Belt,1076.5,4,8,12,0.333,4-8,Appalachian St,1632.1,1366.4,NA,2026-05-24T09:10:53Z,4594.6
2017,133,Weber State,FCS,1065,1,2,3,0.333,1-2,Sacramento St,973.7,1422.4,NA,2026-05-24T09:10:53Z,973.7
2017,134,Bowling Green,MAC,1064.7,2,10,12,0.167,2-10,Miami (OH),1295.3,1436.1,NA,2026-05-24T09:10:53Z,2206.2
2017,135,Youngstown St,FCS,1046.9,1,2,3,0.333,1-2,Missouri State,726.1,1386.4,NA,2026-05-24T09:10:53Z,726.1
2017,136,Illinois State,FCS,1040,1,1,2,0.5,1-1,Missouri State,726.1,1240.4,NA,2026-05-24T09:10:53Z,726.1
2017,137,Delaware,FCS,1037.8,7,4,11,0.636,7-4,Stony Brook,682.7,889.6,NA,2026-05-24T09:10:53Z,4057.9
2017,138,Baylor,Big 12,1035.2,1,11,12,0.083,1-11,Kansas,825.5,1627.5,NA,2026-05-24T09:10:53Z,825.5
2017,139,Northern Iowa,FCS,1027.2,1,2,3,0.333,1-2,Missouri State,726.1,1433.9,NA,2026-05-24T09:10:53Z,726.1
2017,140,Liberty,FCS,1025.3,6,4,10,0.6,6-4,Baylor,1035.2,845.7,NA,2026-05-24T09:10:53Z,3199
2017,141,Ga Southern,Sun Belt,994,2,10,12,0.167,2-10,Louisiana,1085.8,1355.5,NA,2026-05-24T09:10:53Z,2078.9
2017,142,South Alabama,Sun Belt,993.1,4,8,12,0.333,4-8,Troy,1681.6,1280.9,NA,2026-05-24T09:10:53Z,4655.4
2017,143,C. Carolina,Sun Belt,987.5,3,9,12,0.25,3-9,UMass,1133.2,1252.1,NA,2026-05-24T09:10:53Z,3212.2
2017,144,Sacramento St,FCS,973.7,7,4,11,0.636,7-4,North Dakota,899.7,813.7,NA,2026-05-24T09:10:53Z,4529.4
2017,145,Hawai'i,Mountain West,915,3,9,12,0.25,3-9,UMass,1133.2,1257.6,NA,2026-05-24T09:10:53Z,2531.4
2017,146,Austin Peay,FCS,913.5,0,4,4,0,0-4,NA,NA,1589.1,NA,2026-05-24T09:10:53Z,NA
2017,147,Kent State,MAC,910.9,2,10,12,0.167,2-10,Miami (OH),1295.3,1436,NA,2026-05-24T09:10:53Z,2191.5
2017,148,Oregon State,Pac-12,909.5,1,11,12,0.083,1-11,Portland State,641.5,1572.7,NA,2026-05-24T09:10:53Z,641.5
2017,149,North Dakota,FCS,899.7,1,2,3,0.333,1-2,Missouri State,726.1,1120.2,NA,2026-05-24T09:10:53Z,726.1
