season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr
2021,1,Georgia,SEC,2473.6,13,1,14,0.929,13-1,Alabama,2390.1,1717.3,NA,2026-07-07T21:04:46Z,5068.7,2437.9
2021,2,Alabama,SEC,2390.1,12,2,14,0.857,12-2,Georgia,2473.6,1687,NA,2026-07-07T21:04:46Z,5032.5,2249.7
2021,3,Baylor,Big 12,2258.5,11,2,13,0.846,11-2,Oklahoma St,2197.5,1707.7,NA,2026-07-07T21:04:46Z,4556.2,2110.4
2021,4,Cincinnati,AAC,2219.1,12,1,13,0.923,12-1,Notre Dame,2048.8,1460,NA,2026-07-07T21:04:46Z,2474.1,2164.7
2021,5,Michigan,Big Ten,2201.3,11,2,13,0.846,11-2,Ohio State,2147.4,1679.2,NA,2026-07-07T21:04:46Z,2879.4,2044.8
2021,6,Oklahoma St,Big 12,2197.5,11,2,13,0.846,11-2,Baylor,2258.5,1739.2,NA,2026-07-07T21:04:46Z,4137.6,2052
2021,7,Ohio State,Big Ten,2147.4,10,2,12,0.833,10-2,Michigan State,2034.5,1659.1,NA,2026-07-07T21:04:46Z,3200.8,1981
2021,8,Oklahoma,Big 12,2056.5,10,2,12,0.833,10-2,Iowa State,1776.8,1551.5,NA,2026-07-07T21:04:46Z,2417.8,1892.1
2021,9,Notre Dame,Independent,2048.8,10,2,12,0.833,10-2,Wisconsin,1918.9,1579.8,NA,2026-07-07T21:04:46Z,1366.4,1873
2021,10,Michigan State,Big Ten,2034.5,10,2,12,0.833,10-2,Michigan,2201.3,1657.6,NA,2026-07-07T21:04:46Z,2717.1,1875.4
2021,11,Clemson,ACC,2005.3,9,3,12,0.75,9-3,Wake Forest,1835.6,1528,NA,2026-07-07T21:04:46Z,1911.7,1731.1
2021,12,Pitt,ACC,1999.7,11,2,13,0.846,11-2,Clemson,2005.3,1467.6,NA,2026-07-07T21:04:46Z,2112.5,1854.7
2021,13,Ole Miss,SEC,1997.9,9,3,12,0.75,9-3,Arkansas,1949.5,1639.3,NA,2026-07-07T21:04:46Z,2646.6,1732.6
2021,14,Utah,Pac-12,1966.7,10,3,13,0.769,10-3,Oregon,1758.7,1442.7,NA,2026-07-07T21:04:46Z,1661,1720.7
2021,15,Arkansas,SEC,1949.5,8,4,12,0.667,8-4,Texas A&M,1833.3,1677.7,NA,2026-07-07T21:04:46Z,2057.4,1574.3
2021,16,Louisiana,Sun Belt,1947.3,13,1,14,0.929,13-1,App State,1659.8,1306.6,NA,2026-07-07T21:04:46Z,1232.9,1898.2
2021,17,Purdue,Big Ten,1922.5,9,3,12,0.75,9-3,Michigan State,2034.5,1573.7,NA,2026-07-07T21:04:46Z,1998.6,1662.4
