season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr
2019,1,LSU,SEC,2683.8,14,0,14,1,14-0,Clemson,2399.7,1755.7,NA,2026-07-30T09:57:28Z,6263.9,2762.9
2019,2,Ohio State,Big Ten,2465.2,13,1,14,0.929,13-1,Penn State,2224.2,1834.5,NA,2026-07-30T09:57:28Z,5791.1,2434.7
2019,3,Clemson,ACC,2399.7,12,1,13,0.923,12-1,Ohio State,2465.2,1693.1,NA,2026-07-30T09:57:28Z,3243.9,2344
2019,4,Georgia,SEC,2333,11,1,12,0.917,11-1,Notre Dame,2078.7,1684.4,NA,2026-07-30T09:57:28Z,3570.8,2274.6
2019,5,Florida,SEC,2317.3,11,0,11,1,11-0,Auburn,2066.5,1429.8,NA,2026-07-30T09:57:28Z,2257.7,2364.8
2019,6,Penn State,Big Ten,2224.2,9,2,11,0.818,9-2,Memphis,2154.7,1684.4,NA,2026-07-30T09:57:28Z,2678,2023.4
2019,7,Alabama,SEC,2180.5,10,2,12,0.833,10-2,Michigan,2059.9,1541.4,NA,2026-07-30T09:57:28Z,1530.8,1993.2
2019,8,Wisconsin,Big Ten,2173.3,9,4,13,0.692,9-4,Iowa,2109.7,1781.3,NA,2026-07-30T09:57:28Z,2781.5,1795.3
2019,9,Memphis,AAC,2154.7,11,1,12,0.917,11-1,Cincinnati,1979.8,1512.2,NA,2026-07-30T09:57:28Z,2654.9,2097.1
2019,10,Oklahoma,Big 12,2114.4,11,2,13,0.846,11-2,Baylor,2002.9,1665.3,NA,2026-07-30T09:57:28Z,2970.7,1967
2019,11,Oregon,Pac-12,2111.3,11,2,13,0.846,11-2,Wisconsin,2173.3,1629.4,NA,2026-07-30T09:57:28Z,3262.7,1966.9
2019,12,Iowa,Big Ten,2109.7,10,2,12,0.833,10-2,Minnesota,2074.4,1646.3,NA,2026-07-30T09:57:28Z,2225.5,1937.8
2019,13,Notre Dame,Independent,2078.7,9,2,11,0.818,9-2,Navy,1966.8,1605.2,NA,2026-07-30T09:57:28Z,1918.9,1886.5
2019,14,Minnesota,Big Ten,2074.4,10,2,12,0.833,10-2,Penn State,2224.2,1561.8,NA,2026-07-30T09:57:28Z,1878.1,1902.3
2019,15,Auburn,SEC,2066.5,8,4,12,0.667,8-4,Alabama,2180.5,1811.4,NA,2026-07-30T09:57:28Z,2870.1,1674.3
2019,16,Michigan,Big Ten,2059.9,7,4,11,0.636,7-4,Iowa,2109.7,1865.6,NA,2026-07-30T09:57:28Z,2245.4,1617.5
2019,17,App State,Sun Belt,2058.7,13,1,14,0.929,13-1,Louisiana,1817.5,1368.7,NA,2026-07-30T09:57:28Z,1492.2,2008.3
2019,18,Baylor,Big 12,2002.9,10,3,13,0.769,10-3,Texas,1912.4,1617.6,NA,2026-07-30T09:57:28Z,2208.1,1757.9
2019,19,Cincinnati,AAC,1979.8,9,3,12,0.75,9-3,UCF,1905,1666.4,NA,2026-07-30T09:57:28Z,1608.9,1706
2019,20,N Dakota St,FCS,1979.6,13,0,13,1,13-0,James Madison,1534.8,783.2,NA,2026-07-30T09:57:28Z,184.8,1993.2
2019,21,Navy,AAC,1966.8,9,2,11,0.818,9-2,Air Force,1945.7,1518.4,NA,2026-07-30T09:57:28Z,1812.8,1786
2019,22,Washington,Pac-12,1951.7,7,4,11,0.636,7-4,Boise St,1898.7,1608.8,NA,2026-07-30T09:57:28Z,2134.5,1533.8
2019,23,Air Force,Mountain West,1945.7,8,2,10,0.8,8-2,Hawai'i,1732.7,1437,NA,2026-07-30T09:57:28Z,1373.8,1738.9
2019,24,Texas A&M,SEC,1924.2,7,4,11,0.636,7-4,Oklahoma St,1755.6,1657.5,NA,2026-07-30T09:57:28Z,889,1496.5
2019,25,Texas,Big 12,1912.4,8,4,12,0.667,8-4,Utah,1850.6,1700.3,NA,2026-07-30T09:57:28Z,1814.8,1542.5
2019,26,UCF,AAC,1905,9,3,12,0.75,9-3,FAU,1845.1,1361.1,NA,2026-07-30T09:57:28Z,1145.1,1636.8
2019,27,Boise St,Mountain West,1898.7,10,2,12,0.833,10-2,Air Force,1945.7,1465.3,NA,2026-07-30T09:57:28Z,1958.9,1745.8
2019,28,USC,Pac-12,1893.5,8,3,11,0.727,8-3,Utah,1850.6,1647.1,NA,2026-07-30T09:57:28Z,1881.8,1607.2
2019,29,Utah,Pac-12,1850.6,9,3,12,0.75,9-3,California,1725.7,1579.3,NA,2026-07-30T09:57:28Z,1700.5,1598.5
2019,30,FAU,C-USA,1845.1,9,3,12,0.75,9-3,SMU,1768.7,1414,NA,2026-07-30T09:57:28Z,618.4,1577.5
2019,31,Louisiana,Sun Belt,1817.5,10,3,13,0.769,10-3,Miami OH,1569.6,1419.7,NA,2026-07-30T09:57:28Z,766.4,1580.2
2019,32,Kansas St,Big 12,1781.2,7,5,12,0.583,7-5,Oklahoma,2114.4,1615.5,NA,2026-07-30T09:57:28Z,1791.8,1330.9
2019,33,SMU,AAC,1768.7,10,2,12,0.833,10-2,TCU,1607.3,1458.6,NA,2026-07-30T09:57:28Z,1044.6,1617.4
