season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2026,78,UTSA,AAC,849,2,1,3,0.667,2-1,Texas St,798.4,727.5,NA,2026-09-26T11:31:45Z,0,665.9,963.1,2026-09-20,-114.1
2026,79,Coastal,Sun Belt,844,1,3,4,0.25,1-3,Fordham,578.2,1028.9,NA,2026-09-26T11:31:45Z,0,367.4,843.6,2026-09-26,0.4
2026,80,TCU,Big 12,843.2,2,1,3,0.667,2-1,Arkansas St,500,531.5,NA,2026-09-26T11:31:45Z,0,661.3,661.5,2026-09-20,181.7
2026,81,Colorado St,Pac-12,828.3,2,1,3,0.667,2-1,Wyoming,431.3,593.9,NA,2026-09-26T11:31:45Z,0,649.6,975.4,2026-09-20,-147.1
2026,82,Troy,Sun Belt,827.6,2,1,3,0.667,2-1,Sam Houston,735.9,675.2,NA,2026-09-26T11:31:45Z,0,649.1,912.7,2026-09-20,-85.1
2026,83,Iowa State,Big 12,826.7,2,1,3,0.667,2-1,Bowling Green,232.8,482.1,NA,2026-09-26T11:31:45Z,0,648.4,826.7,2026-09-26,0
2026,84,Toledo,MAC,818.8,2,1,3,0.667,2-1,Temple,782.1,679,NA,2026-09-26T11:31:45Z,0,642.2,773.9,2026-09-26,44.9
2026,85,Arizona,Big 12,799.9,2,1,3,0.667,2-1,N Illinois,257.7,535,NA,2026-09-26T11:31:45Z,0,627.4,677.1,2026-09-20,122.8
2026,86,Tulane,AAC,799.2,1,2,3,0.333,1-2,South Alabama,875.2,1086.9,NA,2026-09-26T11:31:45Z,0,413.2,708.9,2026-09-20,90.3
2026,87,Texas St,Pac-12,798.4,1,2,3,0.333,1-2,North Texas,722.6,935.7,NA,2026-09-26T11:31:45Z,0,412.7,755.7,2026-09-20,42.7
2026,88,E Michigan,MAC,783.7,1,3,4,0.25,1-3,Sacramento St,744.2,1018.7,NA,2026-09-26T11:31:45Z,0,341.1,625.5,2026-09-20,158.2
