season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr
2025,1,Indiana,Big Ten,2735,16,0,16,1,16-0,Oregon,2425.9,1763.8,NA,2026-06-23T21:25:36Z,7392.8,2821
2025,2,Oregon,Big Ten,2425.9,13,2,15,0.867,13-2,Texas Tech,2280,1706.9,NA,2026-06-23T21:25:36Z,4780.3,2296
2025,3,Miami,ACC,2316.6,13,3,16,0.812,13-3,Ole Miss,2279.5,1775.2,NA,2026-06-23T21:25:36Z,5171.2,2116.4
2025,4,Georgia,SEC,2283.1,12,2,14,0.857,12-2,Ole Miss,2279.5,1687,NA,2026-06-23T21:25:36Z,3816,2143
2025,5,Texas Tech,Big 12,2280,12,2,14,0.857,12-2,BYU,2109.5,1526.4,NA,2026-06-23T21:25:36Z,3415.6,2136.8
2025,6,Ole Miss,SEC,2279.5,13,2,15,0.867,13-2,Georgia,2283.1,1682.4,NA,2026-06-23T21:25:36Z,4271.1,2157.8
2025,7,Ohio State,Big Ten,2245.1,12,2,14,0.857,12-2,Texas,2122.2,1698.5,NA,2026-06-23T21:25:36Z,3820.3,2108.4
2025,8,Notre Dame,Independent,2244.8,10,2,12,0.833,10-2,USC,1984.4,1655.7,NA,2026-06-23T21:25:36Z,2487.9,2061.6
2025,9,Texas,SEC,2122.2,10,3,13,0.769,10-3,Oklahoma,2061.7,1628,NA,2026-06-23T21:25:36Z,2870.1,1866.3
2025,10,BYU,Big 12,2109.5,12,2,14,0.857,12-2,Utah,2093.8,1679.1,NA,2026-06-23T21:25:36Z,3594.7,1982.9
2025,11,Utah,Big 12,2093.8,11,2,13,0.846,11-2,Kansas St,1796.7,1588.6,NA,2026-06-23T21:25:36Z,1924.6,1937.8
2025,12,Oklahoma,SEC,2061.7,10,2,12,0.833,10-2,Alabama,2014.6,1667.4,NA,2026-06-23T21:25:36Z,2777.2,1900.3
2025,13,Texas A&M,SEC,2042.3,11,2,13,0.846,11-2,Notre Dame,2244.8,1650.2,NA,2026-06-23T21:25:36Z,2821.8,1900.4
2025,14,Alabama,SEC,2014.6,10,4,14,0.714,10-4,Georgia,2283.1,1699.2,NA,2026-06-23T21:25:36Z,3228.3,1702.7
2025,15,Iowa,Big Ten,2006.5,9,4,13,0.692,9-4,Vanderbilt,1949.2,1626.5,NA,2026-06-23T21:25:36Z,2082.5,1654.4
2025,16,USC,Big Ten,1984.4,9,4,13,0.692,9-4,Iowa,2006.5,1713.2,NA,2026-06-23T21:25:36Z,1941.3,1635.1
2025,17,SMU,ACC,1959.3,9,4,13,0.692,9-4,Miami,2316.6,1534.2,NA,2026-06-23T21:25:36Z,2429,1620.2
2025,18,James Madison,Sun Belt,1952.2,12,2,14,0.857,12-2,Old Dominion,1762.8,1402.2,NA,2026-06-23T21:25:36Z,1019.2,1811.5
2025,19,Vanderbilt,SEC,1949.2,10,3,13,0.769,10-3,Tennessee,1731.7,1559.1,NA,2026-06-23T21:25:36Z,1849.8,1708
2025,20,Tulane,AAC,1925,11,3,14,0.786,11-3,North Texas,1905.1,1592.1,NA,2026-06-23T21:25:36Z,2276.1,1713.7
2025,21,North Texas,AAC,1905.1,12,2,14,0.857,12-2,Navy,1901.2,1414.4,NA,2026-06-23T21:25:36Z,2073.6,1782.2
2025,22,Navy,AAC,1901.2,10,2,12,0.833,10-2,South Florida,1787.6,1398.3,NA,2026-06-23T21:25:36Z,1012.5,1735.6
2025,23,Michigan,Big Ten,1883.9,9,4,13,0.692,9-4,Washington,1859.4,1686.5,NA,2026-06-23T21:25:36Z,1547.4,1549.8
2025,24,TCU,Big 12,1876.8,9,4,13,0.692,9-4,USC,1984.4,1621.5,NA,2026-06-23T21:25:36Z,2272.4,1552.5
2025,25,Louisville,ACC,1872,9,4,13,0.692,9-4,Miami,2316.6,1553,NA,2026-06-23T21:25:36Z,2413.6,1550.1
2025,26,Arizona,Big 12,1868,9,4,13,0.692,9-4,Kansas St,1796.7,1546.5,NA,2026-06-23T21:25:36Z,1687.2,1538.8
2025,27,Washington,Big Ten,1859.4,8,4,12,0.667,8-4,Illinois,1794.9,1599.7,NA,2026-06-23T21:25:36Z,1095.1,1491.4
2025,28,Virginia,ACC,1837.5,11,3,14,0.786,11-3,Louisville,1872,1484.4,NA,2026-06-23T21:25:36Z,2044.4,1635.5
2025,29,Penn State,Big Ten,1827.7,7,6,13,0.538,7-6,Clemson,1620.2,1649.9,NA,2026-06-23T21:25:36Z,783.1,1288
2025,30,Kansas St,Big 12,1796.7,6,5,11,0.545,6-5,TCU,1876.8,1554.8,NA,2026-06-23T21:25:36Z,745.4,1275.6
2025,31,Illinois,Big Ten,1794.9,9,4,13,0.692,9-4,USC,1984.4,1676.7,NA,2026-06-23T21:25:36Z,2067.6,1484.6
2025,32,Houston,Big 12,1792,9,3,12,0.75,9-3,Arizona,1868,1511.8,NA,2026-06-23T21:25:36Z,1517.2,1546.9
2025,33,Duke,ACC,1791.6,8,5,13,0.615,8-5,Virginia,1837.5,1628.3,NA,2026-06-23T21:25:36Z,1893.9,1381.9
2025,34,South Florida,AAC,1787.6,8,4,12,0.667,8-4,North Texas,1905.1,1493.1,NA,2026-06-23T21:25:36Z,1148.2,1435.9
2025,35,East Carolina,AAC,1768.6,9,3,12,0.75,9-3,Pitt,1766.2,1442.5,NA,2026-06-23T21:25:36Z,1020.1,1520.2
2025,36,Pitt,ACC,1766.2,8,5,13,0.615,8-5,NC State,1734.4,1566.6,NA,2026-06-23T21:25:36Z,1019.1,1351.3
2025,37,Old Dominion,Sun Belt,1762.8,10,3,13,0.769,10-3,South Florida,1787.6,1352.6,NA,2026-06-23T21:25:36Z,543.1,1529.1
2025,38,Iowa State,Big 12,1759.6,7,4,11,0.636,7-4,Iowa,2006.5,1546.4,NA,2026-06-23T21:25:36Z,1826.6,1383.9
2025,39,Arizona St,Big 12,1749.5,8,5,13,0.615,8-5,Texas Tech,2280,1612.4,NA,2026-06-23T21:25:36Z,2335.1,1355.2
2025,40,NC State,ACC,1734.4,6,5,11,0.545,6-5,Virginia,1837.5,1642.3,NA,2026-06-23T21:25:36Z,1247,1240.3
2025,41,Tennessee,SEC,1731.7,8,5,13,0.615,8-5,Kentucky,1583.6,1508.1,NA,2026-06-23T21:25:36Z,559.6,1317.2
