season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2006,1,Florida,SEC,2429.8,13,1,14,0.929,13-1,LSU,2294.2,1815.1,NA,2026-09-20T20:44:51Z,6287.7,2404.1,2429.5,2026-09-17,0.3
2006,2,USC,Pac-12,2338.5,11,2,13,0.846,11-2,Michigan,2215.3,1811.9,NA,2026-09-20T20:44:51Z,5096.9,2186.6,2338.2,2026-09-17,0.3
2006,3,Louisville,Big East,2307.9,12,1,13,0.923,12-1,West Virginia,2087,1686.6,NA,2026-09-20T20:44:51Z,4103,2263.6,2306.8,2026-09-17,1.1
2006,4,LSU,SEC,2294.2,11,2,13,0.846,11-2,Arkansas,2123.1,1744,NA,2026-09-20T20:44:51Z,3595.7,2135.1,2293.8,2026-09-17,0.4
2006,5,Boise St,WAC,2273,13,0,13,1,13-0,Oklahoma,2023.8,1388.6,NA,2026-09-20T20:44:51Z,2572.4,2323.7,2272.8,2026-09-17,0.2
2006,6,Ohio State,Big Ten,2259.6,12,1,13,0.923,12-1,Michigan,2215.3,1641.8,NA,2026-09-20T20:44:51Z,3403.2,2211.9,2259.4,2026-09-17,0.2
2006,7,Michigan,Big Ten,2215.3,11,2,13,0.846,11-2,Wisconsin,2158.9,1737.9,NA,2026-09-20T20:44:51Z,3144.6,2059.9,2214.5,2026-09-17,0.8
2006,8,Wisconsin,Big Ten,2158.9,12,1,13,0.923,12-1,Arkansas,2123.1,1437.4,NA,2026-09-20T20:44:51Z,2210.2,2104.6,2158.8,2026-09-17,0.1
2006,9,Arkansas,SEC,2123.1,10,4,14,0.714,10-4,Auburn,2082.5,1703.3,NA,2026-09-20T20:44:51Z,2566,1785.2,2122.9,2026-09-17,0.2
2006,10,Georgia,SEC,2088.5,9,4,13,0.692,9-4,Auburn,2082.5,1711.7,NA,2026-09-20T20:44:51Z,2769,1727.2,2087.8,2026-09-17,0.7
2006,11,West Virginia,Big East,2087,11,2,13,0.846,11-2,Rutgers,2005.8,1646.2,NA,2026-09-20T20:44:51Z,3083.1,1943.3,2085.9,2026-09-17,1.1
2006,12,Auburn,SEC,2082.5,11,2,13,0.846,11-2,Florida,2429.8,1716.8,NA,2026-09-20T20:44:51Z,3856.6,1945.8,2082.3,2026-09-17,0.2
2006,13,California,Pac-12,2073.9,10,3,13,0.769,10-3,Oregon St,1857.3,1745.8,NA,2026-09-20T20:44:51Z,3095.4,1827.1,2073.4,2026-09-17,0.5
2006,14,Tennessee,SEC,2038,9,4,13,0.692,9-4,Georgia,2088.5,1828.5,NA,2026-09-20T20:44:51Z,2998.8,1688.8,2037.8,2026-09-17,0.2
2006,15,Oklahoma,Big 12,2023.8,11,3,14,0.786,11-3,Texas A&M,1843.6,1620.2,NA,2026-09-20T20:44:51Z,2286,1799.4,2021.9,2026-09-17,1.9
2006,16,Virginia Tech,ACC,2021.9,10,3,13,0.769,10-3,Wake Forest,1974.4,1610.9,NA,2026-09-20T20:44:51Z,2398.7,1776.1,2019.7,2026-09-17,2.2
2006,17,BYU,Mountain West,2021.6,11,2,13,0.846,11-2,TCU,1817.8,1448.6,NA,2026-09-20T20:44:51Z,1488.6,1867.2,2020.9,2026-09-17,0.7
2006,18,Notre Dame,Independent,2020.6,10,3,13,0.769,10-3,Penn State,1956,1705.2,NA,2026-09-20T20:44:51Z,2135,1772.2,2020.2,2026-09-17,0.4
2006,19,Rutgers,Big East,2005.8,11,2,13,0.846,11-2,Louisville,2307.9,1551.9,NA,2026-09-20T20:44:51Z,2724.1,1866.5,2002.1,2026-09-17,3.7
2006,20,Boston College,ACC,1991.1,10,3,13,0.769,10-3,Virginia Tech,2021.9,1556.1,NA,2026-09-20T20:44:51Z,3462.6,1759.6,1989,2026-09-17,2.1
2006,21,Wake Forest,ACC,1974.4,11,3,14,0.786,11-3,Boston College,1991.1,1605.4,NA,2026-09-20T20:44:51Z,2345.3,1757.2,1973,2026-09-17,1.4
2006,22,South Carolina,SEC,1971.5,8,5,13,0.615,8-5,Kentucky,1929.9,1796.1,NA,2026-09-20T20:44:51Z,1869.4,1516,1970.8,2026-09-17,0.7
2006,23,Appalachian St,FCS,1966.6,14,1,15,0.933,14-1,UMass,1818.2,1193.3,NA,2026-09-20T20:44:51Z,1108,1919.7,1968.3,2026-09-17,-1.7
2006,24,Penn State,Big Ten,1956,9,4,13,0.692,9-4,Tennessee,2038,1661.9,NA,2026-09-20T20:44:51Z,1552.9,1607.7,1956.2,2026-09-17,-0.2
2006,25,Texas,Big 12,1944.3,10,3,13,0.769,10-3,Oklahoma,2023.8,1566.9,NA,2026-09-20T20:44:51Z,2020.9,1705.8,1943.5,2026-09-17,0.8
2006,26,Kentucky,SEC,1929.9,8,5,13,0.615,8-5,Georgia,2088.5,1794.6,NA,2026-09-20T20:44:51Z,1909.2,1485.3,1928.2,2026-09-17,1.7
2006,27,Cincinnati,Big East,1918.5,8,5,13,0.615,8-5,Rutgers,2005.8,1666.8,NA,2026-09-20T20:44:51Z,1527,1472.2,1916.9,2026-09-17,1.6
2006,28,USF,Big East,1876.8,9,4,13,0.692,9-4,West Virginia,2087,1567.6,NA,2026-09-20T20:44:51Z,1501.6,1543.6,1875.9,2026-09-17,0.9
2006,29,Clemson,ACC,1857.9,8,5,13,0.615,8-5,Wake Forest,1974.4,1625.8,NA,2026-09-20T20:44:51Z,1545.1,1427.2,1856.7,2026-09-17,1.2
2006,30,Oregon St,Pac-12,1857.3,10,4,14,0.714,10-4,USC,2338.5,1674.8,NA,2026-09-20T20:44:51Z,3149.9,1573.5,1856.9,2026-09-17,0.4
2006,31,Texas A&M,Big 12,1843.6,9,4,13,0.692,9-4,Texas,1944.3,1561.5,NA,2026-09-20T20:44:51Z,1457.2,1516.4,1842.1,2026-09-17,1.5
