season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2014,330,Alcorn St,Southwestern Athletic Conference,1094.9,12,19,31,0.387,12-19,Jackson St,1202.1,1228,2026-05-21T00:59:23Z
2014,331,Sacred Heart,Northeast Conference,1077,5,26,31,0.161,5-26,Fordham,1479.9,1363.7,2026-05-21T00:59:23Z
2014,332,Tennessee St,Ohio Valley Conference,1073.4,5,25,30,0.167,5-25,Morehead St,1643.7,1538,2026-05-21T00:59:23Z
2014,333,Brescia,NA,1065.4,0,4,4,0,0-4,NA,NA,1649.6,2026-05-21T00:59:23Z
2014,334,UMass Lowell,America East Conference,1064.4,10,18,28,0.357,10-18,Albany,1444.4,1341.8,2026-05-21T00:59:23Z
2014,335,SC State,Mid-Eastern Athletic Conference,1052.6,9,21,30,0.3,9-21,Coast Car,1436.7,1301.7,2026-05-21T00:59:23Z
2014,336,NC A&T,Mid-Eastern Athletic Conference,1036.4,9,23,32,0.281,9-23,Wright St,1487.9,1318.6,2026-05-21T00:59:23Z
2014,337,Stetson,ASUN Conference,1035.4,7,24,31,0.226,7-24,SC Upstate,1479.9,1403.4,2026-05-21T00:59:23Z
2014,338,UMBC,America East Conference,1026.5,9,21,30,0.3,9-21,Albany,1444.4,1279.7,2026-05-21T00:59:23Z
2014,339,Abilene Chrstn,Southland Conference,1026.2,11,20,31,0.355,11-20,C Arkansas,1105.9,1213.8,2026-05-21T00:59:23Z
2014,340,Kennesaw St,ASUN Conference,1019.6,6,25,31,0.194,6-25,SC Upstate,1479.9,1395.4,2026-05-21T00:59:23Z
2014,341,Longwood,Big South Conference,1016.8,8,24,32,0.25,8-24,TCU,1678.2,1306.6,2026-05-21T00:59:23Z
2014,342,Appalachian St,Southern Conference,1015.8,9,21,30,0.3,9-21,Georgia So,1198.8,1289,2026-05-21T00:59:23Z
2014,343,Delaware St,Mid-Eastern Athletic Conference,1011.4,9,21,30,0.3,9-21,Morgan St,1402.4,1292.1,2026-05-21T00:59:23Z
2014,344,Miss Valley St,Southwestern Athletic Conference,1003.4,9,23,32,0.281,9-23,Southern,1400.5,1267,2026-05-21T00:59:23Z
2014,345,Lamar,Southland Conference,992.4,4,26,30,0.133,4-26,New Orleans,1262.2,1456.7,2026-05-21T00:59:23Z
