season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2017,169,NC Central,Mid-Eastern Athletic Conference,1550.4,25,9,34,0.735,25-9,N Kentucky,1561.5,1147,NA,2026-08-29T13:09:25Z,1550.4,2026-08-26,0
2017,170,Albany,America East Conference,1548.6,21,14,35,0.6,21-14,Penn State,1875.8,1396.8,NA,2026-08-29T13:09:25Z,1548.6,2026-08-26,0
2017,171,C Michigan,Mid-American Conference,1544.9,16,16,32,0.5,16-16,Ohio,1709.3,1435,NA,2026-08-29T13:09:25Z,1544.9,2026-08-26,0
2017,172,William & Mary,Colonial Athletic Association,1542.1,17,14,31,0.548,17-14,UNC Wilmington,1984.5,1539.5,NA,2026-08-29T13:09:25Z,1542.1,2026-08-26,0
2017,173,Weber St,Big Sky Conference,1540.1,20,14,34,0.588,20-14,Utah State,1652.4,1373.8,NA,2026-08-29T13:09:25Z,1540.1,2026-08-26,0
2017,174,DePaul,Big East Conference,1539.7,9,23,32,0.281,9-23,Providence,2015.1,1878.8,NA,2026-08-29T13:09:25Z,1539.7,2026-08-26,0
2017,175,Ball State,Mid-American Conference,1539.1,21,13,34,0.618,21-13,Toledo,1625.1,1437,NA,2026-08-29T13:09:25Z,1539.1,2026-08-26,0
2017,176,UC Irvine,Big West Conference,1538,21,15,36,0.583,21-15,Santa Clara,1569,1441,NA,2026-08-29T13:09:25Z,1538,2026-08-26,0
2017,177,Saint Peter's,Metro Atlantic Athletic Conference,1537.8,23,13,36,0.639,23-13,Monmouth,1845.1,1486.8,NA,2026-08-29T13:09:25Z,1537.8,2026-08-26,0
2017,178,Buffalo,Mid-American Conference,1536.8,17,15,32,0.531,17-15,Ohio,1709.3,1508.4,NA,2026-08-29T13:09:25Z,1536.8,2026-08-26,0
2017,179,Duquesne,Atlantic 10 Conference,1530.9,10,22,32,0.312,10-22,Pitt,2000.5,1644,NA,2026-08-29T13:09:25Z,1530.9,2026-08-26,0
2017,180,East Carolina,American Athletic Conference,1530.8,15,18,33,0.455,15-18,Temple,1789.9,1635.4,NA,2026-08-29T13:09:25Z,1530.8,2026-08-26,0
2017,181,Canisius,Metro Atlantic Athletic Conference,1529.5,18,15,33,0.545,18-15,St Bonaventure,1799,1475.6,NA,2026-08-29T13:09:25Z,1529.5,2026-08-26,0
2017,182,Coast Car,Sun Belt Conference,1529,20,19,39,0.513,20-19,UT Arlington,1859.6,1518.8,NA,2026-08-29T13:09:25Z,1529,2026-08-26,0
2017,183,Wofford,Southern Conference,1526.7,16,17,33,0.485,16-17,ETSU,1866.1,1561,NA,2026-08-29T13:09:25Z,1526.7,2026-08-26,0
2017,184,Sam Houston,Southland Conference,1523.9,21,13,34,0.618,21-13,New Orleans,1604.5,1357.7,NA,2026-08-29T13:09:25Z,1523.9,2026-08-26,0
2017,185,Omaha,Summit League,1523.8,18,14,32,0.562,18-14,Iowa,1896.1,1489.7,NA,2026-08-29T13:09:25Z,1523.8,2026-08-26,0
2017,186,Troy,Sun Belt Conference,1523.8,22,15,37,0.595,22-15,UT Arlington,1859.6,1471.4,NA,2026-08-29T13:09:25Z,1523.8,2026-08-26,0
2017,187,Texas A&M-CC,Southland Conference,1519.6,24,12,36,0.667,24-12,Georgia St,1649.4,1367,NA,2026-08-29T13:09:25Z,1519.6,2026-08-26,0
2017,188,Utah Valley,Western Athletic Conference,1516.6,17,17,34,0.5,17-17,New Mexico St,1882.4,1467.8,NA,2026-08-29T13:09:25Z,1516.6,2026-08-26,0
2017,189,UMBC,America East Conference,1514.3,21,13,34,0.618,21-13,New Hampshire,1583.9,1326.9,NA,2026-08-29T13:09:25Z,1514.3,2026-08-26,0
2017,190,UNLV,Mountain West Conference,1513.1,11,21,32,0.344,11-21,New Mexico,1825.3,1688.1,NA,2026-08-29T13:09:25Z,1513.1,2026-08-26,0
2017,191,North Dakota,Big Sky Conference,1512.9,22,10,32,0.688,22-10,Bakersfield,1765.6,1333.8,NA,2026-08-29T13:09:25Z,1512.9,2026-08-26,0
2017,192,San Diego,West Coast Conference,1510.9,13,18,31,0.419,13-18,BYU,1866.5,1646.1,NA,2026-08-29T13:09:25Z,1510.9,2026-08-26,0
2017,193,Missouri,Southeastern Conference,1507.8,8,24,32,0.25,8-24,Arkansas,2099.6,1834.1,NA,2026-08-29T13:09:25Z,1507.8,2026-08-26,0
2017,194,Portland,West Coast Conference,1507.3,11,22,33,0.333,11-22,South Dakota,1603.5,1623.7,NA,2026-08-29T13:09:25Z,1507.3,2026-08-26,0
2017,195,J'Ville St,Ohio Valley Conference,1503.2,20,15,35,0.571,20-15,Belmont,1801.8,1449.5,NA,2026-08-29T13:09:25Z,1503.2,2026-08-26,0
