season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2012,1,Kentucky,Southeastern Conference,2651.5,38,2,40,0.95,38-2,Kansas,2370.1,1860.3,NA,2026-09-01T12:33:29Z,2651.5,2026-08-26,0
2012,2,Syracuse,Big East Conference,2471.3,34,3,37,0.919,34-3,Louisville,2201.6,1869.8,NA,2026-09-01T12:33:29Z,2471.3,2026-08-26,0
2012,3,Kansas,Big 12 Conference,2370.1,32,7,39,0.821,32-7,Ohio State,2368.6,1944.3,NA,2026-09-01T12:33:29Z,2370.1,2026-08-26,0
2012,4,Ohio State,Big Ten Conference,2368.6,31,8,39,0.795,31-8,Syracuse,2471.3,1933.7,NA,2026-09-01T12:33:29Z,2368.6,2026-08-26,0
2012,5,North Carolina,Atlantic Coast Conference,2344.2,32,6,38,0.842,32-6,Michigan St,2329.2,1864.8,NA,2026-09-01T12:33:29Z,2344.2,2026-08-26,0
2012,6,Missouri,Big 12 Conference,2339.5,30,5,35,0.857,30-5,Kansas,2370.1,1786.6,NA,2026-09-01T12:33:29Z,2339.5,2026-08-26,0
2012,7,Michigan St,Big Ten Conference,2329.2,29,8,37,0.784,29-8,Ohio State,2368.6,1911.3,NA,2026-09-01T12:33:29Z,2329.2,2026-08-26,0
2012,8,Baylor,Big 12 Conference,2326,30,8,38,0.789,30-8,Kansas,2370.1,1865.1,NA,2026-09-01T12:33:29Z,2326,2026-08-26,0
2012,9,Duke,Atlantic Coast Conference,2315.3,27,7,34,0.794,27-7,Kansas,2370.1,1890.4,NA,2026-09-01T12:33:29Z,2315.3,2026-08-26,0
2012,10,Murray St,NA,2265.4,31,2,33,0.939,31-2,Saint Mary's,2101.8,1421.8,NA,2026-09-01T12:33:29Z,2265.4,2026-08-26,0
2012,11,Indiana,Big Ten Conference,2250.7,27,9,36,0.75,27-9,Kentucky,2651.5,1869.6,NA,2026-09-01T12:33:29Z,2250.7,2026-08-26,0
2012,12,Louisville,Big East Conference,2201.6,30,10,40,0.75,30-10,Michigan St,2329.2,1910.5,NA,2026-09-01T12:33:29Z,2201.6,2026-08-26,0
2012,13,Marquette,Big East Conference,2199.5,27,8,35,0.771,27-8,Murray St,2265.4,1862.8,NA,2026-09-01T12:33:29Z,2199.5,2026-08-26,0
2012,14,Michigan,Big Ten Conference,2199,24,10,34,0.706,24-10,Ohio State,2368.6,1869,NA,2026-09-01T12:33:29Z,2199,2026-08-26,0
2012,15,Wisconsin,Big Ten Conference,2193.1,26,10,36,0.722,26-10,Ohio State,2368.6,1897.5,NA,2026-09-01T12:33:29Z,2193.1,2026-08-26,0
2012,16,Florida,Southeastern Conference,2173.1,26,11,37,0.703,26-11,Marquette,2199.5,1867.3,NA,2026-09-01T12:33:29Z,2173.1,2026-08-26,0
2012,17,Georgetown,Big East Conference,2168.6,24,9,33,0.727,24-9,Louisville,2201.6,1818.8,NA,2026-09-01T12:33:29Z,2168.6,2026-08-26,0
2012,18,Kansas St,Big 12 Conference,2148.3,22,11,33,0.667,22-11,Missouri,2339.5,1879.1,NA,2026-09-01T12:33:29Z,2148.3,2026-08-26,0
2012,19,Gonzaga,West Coast Conference,2144.4,26,7,33,0.788,26-7,Saint Mary's,2101.8,1726.3,NA,2026-09-01T12:33:29Z,2144.4,2026-08-26,0
2012,20,UNLV,Mountain West Conference,2139.4,26,9,35,0.743,26-9,North Carolina,2344.2,1664.3,NA,2026-09-01T12:33:29Z,2139.4,2026-08-26,0
2012,21,Virginia,Atlantic Coast Conference,2126.3,22,10,32,0.688,22-10,Michigan,2199,1740.4,NA,2026-09-01T12:33:29Z,2126.3,2026-08-26,0
2012,22,Alabama,Southeastern Conference,2122.3,21,12,33,0.636,21-12,Wichita St,2111.9,1848.3,NA,2026-09-01T12:33:29Z,2122.3,2026-08-26,0
2012,23,Wichita St,Missouri Valley Conference,2111.9,27,6,33,0.818,27-6,UNLV,2139.4,1673.1,NA,2026-09-01T12:33:29Z,2111.9,2026-08-26,0
2012,24,Saint Mary's,West Coast Conference,2101.8,27,6,33,0.818,27-6,Gonzaga,2144.4,1587.5,NA,2026-09-01T12:33:29Z,2101.8,2026-08-26,0
2012,25,Vanderbilt,Southeastern Conference,2096.1,25,11,36,0.694,25-11,Kentucky,2651.5,1894.2,NA,2026-09-01T12:33:29Z,2096.1,2026-08-26,0
2012,26,Florida St,Atlantic Coast Conference,2090.8,25,10,35,0.714,25-10,North Carolina,2344.2,1877.5,NA,2026-09-01T12:33:29Z,2090.8,2026-08-26,0
2012,27,Memphis,Conference USA,2081.4,26,9,35,0.743,26-9,Xavier,2028.5,1784.4,NA,2026-09-01T12:33:29Z,2081.4,2026-08-26,0
2012,28,Seton Hall,Big East Conference,2076.9,21,13,34,0.618,21-13,Georgetown,2168.6,1803.3,NA,2026-09-01T12:33:29Z,2076.9,2026-08-26,0
2012,29,Creighton,Missouri Valley Conference,2076.4,29,6,35,0.829,29-6,Alabama,2122.3,1712.5,NA,2026-09-01T12:33:29Z,2076.4,2026-08-26,0
2012,30,California,Pac-12 Conference,2071.4,24,10,34,0.706,24-10,Stanford,1971.6,1726.5,NA,2026-09-01T12:33:29Z,2071.4,2026-08-26,0
2012,31,Purdue,Big Ten Conference,2062.2,22,13,35,0.629,22-13,Michigan,2199,1895.2,NA,2026-09-01T12:33:29Z,2062.2,2026-08-26,0
2012,32,UConn,Big East Conference,2059.3,20,14,34,0.588,20-14,Florida St,2090.8,1892.2,NA,2026-09-01T12:33:29Z,2059.3,2026-08-26,0
2012,33,Saint Louis,Atlantic 10 Conference,2055.8,26,8,34,0.765,26-8,Memphis,2081.4,1685.3,NA,2026-09-01T12:33:29Z,2055.8,2026-08-26,0
2012,34,Iowa State,Big 12 Conference,2052.5,23,11,34,0.676,23-11,Kansas,2370.1,1871.2,NA,2026-09-01T12:33:29Z,2052.5,2026-08-26,0
2012,35,San Diego St,Mountain West Conference,2047.2,26,8,34,0.765,26-8,UNLV,2139.4,1654.4,NA,2026-09-01T12:33:29Z,2047.2,2026-08-26,0
2012,36,Texas,Big 12 Conference,2045,20,14,34,0.588,20-14,Kansas St,2148.3,1883.5,NA,2026-09-01T12:33:29Z,2045,2026-08-26,0
2012,37,New Mexico,Mountain West Conference,2043,28,7,35,0.8,28-7,UNLV,2139.4,1704.8,NA,2026-09-01T12:33:29Z,2043,2026-08-26,0
2012,38,Northwestern,Big Ten Conference,2034.3,19,14,33,0.576,19-14,Michigan St,2329.2,1886,NA,2026-09-01T12:33:29Z,2034.3,2026-08-26,0
2012,39,Xavier,Atlantic 10 Conference,2028.5,23,13,36,0.639,23-13,Vanderbilt,2096.1,1796.2,NA,2026-09-01T12:33:29Z,2028.5,2026-08-26,0
2012,40,Illinois,Big Ten Conference,2021.9,17,15,32,0.531,17-15,Ohio State,2368.6,1878.5,NA,2026-09-01T12:33:29Z,2021.9,2026-08-26,0
2012,41,Southern Miss,Conference USA,2007.4,25,9,34,0.735,25-9,Memphis,2081.4,1649.5,NA,2026-09-01T12:33:29Z,2007.4,2026-08-26,0
2012,42,Harvard,Ivy League,2004.9,26,5,31,0.839,26-5,Florida St,2090.8,1492.8,NA,2026-09-01T12:33:29Z,2004.9,2026-08-26,0
2012,43,Cincinnati,Big East Conference,2004.7,26,11,37,0.703,26-11,Syracuse,2471.3,1812.4,NA,2026-09-01T12:33:29Z,2004.7,2026-08-26,0
2012,44,Temple,Atlantic 10 Conference,1999.2,24,8,32,0.75,24-8,Duke,2315.3,1759.2,NA,2026-09-01T12:33:29Z,1999.2,2026-08-26,0
2012,45,BYU,West Coast Conference,1997.5,26,9,35,0.743,26-9,Gonzaga,2144.4,1616,NA,2026-09-01T12:33:29Z,1997.5,2026-08-26,0
2012,46,West Virginia,Big East Conference,1996.9,19,14,33,0.576,19-14,Georgetown,2168.6,1874.8,NA,2026-09-01T12:33:29Z,1996.9,2026-08-26,0
2012,47,NC State,Atlantic Coast Conference,1985.8,24,13,37,0.649,24-13,Georgetown,2168.6,1844.2,NA,2026-09-01T12:33:29Z,1985.8,2026-08-26,0
2012,48,Minnesota,Big Ten Conference,1983.8,23,15,38,0.605,23-15,Indiana,2250.7,1876.9,NA,2026-09-01T12:33:29Z,1983.8,2026-08-26,0
2012,49,MTSU,Sun Belt Conference,1982.8,27,7,34,0.794,27-7,Ole Miss,1875.5,1515.9,NA,2026-09-01T12:33:29Z,1982.8,2026-08-26,0
2012,50,Arizona,Pac-12 Conference,1976.7,23,12,35,0.657,23-12,California,2071.4,1721.1,NA,2026-09-01T12:33:29Z,1976.7,2026-08-26,0
2012,51,Mississippi St,Southeastern Conference,1974.1,21,12,33,0.636,21-12,Alabama,2122.3,1768.4,NA,2026-09-01T12:33:29Z,1974.1,2026-08-26,0
2012,52,Stanford,Pac-12 Conference,1971.6,26,11,37,0.703,26-11,California,2071.4,1702.5,NA,2026-09-01T12:33:29Z,1971.6,2026-08-26,0
2012,53,Long Beach St,Big West Conference,1970.8,25,9,34,0.735,25-9,Xavier,2028.5,1530.7,NA,2026-09-01T12:33:29Z,1970.8,2026-08-26,0
2012,54,Denver,Sun Belt Conference,1960.4,22,9,31,0.71,22-9,Saint Mary's,2101.8,1519.9,NA,2026-09-01T12:33:29Z,1960.4,2026-08-26,0
2012,55,Miami,Atlantic Coast Conference,1952.8,20,13,33,0.606,20-13,Duke,2315.3,1819.1,NA,2026-09-01T12:33:29Z,1952.8,2026-08-26,0
2012,56,Notre Dame,Big East Conference,1945.5,22,12,34,0.647,22-12,Syracuse,2471.3,1826.6,NA,2026-09-01T12:33:29Z,1945.5,2026-08-26,0
2012,57,Oregon,Pac-12 Conference,1944.7,24,10,34,0.706,24-10,Arizona,1976.7,1719.2,NA,2026-09-01T12:33:29Z,1944.7,2026-08-26,0
2012,58,Northern Iowa,Missouri Valley Conference,1926.6,20,14,34,0.588,20-14,Creighton,2076.4,1696.3,NA,2026-09-01T12:33:29Z,1926.6,2026-08-26,0
2012,59,Washington,Pac-12 Conference,1924.8,24,11,35,0.686,24-11,Northwestern,2034.3,1744.1,NA,2026-09-01T12:33:29Z,1924.8,2026-08-26,0
2012,60,VCU,Colonial Athletic Association,1920.5,29,7,36,0.806,29-7,Wichita St,2111.9,1574.8,NA,2026-09-01T12:33:29Z,1920.5,2026-08-26,0
2012,61,Dayton,Atlantic 10 Conference,1915.1,20,13,33,0.606,20-13,Alabama,2122.3,1752.5,NA,2026-09-01T12:33:29Z,1915.1,2026-08-26,0
2012,62,Iona,Metro Atlantic Athletic Conference,1912.6,25,8,33,0.758,25-8,Denver,1960.4,1515.9,NA,2026-09-01T12:33:29Z,1912.6,2026-08-26,0
2012,63,Pitt,Big East Conference,1911.5,22,17,39,0.564,22-17,Georgetown,2168.6,1788.6,NA,2026-09-01T12:33:29Z,1911.5,2026-08-26,0
2012,64,Oklahoma,Big 12 Conference,1905.5,15,16,31,0.484,15-16,Kansas St,2148.3,1832.5,NA,2026-09-01T12:33:29Z,1905.5,2026-08-26,0
2012,65,Ohio,Mid-American Conference,1897.5,29,8,37,0.784,29-8,Michigan,2199,1554.4,NA,2026-09-01T12:33:29Z,1897.5,2026-08-26,0
2012,66,Saint Joseph's,Atlantic 10 Conference,1895,20,14,34,0.588,20-14,Creighton,2076.4,1746.9,NA,2026-09-01T12:33:29Z,1895,2026-08-26,0
2012,67,New Mexico St,Western Athletic Conference,1894.9,26,10,36,0.722,26-10,New Mexico,2043,1512.4,NA,2026-09-01T12:33:29Z,1894.9,2026-08-26,0
2012,68,Oral Roberts,Summit League,1891.9,27,7,34,0.794,27-7,Xavier,2028.5,1530.7,NA,2026-09-01T12:33:29Z,1891.9,2026-08-26,0
2012,69,Ole Miss,Southeastern Conference,1875.5,20,14,34,0.588,20-14,Alabama,2122.3,1810.4,NA,2026-09-01T12:33:29Z,1875.5,2026-08-26,0
2012,70,Virginia Tech,Atlantic Coast Conference,1873.8,16,17,33,0.485,16-17,Virginia,2126.3,1825.9,NA,2026-09-01T12:33:29Z,1873.8,2026-08-26,0
2012,71,UCF,Conference USA,1866.6,22,11,33,0.667,22-11,Memphis,2081.4,1600,NA,2026-09-01T12:33:29Z,1866.6,2026-08-26,0
2012,72,Marshall,Conference USA,1865.2,21,14,35,0.6,21-14,Southern Miss,2007.4,1725,NA,2026-09-01T12:33:29Z,1865.2,2026-08-26,0
2012,73,Missouri St,Missouri Valley Conference,1863,16,16,32,0.5,16-16,Creighton,2076.4,1664.5,NA,2026-09-01T12:33:29Z,1863,2026-08-26,0
2012,74,Nevada,Western Athletic Conference,1861.8,28,7,35,0.8,28-7,Washington,1924.8,1507.8,NA,2026-09-01T12:33:29Z,1861.8,2026-08-26,0
2012,75,Colorado St,Mountain West Conference,1861.7,20,12,32,0.625,20-12,UNLV,2139.4,1769.2,NA,2026-09-01T12:33:29Z,1861.7,2026-08-26,0
