season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2015,1,Kentucky,Southeastern Conference,2160.3,38,1,39,0.974,38-1,Notre Dame,1938,1668.6,NA,2026-06-04T06:05:40Z
2015,2,Wisconsin,Big Ten Conference,2056.5,36,4,40,0.9,36-4,Kentucky,2160.3,1682.6,NA,2026-06-04T06:05:40Z
2015,3,Duke,Atlantic Coast Conference,2050.5,35,4,39,0.897,35-4,Wisconsin,2056.5,1705.3,NA,2026-06-04T06:05:40Z
2015,4,Virginia,Atlantic Coast Conference,2048.1,30,4,34,0.882,30-4,Notre Dame,1938,1664.2,NA,2026-06-04T06:05:40Z
2015,5,Arizona,Pac-12 Conference,2042.7,34,4,38,0.895,34-4,Gonzaga,2039,1649.8,NA,2026-06-04T06:05:40Z
2015,6,Gonzaga,West Coast Conference,2039,35,3,38,0.921,35-3,SMU,1802.8,1589.1,NA,2026-06-04T06:05:40Z
2015,7,Villanova,Big East Conference,2037.9,33,3,36,0.917,33-3,VCU,1854.5,1614.6,NA,2026-06-04T06:05:40Z
2015,8,Notre Dame,Atlantic Coast Conference,1938,32,6,38,0.842,32-6,Duke,2050.5,1627.3,NA,2026-06-04T06:05:40Z
2015,9,Louisville,Atlantic Coast Conference,1922.2,27,9,36,0.75,27-9,Virginia,2048.1,1661.5,NA,2026-06-04T06:05:40Z
2015,10,Northern Iowa,Missouri Valley Conference,1908.4,31,4,35,0.886,31-4,Wichita St,1900.4,1580.3,NA,2026-06-04T06:05:40Z
2015,11,Kansas,Big 12 Conference,1905.4,27,9,36,0.75,27-9,Utah,1883.8,1736.7,NA,2026-06-04T06:05:40Z
2015,12,Wichita St,Missouri Valley Conference,1900.4,30,5,35,0.857,30-5,Northern Iowa,1908.4,1580.5,NA,2026-06-04T06:05:40Z
2015,13,Utah,Pac-12 Conference,1883.8,26,9,35,0.743,26-9,Wichita St,1900.4,1636.8,NA,2026-06-04T06:05:40Z
2015,14,North Carolina,Atlantic Coast Conference,1870.7,26,12,38,0.684,26-12,Virginia,2048.1,1724.7,NA,2026-06-04T06:05:40Z
2015,15,Iowa State,Big 12 Conference,1864.5,25,9,34,0.735,25-9,Kansas,1905.4,1692.8,NA,2026-06-04T06:05:40Z
2015,16,VCU,Atlantic 10 Conference,1854.5,26,10,36,0.722,26-10,Northern Iowa,1908.4,1646.6,NA,2026-06-04T06:05:40Z
2015,17,Maryland,Big Ten Conference,1854.3,28,7,35,0.8,28-7,Wisconsin,2056.5,1642.9,NA,2026-06-04T06:05:40Z
2015,18,San Diego St,Mountain West Conference,1853.7,27,9,36,0.75,27-9,Utah,1883.8,1565.4,NA,2026-06-04T06:05:40Z
2015,19,Baylor,Big 12 Conference,1849.2,24,10,34,0.706,24-10,Iowa State,1864.5,1683.5,NA,2026-06-04T06:05:40Z
2015,20,Michigan St,Big Ten Conference,1838.3,27,12,39,0.692,27-12,Virginia,2048.1,1693.1,NA,2026-06-04T06:05:40Z
2015,21,West Virginia,Big 12 Conference,1823.5,25,10,35,0.714,25-10,Kansas,1905.4,1670.5,NA,2026-06-04T06:05:40Z
2015,22,Old Dominion,Conference USA,1818.1,27,8,35,0.771,27-8,VCU,1854.5,1527,NA,2026-06-04T06:05:40Z
2015,23,Arkansas,Southeastern Conference,1817.4,27,9,36,0.75,27-9,SMU,1802.8,1638.1,NA,2026-06-04T06:05:40Z
2015,24,Oklahoma,Big 12 Conference,1813.4,24,11,35,0.686,24-11,Kansas,1905.4,1702.5,NA,2026-06-04T06:05:40Z
2015,25,Ohio State,Big Ten Conference,1812.4,24,11,35,0.686,24-11,VCU,1854.5,1642.2,NA,2026-06-04T06:05:40Z
2015,26,SMU,American Athletic Conference,1802.8,27,7,34,0.794,27-7,Temple,1775.8,1593.6,NA,2026-06-04T06:05:40Z
2015,27,Texas,Big 12 Conference,1798.7,20,14,34,0.588,20-14,Baylor,1849.2,1661.1,NA,2026-06-04T06:05:40Z
2015,28,Xavier,Big East Conference,1791,23,14,37,0.622,23-14,SF Austin,1788.1,1682,NA,2026-06-04T06:05:40Z
2015,29,Dayton,Atlantic 10 Conference,1790,27,9,36,0.75,27-9,VCU,1854.5,1579.9,NA,2026-06-04T06:05:40Z
2015,30,Colorado St,Mountain West Conference,1788.7,27,7,34,0.794,27-7,San Diego St,1853.7,1541.5,NA,2026-06-04T06:05:40Z
2015,31,SF Austin,Southland Conference,1788.1,29,5,34,0.853,29-5,Sam Houston,1710.8,1482,NA,2026-06-04T06:05:40Z
2015,32,Butler,Big East Conference,1784.2,23,11,34,0.676,23-11,North Carolina,1870.7,1654,NA,2026-06-04T06:05:40Z
2015,33,BYU,West Coast Conference,1783.2,25,10,35,0.714,25-10,Gonzaga,2039,1586.8,NA,2026-06-04T06:05:40Z
2015,34,Oregon,Pac-12 Conference,1778.3,26,10,36,0.722,26-10,Utah,1883.8,1603.9,NA,2026-06-04T06:05:40Z
2015,35,Iowa,Big Ten Conference,1778.1,22,12,34,0.647,22-12,North Carolina,1870.7,1624.3,NA,2026-06-04T06:05:40Z
2015,36,Temple,American Athletic Conference,1775.8,26,11,37,0.703,26-11,Kansas,1905.4,1578,NA,2026-06-04T06:05:40Z
2015,37,Cincinnati,American Athletic Conference,1773.6,23,11,34,0.676,23-11,San Diego St,1853.7,1607.8,NA,2026-06-04T06:05:40Z
2015,38,Georgetown,Big East Conference,1771.4,22,11,33,0.667,22-11,Villanova,2037.9,1675,NA,2026-06-04T06:05:40Z
2015,39,St John's,Big East Conference,1761.4,21,12,33,0.636,21-12,Xavier,1791,1632.8,NA,2026-06-04T06:05:40Z
2015,40,Green Bay,Horizon League,1759.8,24,9,33,0.727,24-9,Valparaiso,1756.2,1519.4,NA,2026-06-04T06:05:40Z
2015,41,NC State,Atlantic Coast Conference,1758.9,22,14,36,0.611,22-14,Duke,2050.5,1696,NA,2026-06-04T06:05:40Z
2015,42,Boise St,Mountain West Conference,1758.6,25,9,34,0.735,25-9,San Diego St,1853.7,1541.4,NA,2026-06-04T06:05:40Z
2015,43,Stanford,Pac-12 Conference,1758.3,24,13,37,0.649,24-13,Old Dominion,1818.1,1642.4,NA,2026-06-04T06:05:40Z
