season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2004,1,Saint Joseph's,Atlantic 10 Conference,2013,30,2,32,0.938,30-2,Gonzaga,1921,1611.6,NA,2026-06-04T06:05:19Z
2004,2,Duke,Atlantic Coast Conference,2000.5,31,6,37,0.838,31-6,Georgia Tech,1898.1,1694.8,NA,2026-06-04T06:05:19Z
2004,3,Pitt,Big East Conference,1998.5,31,5,36,0.861,31-5,UConn,1945.2,1599.5,NA,2026-06-04T06:05:19Z
2004,4,Stanford,Pac-12 Conference,1972.7,30,2,32,0.938,30-2,Gonzaga,1921,1545.3,NA,2026-06-04T06:05:19Z
2004,5,Mississippi St,Southeastern Conference,1945.3,26,4,30,0.867,26-4,Vanderbilt,1828,1598.4,NA,2026-06-04T06:05:19Z
2004,6,UConn,Big East Conference,1945.2,33,6,39,0.846,33-6,Duke,2000.5,1663,NA,2026-06-04T06:05:19Z
2004,7,Oklahoma St,Big 12 Conference,1938.2,31,4,35,0.886,31-4,Saint Joseph's,2013,1621.3,NA,2026-06-04T06:05:19Z
2004,8,Gonzaga,West Coast Conference,1921,28,3,31,0.903,28-3,Maryland,1729.8,1549.3,NA,2026-06-04T06:05:19Z
2004,9,Cincinnati,Conference USA,1908.2,25,7,32,0.781,25-7,Louisville,1896.6,1605.1,NA,2026-06-04T06:05:19Z
2004,10,Kentucky,Southeastern Conference,1902.2,27,5,32,0.844,27-5,Mississippi St,1945.3,1655.7,NA,2026-06-04T06:05:19Z
2004,11,Georgia Tech,Atlantic Coast Conference,1898.1,28,10,38,0.737,28-10,Duke,2000.5,1701.3,NA,2026-06-04T06:05:19Z
2004,12,Louisville,Conference USA,1896.6,20,10,30,0.667,20-10,Cincinnati,1908.2,1642,NA,2026-06-04T06:05:19Z
2004,13,Wisconsin,Big Ten Conference,1847.9,25,7,32,0.781,25-7,Illinois,1776.1,1627.1,NA,2026-06-04T06:05:19Z
2004,14,Texas,Big 12 Conference,1838.3,25,8,33,0.758,25-8,Kansas,1819.6,1670.1,NA,2026-06-04T06:05:19Z
2004,15,Vanderbilt,Southeastern Conference,1828,23,10,33,0.697,23-10,Mississippi St,1945.3,1648.1,NA,2026-06-04T06:05:19Z
2004,16,NC State,Atlantic Coast Conference,1826.8,21,10,31,0.677,21-10,Duke,2000.5,1689.4,NA,2026-06-04T06:05:19Z
2004,17,Syracuse,Big East Conference,1825.8,23,8,31,0.742,23-8,Pitt,1998.5,1632.9,NA,2026-06-04T06:05:19Z
2004,18,Kansas,Big 12 Conference,1819.6,24,9,33,0.727,24-9,Texas Tech,1797.4,1660.4,NA,2026-06-04T06:05:19Z
2004,19,S Illinois,Missouri Valley Conference,1810.5,25,5,30,0.833,25-5,Milwaukee,1708.7,1538.5,NA,2026-06-04T06:05:19Z
2004,20,Providence,Big East Conference,1809.2,20,9,29,0.69,20-9,UConn,1945.2,1640.2,NA,2026-06-04T06:05:19Z
2004,21,North Carolina,Atlantic Coast Conference,1809.1,19,11,30,0.633,19-11,UConn,1945.2,1719.4,NA,2026-06-04T06:05:19Z
2004,22,Utah State,Big West Conference,1798.8,25,4,29,0.862,25-4,BYU,1744.1,1476.3,NA,2026-06-04T06:05:19Z
2004,23,Texas Tech,Big 12 Conference,1797.4,23,11,34,0.676,23-11,Oklahoma St,1938.2,1640.4,NA,2026-06-04T06:05:19Z
2004,24,Wake Forest,Atlantic Coast Conference,1792.4,21,10,31,0.677,21-10,Duke,2000.5,1718.2,NA,2026-06-04T06:05:19Z
2004,25,W Michigan,Mid-American Conference,1789.7,26,5,31,0.839,26-5,UAB,1771.3,1514.8,NA,2026-06-04T06:05:19Z
2004,26,Arizona,Pac-12 Conference,1787.3,20,10,30,0.667,20-10,Texas,1838.3,1588.5,NA,2026-06-04T06:05:19Z
2004,27,Memphis,Conference USA,1786.8,22,8,30,0.733,22-8,Louisville,1896.6,1605.2,NA,2026-06-04T06:05:19Z
2004,28,Manhattan,Metro Atlantic Athletic Conference,1779.5,25,6,31,0.806,25-6,Florida,1770.4,1514.7,NA,2026-06-04T06:05:19Z
2004,29,Illinois,Big Ten Conference,1776.1,26,7,33,0.788,26-7,Cincinnati,1908.2,1644.9,NA,2026-06-04T06:05:19Z
2004,30,Murray St,NA,1775.7,28,6,34,0.824,28-6,S Illinois,1810.5,1492.1,NA,2026-06-04T06:05:19Z
2004,31,UAB,Conference USA,1771.3,22,10,32,0.688,22-10,Cincinnati,1908.2,1595,NA,2026-06-04T06:05:19Z
2004,32,Florida,Southeastern Conference,1770.4,20,11,31,0.645,20-11,Vanderbilt,1828,1692.8,NA,2026-06-04T06:05:19Z
2004,33,Dayton,Atlantic 10 Conference,1769.2,24,9,33,0.727,24-9,Xavier,1762.2,1540.9,NA,2026-06-04T06:05:19Z
2004,34,Xavier,Atlantic 10 Conference,1762.2,26,11,37,0.703,26-11,Saint Joseph's,2013,1620.9,NA,2026-06-04T06:05:19Z
2004,35,Nevada,Western Athletic Conference,1761.7,25,9,34,0.735,25-9,Gonzaga,1921,1583.2,NA,2026-06-04T06:05:19Z
2004,36,Boston College,Big East Conference,1750.5,24,10,34,0.706,24-10,NC State,1826.8,1655.4,NA,2026-06-04T06:05:19Z
