season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2011,232,Bradley,Missouri Valley Conference,1455.4,12,20,32,0.375,12-20,USC,1724.3,1526.8,NA,2026-06-04T06:05:33Z
2011,233,MTSU,Sun Belt Conference,1455.4,16,16,32,0.5,16-16,Troy,1657.8,1493.5,NA,2026-06-04T06:05:33Z
2011,234,Chicago St,NA,1454.3,6,26,32,0.188,6-26,Georgia So,1507.4,1466.3,NA,2026-06-04T06:05:33Z
2011,235,Texas St,NA,1454.2,16,16,32,0.5,16-16,Sam Houston,1585.6,1498.2,NA,2026-06-04T06:05:33Z
2011,236,Saint Louis,Atlantic 10 Conference,1454,12,19,31,0.387,12-19,Saint Joseph's,1724.8,1609.1,NA,2026-06-04T06:05:33Z
2011,237,St Francis PA,Northeast Conference,1453.8,9,21,30,0.3,9-21,Long Island,1744,1449.6,NA,2026-06-04T06:05:33Z
2011,238,Indiana St,Missouri Valley Conference,1452.5,20,14,34,0.588,20-14,Wichita St,1826.8,1593.4,NA,2026-06-04T06:05:33Z
2011,239,Samford,Southern Conference,1444.3,12,19,31,0.387,12-19,UTSA,1521.8,1404,NA,2026-06-04T06:05:33Z
2011,240,Portland St,Big Sky Conference,1443.3,14,16,30,0.467,14-16,Montana St,1540.3,1442,NA,2026-06-04T06:05:33Z
2011,241,Miami OH,Mid-American Conference,1442.8,16,17,33,0.485,16-17,Xavier,1756.1,1613.5,NA,2026-06-04T06:05:33Z
2011,242,Coppin St,Mid-Eastern Athletic Conference,1439.3,16,14,30,0.533,16-14,MD-Eastern,1554.5,1426,NA,2026-06-04T06:05:33Z
2011,243,Utah Valley,NA,1439,19,11,30,0.633,19-11,Seattle U,1525.9,1397.4,NA,2026-06-04T06:05:33Z
2011,244,Manhattan,Metro Atlantic Athletic Conference,1436.9,6,25,31,0.194,6-25,Niagara,1624.1,1505.2,NA,2026-06-04T06:05:33Z
2011,245,VMI,NA,1436.8,18,13,31,0.581,18-13,UNC Asheville,1600.8,1470.5,NA,2026-06-04T06:05:33Z
2011,246,Lamar,NA,1433,13,17,30,0.433,13-17,Texas A&M-CC,1540.4,1445.7,NA,2026-06-04T06:05:33Z
2011,247,Idaho St,Big Sky Conference,1429.4,9,20,29,0.31,9-20,Troy,1657.8,1489.7,NA,2026-06-04T06:05:33Z
2011,248,Winthrop,NA,1424.3,13,17,30,0.433,13-17,Jacksonville,1638.8,1516.6,NA,2026-06-04T06:05:33Z
2011,249,Sacred Heart,Northeast Conference,1420.8,11,18,29,0.379,11-18,Robert Morris,1666.6,1405.1,NA,2026-06-04T06:05:33Z
2011,250,Bethune,Mid-Eastern Athletic Conference,1419.7,21,13,34,0.618,21-13,Hampton,1646.3,1440.8,NA,2026-06-04T06:05:33Z
2011,251,Tennessee St,NA,1418.6,14,16,30,0.467,14-16,Morehead St,1678.8,1424.6,NA,2026-06-04T06:05:33Z
