season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2002,1,Celtic,Scottish Premiership,2087.3,33,1,34,0.971,33-1,Rangers,1952.8,1436.5,2026-05-20T21:23:33Z,4,SCO
2002,2,Roma,Serie A,1955.3,19,2,21,0.905,19-2,Juventus,1881.3,1499.9,2026-05-20T21:23:33Z,13,ITA
2002,3,Rangers,Scottish Premiership,1952.8,25,3,28,0.893,25-3,Aberdeen,1541.9,1454.8,2026-05-20T21:23:33Z,10,SCO
2002,4,Sp Lisbon,Primeira Liga,1917.5,22,3,25,0.88,22-3,Boavista,1775.2,1442.2,2026-05-20T21:23:33Z,9,POR
2002,5,Arsenal,Premier League,1909.5,26,3,29,0.897,26-3,Liverpool,1794.9,1465.1,2026-05-20T21:23:33Z,9,ENG
2002,6,Juventus,Serie A,1881.3,20,3,23,0.87,20-3,Milan,1647.9,1447.9,2026-05-20T21:23:33Z,11,ITA
2002,7,Genk,Pro League,1857.2,20,2,22,0.909,20-2,Club Brugge,1699.8,1431.1,2026-05-20T21:23:33Z,12,BEL
2002,8,PSV Eindhoven,Eredivisie,1825.2,20,6,26,0.769,20-6,Ajax,1780.9,1458.6,2026-05-20T21:23:33Z,8,NED
2002,9,Galatasaray,Süper Lig,1812.3,24,4,28,0.857,24-4,Fenerbahce,1803.6,1480.3,2026-05-20T21:23:33Z,6,TUR
2002,10,Man City,Championship,1809.3,31,9,40,0.775,31-9,Wolves,1689.8,1494.1,2026-05-20T21:23:33Z,6,ENG
2002,11,Fenerbahce,Süper Lig,1803.6,24,7,31,0.774,24-7,Galatasaray,1812.3,1484.9,2026-05-20T21:23:33Z,3,TUR
2002,12,Valencia,La Liga,1795.7,21,5,26,0.808,21-5,La Coruna,1681.8,1492.6,2026-05-20T21:23:33Z,12,ESP
2002,13,Liverpool,Premier League,1794.9,24,6,30,0.8,24-6,Man United,1763.4,1474.8,2026-05-20T21:23:33Z,8,ENG
2002,14,Bayern Munich,2. Bundesliga,1791.4,20,6,26,0.769,20-6,Leverkusen,1757.7,1463.6,2026-05-20T21:23:33Z,8,GER
2002,15,Ajax,Eredivisie,1780.9,22,5,27,0.815,22-5,Heerenveen,1724.9,1486.4,2026-05-20T21:23:33Z,7,NED
2002,16,Boavista,Primeira Liga,1775.2,21,6,27,0.778,21-6,Benfica,1738.3,1490.9,2026-05-20T21:23:33Z,7,POR
2002,17,Anderlecht,Pro League,1766.9,18,4,22,0.818,18-4,Club Brugge,1699.8,1440.7,2026-05-20T21:23:33Z,12,BEL
2002,18,Modena,Serie B,1763.7,20,6,26,0.769,20-6,Como,1721.4,1490.3,2026-05-20T21:23:33Z,12,ITA
2002,19,Man United,Premier League,1763.4,24,9,33,0.727,24-9,Chelsea,1684.7,1490.9,2026-05-20T21:23:33Z,5,ENG
2002,20,Leverkusen,2. Bundesliga,1757.7,21,7,28,0.75,21-7,Dortmund,1730,1480,2026-05-20T21:23:33Z,6,GER
2002,21,Inter,Serie A,1751,20,5,25,0.8,20-5,Roma,1955.3,1445.4,2026-05-20T21:23:33Z,9,ITA
2002,22,Benfica,Primeira Liga,1738.3,17,5,22,0.773,17-5,Boavista,1775.2,1443.4,2026-05-20T21:23:33Z,12,POR
2002,23,Ajaccio,Ligue 2,1736.8,20,6,26,0.769,20-6,Le Havre,1651.2,1482.8,2026-05-20T21:23:33Z,12,FRA
2002,24,West Brom,Championship,1732.7,27,11,38,0.711,27-11,Man City,1809.3,1491.2,2026-05-20T21:23:33Z,8,ENG
2002,25,Dortmund,2. Bundesliga,1730,21,6,27,0.778,21-6,Hertha,1692.2,1471.8,2026-05-20T21:23:33Z,7,GER
2002,26,Heerenveen,Eredivisie,1724.9,17,8,25,0.68,17-8,PSV Eindhoven,1825.2,1481.5,2026-05-20T21:23:33Z,9,NED
2002,27,Como,Serie B,1721.4,22,8,30,0.733,22-8,Modena,1763.7,1515.5,2026-05-20T21:23:33Z,8,ITA
2002,28,Club Brugge,Pro League,1699.8,22,8,30,0.733,22-8,Anderlecht,1766.9,1492.4,2026-05-20T21:23:33Z,4,BEL
2002,29,Feyenoord,Eredivisie,1698.2,19,8,27,0.704,19-8,Heerenveen,1724.9,1465.1,2026-05-20T21:23:33Z,7,NED
2002,30,Hertha,2. Bundesliga,1692.2,18,9,27,0.667,18-9,Bayern Munich,1791.4,1525.3,2026-05-20T21:23:33Z,7,GER
2002,31,Porto,Primeira Liga,1690.5,21,8,29,0.724,21-8,Boavista,1775.2,1470.9,2026-05-20T21:23:33Z,5,POR
2002,32,Lyon,Ligue 1,1689.9,20,8,28,0.714,20-8,Paris SG,1655.9,1484.4,2026-05-20T21:23:33Z,6,FRA
2002,33,Wolves,Championship,1689.8,25,10,35,0.714,25-10,Birmingham,1649.1,1499.5,2026-05-20T21:23:33Z,11,ENG
2002,34,Vitesse,Eredivisie,1685.8,16,6,22,0.727,16-6,PSV Eindhoven,1825.2,1511.2,2026-05-20T21:23:33Z,12,NED
2002,35,Chelsea,Premier League,1684.7,17,8,25,0.68,17-8,Liverpool,1794.9,1498,2026-05-20T21:23:33Z,13,ENG
2002,36,La Coruna,La Liga,1681.8,20,10,30,0.667,20-10,Valencia,1795.7,1494.6,2026-05-20T21:23:33Z,8,ESP
2002,37,Besiktas,Süper Lig,1678.7,18,8,26,0.692,18-8,Fenerbahce,1803.6,1481.2,2026-05-20T21:23:33Z,8,TUR
2002,38,Newcastle,Premier League,1675.9,21,9,30,0.7,21-9,Arsenal,1909.5,1509.3,2026-05-20T21:23:33Z,8,ENG
2002,39,Empoli,Serie B,1661.2,19,9,28,0.679,19-9,Modena,1763.7,1498.6,2026-05-20T21:23:33Z,10,ITA
2002,40,Reggina,Serie B,1661,19,8,27,0.704,19-8,Como,1721.4,1490.8,2026-05-20T21:23:33Z,11,ITA
2002,41,Paris SG,Ligue 1,1655.9,15,6,21,0.714,15-6,Troyes,1520.7,1474.9,2026-05-20T21:23:33Z,13,FRA
2002,42,Lens,Ligue 1,1655.6,18,6,24,0.75,18-6,Lyon,1689.9,1479.4,2026-05-20T21:23:33Z,10,FRA
2002,43,Elche,La Liga 2,1652.5,17,11,28,0.607,17-11,Ath Madrid,1647.2,1489.6,2026-05-20T21:23:33Z,14,ESP
2002,44,Santander,La Liga 2,1651.9,19,9,28,0.679,19-9,Ath Madrid,1647.2,1481.8,2026-05-20T21:23:33Z,14,ESP
2002,45,Barcelona,La Liga,1651.6,18,10,28,0.643,18-10,La Coruna,1681.8,1493.6,2026-05-20T21:23:33Z,10,ESP
2002,46,Standard,Pro League,1651.5,15,7,22,0.682,15-7,Genk,1857.2,1484.9,2026-05-20T21:23:33Z,12,BEL
2002,47,Le Havre,Ligue 2,1651.2,17,7,24,0.708,17-7,Nice,1617.6,1484.8,2026-05-20T21:23:33Z,14,FRA
2002,48,Birmingham,Championship,1649.1,21,12,33,0.636,21-12,Millwall,1625.4,1505.1,2026-05-20T21:23:33Z,13,ENG
2002,49,Milan,Serie A,1647.9,14,7,21,0.667,14-7,Inter,1751,1485.1,2026-05-20T21:23:33Z,13,ITA
2002,50,Ath Madrid,La Liga 2,1647.2,23,9,32,0.719,23-9,Elche,1652.5,1497.4,2026-05-20T21:23:33Z,10,ESP
2002,51,Mouscron,Pro League,1646,16,13,29,0.552,16-13,Club Brugge,1699.8,1477.7,2026-05-20T21:23:33Z,5,BEL
2002,52,Strasbourg,Ligue 2,1643.8,19,8,27,0.704,19-8,Le Havre,1651.2,1489.6,2026-05-20T21:23:33Z,11,FRA
2002,53,Chievo,Serie A,1639.1,14,8,22,0.636,14-8,Inter,1751,1530.1,2026-05-20T21:23:33Z,12,ITA
2002,54,Napoli,Serie B,1631.6,16,9,25,0.64,16-9,Modena,1763.7,1509.2,2026-05-20T21:23:33Z,13,ITA
