season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2009,79,Kayserispor,Süper Lig,1559.7,13,10,23,0.565,13-10,Besiktas,1757.1,1474,2026-05-20T21:13:26Z,11,TUR
2009,80,Palermo,Serie A,1557.6,17,15,32,0.531,17-15,Juventus,1803.4,1509.2,2026-05-20T21:13:26Z,6,ITA
2009,81,Castellon,La Liga 2,1557,17,11,28,0.607,17-11,Tenerife,1745.5,1452.3,2026-05-20T21:13:26Z,14,ESP
2009,82,Cardiff,Championship,1554.6,19,10,29,0.655,19-10,Preston,1618.7,1471.9,2026-05-20T21:13:26Z,17,ENG
2009,83,Hertha,2. Bundesliga,1553.8,19,9,28,0.679,19-9,Bayern Munich,1730,1495.8,2026-05-20T21:13:26Z,6,GER
2009,84,Aston Villa,Premier League,1549.1,17,10,27,0.63,17-10,Arsenal,1714,1476.3,2026-05-20T21:13:26Z,11,ENG
2009,85,Werder Bremen,2. Bundesliga,1547.1,12,13,25,0.48,12-13,Wolfsburg,1777.3,1499.3,2026-05-20T21:13:26Z,9,GER
2009,86,Fulham,Premier League,1546.8,14,13,27,0.519,14-13,Man United,1876.3,1485.9,2026-05-20T21:13:26Z,11,ENG
2009,87,Club Brugge,Pro League,1546.6,18,11,29,0.621,18-11,Waregem,1620.9,1489.1,2026-05-20T21:13:26Z,5,BEL
2009,88,Espanol,La Liga,1544.2,12,15,27,0.444,12-15,Barcelona,1894.5,1520.6,2026-05-20T21:13:26Z,11,ESP
2009,89,Leverkusen,2. Bundesliga,1544.1,14,13,27,0.519,14-13,Wolfsburg,1777.3,1518.2,2026-05-20T21:13:26Z,7,GER
2009,90,Levante,La Liga 2,1542.6,18,14,32,0.562,18-14,Zaragoza,1752.6,1503.3,2026-05-20T21:13:26Z,10,ESP
2009,91,Gimnastic,La Liga 2,1541.3,14,13,27,0.519,14-13,Xerez,1736.2,1489.4,2026-05-20T21:13:26Z,15,ESP
2009,92,Hearts,Scottish Premiership,1540.3,16,11,27,0.593,16-11,Rangers,1896.9,1481.5,2026-05-20T21:13:26Z,11,SCO
2009,93,Salamanca,La Liga 2,1539.3,16,14,30,0.533,16-14,Tenerife,1745.5,1528,2026-05-20T21:13:26Z,12,ESP
2009,94,La Coruna,La Liga,1538.6,16,12,28,0.571,16-12,Real Madrid,1636,1490.2,2026-05-20T21:13:26Z,10,ESP
2009,95,Hamburg,2. Bundesliga,1534.9,19,11,30,0.633,19-11,Bayern Munich,1730,1492.2,2026-05-20T21:13:26Z,4,GER
2009,96,Auxerre,Ligue 1,1534,16,15,31,0.516,16-15,Lyon,1668.9,1490.6,2026-05-20T21:13:26Z,7,FRA
2009,97,Guingamp,Ligue 2,1533.7,10,12,22,0.455,10-12,Boulogne,1599.3,1523.8,2026-05-20T21:13:26Z,16,FRA
2009,98,Aberdeen,Scottish Premiership,1527.4,14,13,27,0.519,14-13,Celtic,1831.7,1506.6,2026-05-20T21:13:26Z,11,SCO
