season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2015,237,Manhattan,NA,1407.8,19,14,33,0.576,19-14,Iona,1752.4,1446.2,2026-05-20T21:30:45Z
2015,238,Morehead St,NA,1406.8,17,17,34,0.5,17-17,Belmont,1633.3,1428.9,2026-05-20T21:30:45Z
2015,239,NJIT,NA,1405.1,21,12,33,0.636,21-12,Michigan,1936.5,1291.3,2026-05-20T21:30:45Z
2015,240,W Carolina,NA,1403.7,15,17,32,0.469,15-17,Chattanooga,1666.7,1422.3,2026-05-20T21:30:45Z
2015,241,Bryant,NA,1398,16,15,31,0.516,16-15,St Francis PA,1524.7,1441,2026-05-20T21:30:45Z
2015,242,Seattle U,NA,1393.6,18,16,34,0.529,18-16,Colorado,1844,1348.5,2026-05-20T21:30:45Z
2015,243,S Illinois,NA,1393.5,12,21,33,0.364,12-21,Illinois St,1888.2,1556.7,2026-05-20T21:30:45Z
2015,244,Boston Univ,NA,1393.2,13,17,30,0.433,13-17,Lafayette,1604.7,1463.5,2026-05-20T21:30:45Z
2015,245,Miami OH,NA,1387.4,13,19,32,0.406,13-19,Akron,1773.5,1557.6,2026-05-20T21:30:45Z
2015,246,Little Rock,NA,1386.6,13,18,31,0.419,13-18,Georgia St,1765.5,1426.3,2026-05-20T21:30:45Z
2015,247,Idaho,NA,1384.5,13,17,30,0.433,13-17,UC Davis,1739,1383.4,2026-05-20T21:30:45Z
2015,248,Elon,NA,1376.7,15,18,33,0.455,15-18,Northeastern,1674.2,1421.9,2026-05-20T21:30:45Z
2015,249,Bradley,NA,1374.8,9,24,33,0.273,9-24,Evansville,1825.3,1645.2,2026-05-20T21:30:45Z
2015,250,Arkansas St,NA,1371.5,11,18,29,0.379,11-18,Mississippi St,1616.6,1399.3,2026-05-20T21:30:45Z
2015,251,Drake,NA,1370.7,9,22,31,0.29,9-22,Evansville,1825.3,1666.8,2026-05-20T21:30:45Z
2015,252,UNC Asheville,NA,1370.3,15,16,31,0.484,15-16,Coast Car,1605,1354.6,2026-05-20T21:30:45Z
2015,253,Tennessee Tech,NA,1366.5,12,18,30,0.4,12-18,Chattanooga,1666.7,1415.7,2026-05-20T21:30:45Z
2015,254,Siena,NA,1366,11,20,31,0.355,11-20,St Bonaventure,1746.8,1470.4,2026-05-20T21:30:45Z
2015,255,FAU,NA,1365.2,9,20,29,0.31,9-20,E Kentucky,1658.1,1445.7,2026-05-20T21:30:45Z
2015,256,McNeese,NA,1363.7,15,16,31,0.484,15-16,Mississippi St,1616.6,1344.7,2026-05-20T21:30:45Z
2015,257,Texas A&M-CC,NA,1361.9,20,14,34,0.588,20-14,SF Austin,1941.4,1376.2,2026-05-20T21:30:45Z
2015,258,N Kentucky,NA,1358.5,13,17,30,0.433,13-17,SC Upstate,1533.5,1401.6,2026-05-20T21:30:45Z
2015,259,Weber St,NA,1358.2,13,17,30,0.433,13-17,Oral Roberts,1532.3,1404.9,2026-05-20T21:30:45Z
2015,260,N Colorado,NA,1357.9,15,15,30,0.5,15-15,Sacramento St,1451.9,1325.2,2026-05-20T21:30:45Z
2015,261,Nevada,NA,1353.5,9,22,31,0.29,9-22,UNLV,1802.3,1563.5,2026-05-20T21:30:45Z
2015,262,Omaha,NA,1348.8,12,17,29,0.414,12-17,Marquette,1818.5,1362.8,2026-05-20T21:30:45Z
2015,263,Delaware St,NA,1348,18,18,36,0.5,18-18,Wake Forest,1733,1306.4,2026-05-20T21:30:45Z
2015,264,Fairfield,NA,1346.5,7,24,31,0.226,7-24,Quinnipiac,1501.8,1492.1,2026-05-20T21:30:45Z
2015,265,Lamar,NA,1344.2,15,15,30,0.5,15-15,Incarnate Word,1514.1,1384.8,2026-05-20T21:30:45Z
2015,266,Towson,NA,1341.5,12,20,32,0.375,12-20,Hofstra,1597.4,1411.2,2026-05-20T21:30:45Z
2015,267,South Dakota,NA,1341.2,17,16,33,0.515,17-16,S Dakota St,1603.1,1433.1,2026-05-20T21:30:45Z
2015,268,Fullerton,NA,1339.2,9,22,31,0.29,9-22,Wright St,1507.9,1474.1,2026-05-20T21:30:45Z
2015,269,Youngstown St,NA,1336.8,11,21,32,0.344,11-21,Wright St,1507.9,1411.2,2026-05-20T21:30:45Z
2015,270,Charleston,NA,1336.4,9,24,33,0.273,9-24,William & Mary,1645,1533.7,2026-05-20T21:30:45Z
2015,271,Drexel,NA,1335.7,11,19,30,0.367,11-19,Northeastern,1674.2,1507.7,2026-05-20T21:30:45Z
2015,272,Brown,NA,1334.2,13,18,31,0.419,13-18,Providence,2049.2,1430.4,2026-05-20T21:30:45Z
2015,273,UMass Lowell,NA,1333.3,12,17,29,0.414,12-17,Fordham,1419.7,1329.5,2026-05-20T21:30:45Z
2015,274,FIU,NA,1330.8,16,17,33,0.485,16-17,FGCU,1676.2,1421.2,2026-05-20T21:30:45Z
2015,275,Hartford,NA,1320.8,14,16,30,0.467,14-16,Quinnipiac,1501.8,1329.7,2026-05-20T21:30:45Z
2015,276,Ball State,NA,1311.6,7,23,30,0.233,7-23,C Michigan,1721.4,1547.5,2026-05-20T21:30:45Z
2015,277,Marshall,NA,1306.5,11,21,32,0.344,11-21,UTEP,1796.7,1506.6,2026-05-20T21:30:45Z
2015,278,Rice,NA,1305,12,20,32,0.375,12-20,Western KY,1718.8,1488,2026-05-20T21:30:45Z
2015,279,Penn,NA,1304.7,9,19,28,0.321,9-19,Columbia,1594.8,1534.5,2026-05-20T21:30:45Z
2015,280,SE Missouri St,NA,1302.7,13,17,30,0.433,13-17,UT Martin,1526.1,1385.8,2026-05-20T21:30:45Z
2015,281,Alabama St,NA,1302.4,19,10,29,0.655,19-10,Southern,1266.8,1132.3,2026-05-20T21:30:45Z
2015,282,IUPUI,NA,1301.1,10,21,31,0.323,10-21,Pepperdine,1719,1525.9,2026-05-20T21:30:45Z
2015,283,Howard,NA,1297.8,16,16,32,0.5,16-16,Norfolk St,1483.9,1231.3,2026-05-20T21:30:45Z
2015,284,Loyola MD,NA,1291,11,19,30,0.367,11-19,Lafayette,1604.7,1485,2026-05-20T21:30:45Z
2015,285,Navy,NA,1291,13,19,32,0.406,13-19,Lafayette,1604.7,1447.2,2026-05-20T21:30:45Z
2015,286,Lipscomb,NA,1288.2,14,17,31,0.452,14-17,SC Upstate,1533.5,1312.3,2026-05-20T21:30:45Z
2015,287,SIUE,NA,1286.8,12,16,28,0.429,12-16,UT Martin,1526.1,1359.5,2026-05-20T21:30:45Z
2015,288,UIC,NA,1279.8,10,24,34,0.294,10-24,Detroit Mercy,1551.2,1533.5,2026-05-20T21:30:45Z
2015,289,CSU Northridge,NA,1276.8,9,24,33,0.273,9-24,UCSB,1655.6,1535.9,2026-05-20T21:30:45Z
2015,290,Long Island,NA,1273.2,12,18,30,0.4,12-18,St Francis PA,1524.7,1416.3,2026-05-20T21:30:45Z
2015,291,Southern,NA,1266.8,18,17,35,0.514,18-17,Alabama St,1302.4,1273.5,2026-05-20T21:30:45Z
2015,292,Southern Miss,NA,1259.9,9,20,29,0.31,9-20,UTEP,1796.7,1497.3,2026-05-20T21:30:45Z
2015,293,Kansas City,NA,1259.3,14,19,33,0.424,14-19,Missouri,1651,1336.8,2026-05-20T21:30:45Z
2015,294,Hampton,NA,1256.3,17,18,35,0.486,17-18,Norfolk St,1483.9,1354.4,2026-05-20T21:30:45Z
2015,295,Utah Valley,NA,1256.1,11,19,30,0.367,11-19,Seattle U,1393.6,1359.3,2026-05-20T21:30:45Z
2015,296,Niagara,NA,1252.3,8,22,30,0.267,8-22,Rider,1558,1513.9,2026-05-20T21:30:45Z
2015,297,Bakersfield,NA,1252.1,14,19,33,0.424,14-19,California,1885.7,1324.6,2026-05-20T21:30:45Z
2015,298,Campbell,NA,1251.9,10,22,32,0.312,10-22,UNC Wilmington,1498.2,1383.4,2026-05-20T21:30:45Z
2015,299,VMI,NA,1243.3,11,19,30,0.367,11-19,ETSU,1535.5,1396.7,2026-05-20T21:30:45Z
2015,300,Appalachian St,NA,1241.1,12,17,29,0.414,12-17,Georgia St,1765.5,1475.7,2026-05-20T21:30:45Z
2015,301,W Illinois,NA,1230.7,8,20,28,0.286,8-20,Purdue FW,1459.3,1382.6,2026-05-20T21:30:45Z
2015,302,Wagner,NA,1226.5,10,20,30,0.333,10-20,St Francis PA,1524.7,1389.9,2026-05-20T21:30:45Z
2015,303,SE Louisiana,NA,1225.6,9,23,32,0.281,9-23,Incarnate Word,1514.1,1402.4,2026-05-20T21:30:45Z
