season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2016,1,NE,AFC East,1848.3,14,2,16,0.875,14-2,PIT,1719.5,1403.5,2026-05-20T21:26:51Z
2016,2,DAL,NFC East,1814,13,3,16,0.812,13-3,PIT,1719.5,1485.7,2026-05-20T21:26:51Z
2016,3,KC,AFC West,1804.5,12,4,16,0.75,12-4,ATL,1746.1,1528.7,2026-05-20T21:26:51Z
2016,4,ATL,NFC South,1746.1,11,5,16,0.688,11-5,GB,1700.7,1501.9,2026-05-20T21:26:51Z
2016,5,PIT,AFC North,1719.5,11,5,16,0.688,11-5,KC,1804.5,1505.7,2026-05-20T21:26:51Z
2016,6,GB,NFC North,1700.7,10,6,16,0.625,10-6,NYG,1670.2,1502.2,2026-05-20T21:26:51Z
2016,7,OAK,NA,1671.6,12,4,16,0.75,12-4,DEN,1629.4,1533.6,2026-05-20T21:26:51Z
2016,8,NYG,NFC East,1670.2,11,5,16,0.688,11-5,DAL,1814,1509.3,2026-05-20T21:26:51Z
2016,9,DEN,AFC West,1629.4,9,7,16,0.562,9-7,OAK,1671.6,1571.8,2026-05-20T21:26:51Z
2016,10,PHI,NFC East,1594.2,7,9,16,0.438,7-9,DAL,1814,1560.3,2026-05-20T21:26:51Z
2016,11,SEA,NFC West,1562.2,10,5,15,0.667,10-5,NE,1848.3,1426.3,2026-05-20T21:26:51Z
2016,12,TB,NFC South,1555,9,7,16,0.562,9-7,KC,1804.5,1507.6,2026-05-20T21:26:51Z
2016,13,IND,AFC South,1541.9,8,8,16,0.5,8-8,GB,1700.7,1490.1,2026-05-20T21:26:51Z
2016,14,MIA,AFC East,1540.4,10,6,16,0.625,10-6,PIT,1719.5,1427,2026-05-20T21:26:51Z
2016,15,CIN,AFC North,1535.8,6,9,15,0.4,6-9,PHI,1594.2,1512.4,2026-05-20T21:26:51Z
2016,16,DET,NFC North,1535.3,9,7,16,0.562,9-7,PHI,1594.2,1481.3,2026-05-20T21:26:51Z
2016,17,WAS,NFC East,1531.1,8,7,15,0.533,8-7,GB,1700.7,1545.5,2026-05-20T21:26:51Z
2016,18,NO,NFC South,1508.1,7,9,16,0.438,7-9,SEA,1562.2,1526,2026-05-20T21:26:51Z
2016,19,CAR,NFC South,1494.9,6,10,16,0.375,6-10,WAS,1531.1,1513.8,2026-05-20T21:26:51Z
2016,20,TEN,AFC South,1491.6,9,7,16,0.562,9-7,KC,1804.5,1465,2026-05-20T21:26:51Z
2016,21,BAL,AFC North,1489.6,8,8,16,0.5,8-8,PIT,1719.5,1508.1,2026-05-20T21:26:51Z
2016,22,HOU,AFC South,1475.5,9,7,16,0.562,9-7,KC,1804.5,1519.6,2026-05-20T21:26:51Z
2016,23,MIN,NFC North,1452.4,8,8,16,0.5,8-8,GB,1700.7,1509.9,2026-05-20T21:26:51Z
2016,24,ARI,NFC West,1441.1,7,8,15,0.467,7-8,SEA,1562.2,1413.6,2026-05-20T21:26:51Z
2016,25,SD,NA,1373.5,5,11,16,0.312,5-11,ATL,1746.1,1551.2,2026-05-20T21:26:51Z
2016,26,BUF,AFC East,1367.3,7,9,16,0.438,7-9,NE,1848.3,1452.4,2026-05-20T21:26:51Z
2016,27,NYJ,AFC East,1324.5,5,11,16,0.312,5-11,BAL,1489.6,1484.1,2026-05-20T21:26:51Z
2016,28,JAX,AFC South,1252.8,3,13,16,0.188,3-13,IND,1541.9,1514.5,2026-05-20T21:26:51Z
2016,29,CHI,NFC North,1189.9,3,13,16,0.188,3-13,DET,1535.3,1519,2026-05-20T21:26:51Z
2016,30,LA,NA,1136.1,4,12,16,0.25,4-12,SEA,1562.2,1474.9,2026-05-20T21:26:51Z
2016,31,CLE,AFC North,1002.1,1,15,16,0.062,1-15,SD,1373.5,1565.3,2026-05-20T21:26:51Z
2016,32,SF,NFC West,1000.5,2,14,16,0.125,2-14,LA,1136.1,1479.2,2026-05-20T21:26:51Z
