season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2016,1,Clemson,ACC,2555.9,14,1,15,0.933,14-1,Alabama,2485.8,1726.4,2026-05-20T21:48:35Z,24202.1
2016,2,Alabama,SEC,2485.8,14,1,15,0.933,14-1,Washington,2180.8,1715.5,2026-05-20T21:48:35Z,23176.8
2016,3,OSU,NA,2260.6,11,2,13,0.846,11-2,Michigan,2198.1,1750.1,2026-05-20T21:48:35Z,18101.8
2016,4,Michigan,Big Ten,2198.1,10,3,13,0.769,10-3,Wisconsin,2102.7,1655.1,2026-05-20T21:48:35Z,15447.8
2016,5,Washington,Big Ten,2180.8,12,2,14,0.857,12-2,Stanford,1910.9,1606.9,2026-05-20T21:48:35Z,17905.9
2016,6,Oklahoma,Big 12,2126.1,11,2,13,0.846,11-2,Oklahoma State,1983.9,1602.9,2026-05-20T21:48:35Z,16946.4
2016,7,USC,Big Ten,2105.4,10,3,13,0.769,10-3,Washington,2180.8,1711.4,2026-05-20T21:48:35Z,16097.3
2016,8,Wisconsin,Big Ten,2102.7,11,3,14,0.786,11-3,LSU,2008.2,1676.4,2026-05-20T21:48:35Z,16917.2
2016,9,Penn State,NA,2093.5,11,3,14,0.786,11-3,OSU,2260.6,1647.5,2026-05-20T21:48:35Z,17067.7
2016,10,FSU,NA,2031.8,10,3,13,0.769,10-3,Michigan,2198.1,1687.9,2026-05-20T21:48:35Z,15821.8
2016,11,LSU,SEC,2008.2,8,4,12,0.667,8-4,Louisville,1819.1,1651.4,2026-05-20T21:48:35Z,11470.7
2016,12,Oklahoma State,NA,1983.9,10,3,13,0.769,10-3,Colorado,1894.8,1463.6,2026-05-20T21:48:35Z,14182.3
2016,13,W Michigan,NA,1967.2,13,1,14,0.929,13-1,Northwestern,1726.7,1261.5,2026-05-20T21:48:35Z,15558.4
2016,14,Stanford,ACC,1910.9,10,3,13,0.769,10-3,USC,2105.4,1650.1,2026-05-20T21:48:35Z,15565.8
2016,15,Miami,ACC,1906.5,9,4,13,0.692,9-4,Georgia Tech,1821.1,1501.7,2026-05-20T21:48:35Z,12394.4
2016,16,Florida,SEC,1897.5,9,4,13,0.692,9-4,LSU,2008.2,1687.2,2026-05-20T21:48:35Z,13859.8
2016,17,Colorado,Big 12,1894.8,10,4,14,0.714,10-4,Stanford,1910.9,1666,2026-05-20T21:48:35Z,14855.2
2016,18,Tennessee,SEC,1876.6,9,4,13,0.692,9-4,Florida,1897.5,1613.7,2026-05-20T21:48:35Z,13619.6
2016,19,W Kentucky,NA,1870,11,3,14,0.786,11-3,Old Dominion,1593.3,1333.4,2026-05-20T21:48:35Z,13113.9
2016,20,Auburn,SEC,1860.5,8,5,13,0.615,8-5,LSU,2008.2,1732.3,2026-05-20T21:48:35Z,11804.9
2016,21,Virginia Tech,ACC,1852.8,10,4,14,0.714,10-4,Miami,1906.5,1574.6,2026-05-20T21:48:35Z,14357.7
2016,22,Kansas State,NA,1849.9,9,4,13,0.692,9-4,Texas A&M,1789.5,1467.2,2026-05-20T21:48:35Z,11287.9
2016,23,Minnesota,Big Ten,1831.9,9,4,13,0.692,9-4,Washington St,1810,1495.5,2026-05-20T21:48:35Z,11729.7
2016,24,Georgia Tech,ACC,1821.1,9,4,13,0.692,9-4,Virginia Tech,1852.8,1551.4,2026-05-20T21:48:35Z,12265.9
2016,25,Louisville,ACC,1819.1,9,4,13,0.692,9-4,FSU,2031.8,1596.6,2026-05-20T21:48:35Z,12940
2016,26,Washington St,NA,1810,8,5,13,0.615,8-5,Stanford,1910.9,1557.1,2026-05-20T21:48:35Z,12200.2
2016,27,USF,NA,1790.4,11,2,13,0.846,11-2,Memphis,1577.1,1328.5,2026-05-20T21:48:35Z,13570
2016,28,Texas A&M,SEC,1789.5,8,5,13,0.615,8-5,Tennessee,1876.6,1612.8,2026-05-20T21:48:35Z,11448.4
2016,29,Iowa,Big Ten,1775.8,8,5,13,0.615,8-5,Michigan,2198.1,1552.1,2026-05-20T21:48:35Z,11911.7
2016,30,West Virginia,Big 12,1765.3,10,3,13,0.769,10-3,Kansas State,1849.9,1506.9,2026-05-20T21:48:35Z,13573
2016,31,Appalachian St,NA,1761.4,10,3,13,0.769,10-3,Toledo,1607.6,1370.2,2026-05-20T21:48:35Z,12457.7
2016,32,Georgia,SEC,1758.1,8,5,13,0.615,8-5,Auburn,1860.5,1578.1,2026-05-20T21:48:35Z,11823
2016,33,Utah,Big 12,1753.9,9,4,13,0.692,9-4,USC,2105.4,1537.2,2026-05-20T21:48:35Z,12878.7
2016,34,NC State,ACC,1753.1,7,6,13,0.538,7-6,UNC,1745.7,1586.4,2026-05-20T21:48:35Z,9595.6
2016,35,BYU,Big 12,1749.2,9,4,13,0.692,9-4,Miss St,1660.9,1400,2026-05-20T21:48:35Z,11590.1
2016,36,Tulsa,NA,1749,10,3,13,0.769,10-3,Memphis,1577.1,1329.4,2026-05-20T21:48:35Z,11851.8
2016,37,UNC,NA,1745.7,8,5,13,0.615,8-5,FSU,2031.8,1445.4,2026-05-20T21:48:35Z,10226.1
2016,38,Nebraska,Big Ten,1739.7,9,4,13,0.692,9-4,Minnesota,1831.9,1587.2,2026-05-20T21:48:35Z,12617.8
2016,39,Northwestern,Big Ten,1726.7,7,6,13,0.538,7-6,Iowa,1775.8,1567,2026-05-20T21:48:35Z,10024.6
2016,40,Pitt,ACC,1694.2,8,5,13,0.615,8-5,Clemson,2555.9,1596.5,2026-05-20T21:48:35Z,11539.1
2016,41,Arkansas,SEC,1680,7,6,13,0.538,7-6,Florida,1897.5,1579.8,2026-05-20T21:48:35Z,9074.8
2016,42,Temple,AAC,1668.4,10,4,14,0.714,10-4,USF,1790.4,1319.6,2026-05-20T21:48:35Z,11879.4
2016,43,Miss St,SEC,1660.9,6,7,13,0.462,6-7,Texas A&M,1789.5,1533.5,2026-05-20T21:48:35Z,7311.9
2016,44,San Diego State,NA,1654.7,11,3,14,0.786,11-3,Houston,1630.9,1215.5,2026-05-20T21:48:35Z,12720.1
2016,45,Air Force,Mountain West,1647.6,10,3,13,0.769,10-3,Boise St,1622.9,1233.8,2026-05-20T21:48:35Z,11587.7
2016,46,Houston,Big 12,1630.9,9,4,13,0.692,9-4,Oklahoma,2126.1,1347.9,2026-05-20T21:48:35Z,11387.3
2016,47,Boise St,Mountain West,1622.9,10,3,13,0.769,10-3,Washington St,1810,1455.2,2026-05-20T21:48:35Z,14236.7
2016,48,Kentucky,SEC,1620.7,7,6,13,0.538,7-6,Louisville,1819.1,1613.2,2026-05-20T21:48:35Z,9772.5
2016,49,Toledo,NA,1607.6,9,4,13,0.692,9-4,Arkansas State,1517.7,1288.3,2026-05-20T21:48:35Z,9927.7
2016,50,Old Dominion,Sun Belt,1593.3,10,3,13,0.769,10-3,UTSA,1390.6,1228.7,2026-05-20T21:48:35Z,10588.2
2016,51,California,ACC,1586,5,7,12,0.417,5-7,Utah,1753.9,1664.2,2026-05-20T21:48:35Z,7462.5
2016,52,Boston College,ACC,1585.9,7,6,13,0.538,7-6,NC State,1753.1,1519.7,2026-05-20T21:48:35Z,8241.9
2016,53,Vanderbilt,SEC,1583.6,6,7,13,0.462,6-7,Tennessee,1876.6,1567.4,2026-05-20T21:48:35Z,8457.4
2016,54,Idaho,NA,1582.7,9,4,13,0.692,9-4,Colorado State,1572.1,1279.8,2026-05-20T21:48:35Z,9314.3
2016,55,TCU,Big 12,1582.6,6,7,13,0.462,6-7,Baylor,1527.4,1496.4,2026-05-20T21:48:35Z,6903.5
2016,56,Memphis,AAC,1577.1,8,5,13,0.615,8-5,Temple,1668.4,1374.4,2026-05-20T21:48:35Z,9406.2
2016,57,New Mexico,Mountain West,1577.1,9,4,13,0.692,9-4,Air Force,1647.6,1232,2026-05-20T21:48:35Z,10710.6
2016,58,Colorado State,NA,1572.1,7,6,13,0.538,7-6,San Diego State,1654.7,1370.2,2026-05-20T21:48:35Z,7726.6
2016,59,Troy,Sun Belt,1571.3,10,3,13,0.769,10-3,Appalachian St,1761.4,1321,2026-05-20T21:48:35Z,11844.1
2016,60,Wake Forest,ACC,1562,7,6,13,0.538,7-6,Temple,1668.4,1503.9,2026-05-20T21:48:35Z,8443.2
2016,61,Navy,AAC,1538.3,9,5,14,0.643,9-5,Tulsa,1749,1376.2,2026-05-20T21:48:35Z,11314.1
2016,62,Baylor,Big 12,1527.4,7,6,13,0.538,7-6,Oklahoma State,1983.9,1438.3,2026-05-20T21:48:35Z,8558.6
2016,63,Indiana,Big Ten,1525.6,6,7,13,0.462,6-7,Maryland,1448.9,1577,2026-05-20T21:48:35Z,7166.1
2016,64,Arkansas State,NA,1517.7,8,5,13,0.615,8-5,Troy,1571.3,1236,2026-05-20T21:48:35Z,9449.5
2016,65,Ole Miss,SEC,1513.6,5,7,12,0.417,5-7,Texas A&M,1789.5,1655.9,2026-05-20T21:48:35Z,6559.6
2016,66,Wyoming,Mountain West,1506.5,8,6,14,0.571,8-6,San Diego State,1654.7,1416.2,2026-05-20T21:48:35Z,10812.6
2016,67,Oregon State,NA,1500.1,4,8,12,0.333,4-8,California,1586,1629.5,2026-05-20T21:48:35Z,5080.3
2016,68,South Carolina,SEC,1500.1,6,7,13,0.462,6-7,Tennessee,1876.6,1600.4,2026-05-20T21:48:35Z,7732.7
2016,69,Notre Dame,ACC,1496.8,4,8,12,0.333,4-8,Miami,1906.5,1583.4,2026-05-20T21:48:35Z,5816.6
2016,70,LA Tech,NA,1484.4,9,5,14,0.643,9-5,W Kentucky,1870,1312,2026-05-20T21:48:35Z,10811.9
2016,71,UCLA,Big Ten,1468.1,4,8,12,0.333,4-8,BYU,1749.2,1650.6,2026-05-20T21:48:35Z,5610.7
2016,72,Missouri,SEC,1465.8,4,8,12,0.333,4-8,Arkansas,1680,1535.2,2026-05-20T21:48:35Z,4737.1
2016,73,Maryland,Big Ten,1448.9,6,7,13,0.462,6-7,UCF,1384.5,1530.7,2026-05-20T21:48:35Z,6664.2
2016,74,Oregon,Big Ten,1443.5,4,8,12,0.333,4-8,Utah,1753.9,1637.4,2026-05-20T21:48:35Z,4921
2016,75,Syracuse,ACC,1433.7,4,8,12,0.333,4-8,Virginia Tech,1852.8,1608.6,2026-05-20T21:48:35Z,4600.3
2016,76,Texas,Big 12,1429.5,5,7,12,0.417,5-7,Baylor,1527.4,1563.5,2026-05-20T21:48:35Z,6823.8
2016,77,UTSA,C-USA,1390.6,6,7,13,0.462,6-7,Southern Miss,1360.5,1266.6,2026-05-20T21:48:35Z,6044.7
2016,78,Texas Tech,Big 12,1386.5,5,7,12,0.417,5-7,TCU,1582.6,1472.8,2026-05-20T21:48:35Z,5818
2016,79,UCF,Big 12,1384.5,6,7,13,0.462,6-7,Tulane,1204.6,1408.1,2026-05-20T21:48:35Z,6301.3
2016,80,Hawai'i,Mountain West,1367.5,7,7,14,0.5,7-7,Air Force,1647.6,1319.6,2026-05-20T21:48:35Z,7474.6
