season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2015,144,Wagner,NA,643.2,0,2,2,0,0-2,NA,NA,1390.8,2026-05-20T21:48:23Z,NA
2015,145,Kansas,Big 12,639.9,0,12,12,0,0-12,NA,NA,1664.5,2026-05-20T21:48:23Z,NA
2015,146,Howard,NA,639,0,2,2,0,0-2,NA,NA,1407.3,2026-05-20T21:48:23Z,NA
2015,147,Northwestern St,NA,630.9,0,2,2,0,0-2,NA,NA,1450.1,2026-05-20T21:48:23Z,NA
2015,148,Norfolk State,NA,624.2,0,3,3,0,0-3,NA,NA,1309.7,2026-05-20T21:48:23Z,NA
2015,149,UC Davis,NA,610.8,0,2,2,0,0-2,NA,NA,1079.3,2026-05-20T21:48:23Z,NA
2015,150,Idaho State,NA,594.6,0,2,2,0,0-2,NA,NA,1251.6,2026-05-20T21:48:23Z,NA
2015,151,Maine,NA,568.4,0,2,2,0,0-2,NA,NA,998.8,2026-05-20T21:48:23Z,NA
2015,152,Presbyterian,NA,547.1,0,2,2,0,0-2,NA,NA,894.7,2026-05-20T21:48:23Z,NA
2015,153,Nicholls State,NA,545.5,0,2,2,0,0-2,NA,NA,1037.3,2026-05-20T21:48:23Z,NA
2015,154,JMU,NA,508.6,1,0,1,1,1-0,SMU,1078.6,1078.6,2026-05-20T21:48:23Z,1078.6
2015,155,South Dakota St,NA,486.5,1,0,1,1,1-0,Kansas,639.9,639.9,2026-05-20T21:48:23Z,639.9
2015,156,Fordham,NA,436.3,1,0,1,1,1-0,Army,789.7,789.7,2026-05-20T21:48:23Z,789.7
2015,157,S Illinois,NA,186.1,0,1,1,0,0-1,NA,NA,1534.2,2026-05-20T21:48:23Z,NA
2015,158,Southern Utah,NA,184.5,0,1,1,0,0-1,NA,NA,1409.3,2026-05-20T21:48:23Z,NA
2015,159,Chattanooga,NA,184,0,1,1,0,0-1,NA,NA,2018.2,2026-05-20T21:48:23Z,NA
2015,160,Jacksonville St,C-USA,183.8,0,1,1,0,0-1,NA,NA,1838.1,2026-05-20T21:48:23Z,NA
2015,161,Villanova,NA,183.6,0,1,1,0,0-1,NA,NA,1434.3,2026-05-20T21:48:23Z,NA
2015,162,Youngstown St,NA,183.2,0,1,1,0,0-1,NA,NA,1732.5,2026-05-20T21:48:23Z,NA
2015,163,Delaware,NA,182.8,0,1,1,0,0-1,NA,NA,1893.4,2026-05-20T21:48:23Z,NA
2015,164,SE Louisiana,NA,182.6,0,1,1,0,0-1,NA,NA,1431.5,2026-05-20T21:48:23Z,NA
2015,165,Towson,NA,182.6,0,1,1,0,0-1,NA,NA,1378.5,2026-05-20T21:48:23Z,NA
2015,166,William & Mary,NA,182.4,0,1,1,0,0-1,NA,NA,1415.4,2026-05-20T21:48:23Z,NA
2015,167,Illinois State,NA,182,0,1,1,0,0-1,NA,NA,2075.7,2026-05-20T21:48:23Z,NA
2015,168,Sam Houston,C-USA,182,0,1,1,0,0-1,NA,NA,1726.7,2026-05-20T21:48:23Z,NA
2015,169,Cent Arkansas,NA,181.9,0,1,1,0,0-1,NA,NA,1962.2,2026-05-20T21:48:23Z,NA
2015,170,E Washington,NA,181.7,0,1,1,0,0-1,NA,NA,1974.5,2026-05-20T21:48:23Z,NA
2015,171,Lamar,NA,181.7,0,1,1,0,0-1,NA,NA,2008.2,2026-05-20T21:48:23Z,NA
2015,172,Cal Poly,NA,181.3,0,1,1,0,0-1,NA,NA,1704.8,2026-05-20T21:48:23Z,NA
2015,173,Tenn Tech,NA,181.1,0,1,1,0,0-1,NA,NA,2241.8,2026-05-20T21:48:23Z,NA
2015,174,E Illinois,NA,181,0,1,1,0,0-1,NA,NA,1916.2,2026-05-20T21:48:23Z,NA
2015,175,Gardner-Webb,NA,181,0,1,1,0,0-1,NA,NA,1137.6,2026-05-20T21:48:23Z,NA
2015,176,N Arizona,NA,181,0,1,1,0,0-1,NA,NA,1579.4,2026-05-20T21:48:23Z,NA
2015,177,San Diego,NA,180.6,0,1,1,0,0-1,NA,NA,1709.8,2026-05-20T21:48:23Z,NA
2015,178,W Illinois,NA,180.6,0,1,1,0,0-1,NA,NA,1446.9,2026-05-20T21:48:23Z,NA
2015,179,Colgate,NA,180.5,0,1,1,0,0-1,NA,NA,2008.6,2026-05-20T21:48:23Z,NA
2015,180,Monmouth,NA,180.5,0,1,1,0,0-1,NA,NA,1506.4,2026-05-20T21:48:23Z,NA
2015,181,Northern Iowa,NA,180.3,0,1,1,0,0-1,NA,NA,1474.6,2026-05-20T21:48:23Z,NA
2015,182,SF Austin,NA,180.2,0,1,1,0,0-1,NA,NA,2113,2026-05-20T21:48:23Z,NA
2015,183,SE Missouri St,NA,180.1,0,1,1,0,0-1,NA,NA,1514,2026-05-20T21:48:23Z,NA
2015,184,South Dakota,NA,180,0,1,1,0,0-1,NA,NA,1532.3,2026-05-20T21:48:23Z,NA
2015,185,Bethune-Cookman,NA,179.9,0,1,1,0,0-1,NA,NA,1681.3,2026-05-20T21:48:23Z,NA
2015,186,Florida A&M,NA,179.9,0,1,1,0,0-1,NA,NA,1732.7,2026-05-20T21:48:23Z,NA
2015,187,NC A&T,NA,179.9,0,1,1,0,0-1,NA,NA,1893.4,2026-05-20T21:48:23Z,NA
2015,188,Alabama A&M,NA,179.8,0,1,1,0,0-1,NA,NA,1528.8,2026-05-20T21:48:23Z,NA
2015,189,Richmond,NA,179.8,0,1,1,0,0-1,NA,NA,1442.9,2026-05-20T21:48:23Z,NA
2015,190,UNH,NA,179.8,0,1,1,0,0-1,NA,NA,1295.5,2026-05-20T21:48:23Z,NA
2015,191,VMI,NA,179.7,0,1,1,0,0-1,NA,NA,1062.8,2026-05-20T21:48:23Z,NA
2015,192,Grambling St,NA,179.5,0,1,1,0,0-1,NA,NA,1757.9,2026-05-20T21:48:23Z,NA
2015,193,Sacramento St,NA,179.5,0,1,1,0,0-1,NA,NA,1813.1,2026-05-20T21:48:23Z,NA
2015,194,Jackson State,NA,179,0,1,1,0,0-1,NA,NA,1390.2,2026-05-20T21:48:23Z,NA
2015,195,Incarnate Word,NA,178.9,0,1,1,0,0-1,NA,NA,993.7,2026-05-20T21:48:23Z,NA
2015,196,Morgan State,NA,178.9,0,1,1,0,0-1,NA,NA,1387.5,2026-05-20T21:48:23Z,NA
2015,197,Samford,NA,178.9,0,1,1,0,0-1,NA,NA,1750.4,2026-05-20T21:48:23Z,NA
2015,198,Weber State,NA,178.8,0,1,1,0,0-1,NA,NA,1171.6,2026-05-20T21:48:23Z,NA
2015,199,Albany,NA,178.4,0,1,1,0,0-1,NA,NA,1188.9,2026-05-20T21:48:23Z,NA
2015,200,URI,NA,178.1,0,1,1,0,0-1,NA,NA,1269.5,2026-05-20T21:48:23Z,NA
2015,201,Indiana State,NA,178,0,1,1,0,0-1,NA,NA,1202.3,2026-05-20T21:48:23Z,NA
2015,202,Miss Valley St,NA,178,0,1,1,0,0-1,NA,NA,1287.4,2026-05-20T21:48:23Z,NA
2015,203,Alcorn State,NA,177.8,0,1,1,0,0-1,NA,NA,1296.7,2026-05-20T21:48:23Z,NA
2015,204,Abil Christian,NA,177.5,0,1,1,0,0-1,NA,NA,1024.1,2026-05-20T21:48:23Z,NA
2015,205,Elon,NA,177.2,0,1,1,0,0-1,NA,NA,1090.9,2026-05-20T21:48:23Z,NA
2015,206,Bucknell,NA,175.9,0,1,1,0,0-1,NA,NA,789.7,2026-05-20T21:48:23Z,NA
2015,207,Delaware State,NA,175.3,0,1,1,0,0-1,NA,NA,1071.1,2026-05-20T21:48:23Z,NA
2015,208,PV A&M,NA,172.2,0,1,1,0,0-1,NA,NA,928.8,2026-05-20T21:48:23Z,NA
