season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2018,1,Clemson,ACC,2722.6,15,0,15,1,15-0,Alabama,2484.9,1691.1,2026-05-20T21:48:58Z,25367
2018,2,Alabama,SEC,2484.9,14,1,15,0.933,14-1,Oklahoma,2190.4,1694.2,2026-05-20T21:48:58Z,22690.9
2018,3,Notre Dame,ACC,2329.5,12,1,13,0.923,12-1,Syracuse,2028.1,1711,2026-05-20T21:48:58Z,19520.9
2018,4,Ohio State,NA,2191.3,13,1,14,0.929,13-1,Michigan,1980.8,1636.7,2026-05-20T21:48:58Z,21240.5
2018,5,Oklahoma,Big 12,2190.4,12,2,14,0.857,12-2,Texas,2044.5,1733.5,2026-05-20T21:48:58Z,19740
2018,6,LSU,SEC,2172.6,10,3,13,0.769,10-3,Georgia,2134.5,1673.1,2026-05-20T21:48:58Z,15195.9
2018,7,Georgia,SEC,2134.5,11,3,14,0.786,11-3,Florida,2041,1716.8,2026-05-20T21:48:58Z,17333.9
2018,8,UCF,Big 12,2079.8,12,1,13,0.923,12-1,Cincinnati,1800.5,1381,2026-05-20T21:48:58Z,15780.8
2018,9,Texas,Big 12,2044.5,10,4,14,0.714,10-4,Oklahoma,2190.4,1685.3,2026-05-20T21:48:58Z,16347
2018,10,Florida,SEC,2041,10,3,13,0.769,10-3,LSU,2172.6,1579.4,2026-05-20T21:48:58Z,14525.1
2018,11,Texas A&M,SEC,2028.9,9,4,13,0.692,9-4,LSU,2172.6,1723.2,2026-05-20T21:48:58Z,13366.9
2018,12,Syracuse,ACC,2028.1,10,3,13,0.769,10-3,West Virginia,1820.9,1515,2026-05-20T21:48:58Z,12878.4
2018,13,Michigan,Big Ten,1980.8,10,3,13,0.769,10-3,Penn State,1931.9,1708.7,2026-05-20T21:48:58Z,15651.9
2018,14,Washington,Big Ten,1962.3,10,4,14,0.714,10-4,Washington St,1907.3,1530.4,2026-05-20T21:48:58Z,14312.5
2018,15,Kentucky,SEC,1943.2,10,3,13,0.769,10-3,Florida,2041,1586.7,2026-05-20T21:48:58Z,14837.2
2018,16,Miss St,SEC,1935.7,8,5,13,0.615,8-5,Texas A&M,2028.9,1665.9,2026-05-20T21:48:58Z,11125
2018,17,Penn State,NA,1931.9,9,4,13,0.692,9-4,Iowa,1890.1,1650.5,2026-05-20T21:48:58Z,13570.4
2018,18,Missouri,SEC,1929,8,5,13,0.615,8-5,Florida,2041,1668.9,2026-05-20T21:48:58Z,11772.8
2018,19,Washington St,NA,1907.3,11,2,13,0.846,11-2,Iowa State,1848.3,1401.9,2026-05-20T21:48:58Z,14807.9
2018,20,Northwestern,Big Ten,1901.3,9,5,14,0.643,9-5,Iowa,1890.1,1687.4,2026-05-20T21:48:58Z,14425.6
2018,21,Auburn,SEC,1891.6,8,5,13,0.615,8-5,Texas A&M,2028.9,1681.5,2026-05-20T21:48:58Z,11504.7
2018,22,Iowa,Big Ten,1890.1,9,4,13,0.692,9-4,Miss St,1935.7,1563.7,2026-05-20T21:48:58Z,13108.8
2018,23,Fresno State,NA,1873,12,2,14,0.857,12-2,Boise St,1839.8,1359.3,2026-05-20T21:48:58Z,15483.6
2018,24,Appalachian St,NA,1864.5,11,2,13,0.846,11-2,Troy,1727,1312.7,2026-05-20T21:48:58Z,13469.8
2018,25,Iowa State,NA,1848.3,8,5,13,0.615,8-5,West Virginia,1820.9,1573.6,2026-05-20T21:48:58Z,10713.8
2018,26,Boise St,Mountain West,1839.8,10,3,13,0.769,10-3,Fresno State,1873,1446.5,2026-05-20T21:48:58Z,13822
2018,27,Army,NA,1826.8,11,2,13,0.846,11-2,Buffalo,1536.4,1223,2026-05-20T21:48:58Z,12006.4
2018,28,West Virginia,Big 12,1820.9,8,4,12,0.667,8-4,Texas,2044.5,1612,2026-05-20T21:48:58Z,11612.5
2018,29,Utah State,NA,1806.1,11,2,13,0.846,11-2,BYU,1582.9,1209.6,2026-05-20T21:48:58Z,12113.6
2018,30,Cincinnati,Big 12,1800.5,11,2,13,0.846,11-2,Ohio,1702.4,1301.1,2026-05-20T21:48:58Z,13228.1
2018,31,NC State,ACC,1783.4,9,4,13,0.692,9-4,UVA,1742.8,1496.7,2026-05-20T21:48:58Z,10953.9
2018,32,Mich. St.,NA,1771.2,7,6,13,0.538,7-6,Penn State,1931.9,1627,2026-05-20T21:48:58Z,10262.8
2018,33,Pitt,ACC,1764.8,7,7,14,0.5,7-7,Syracuse,2028.1,1709.4,2026-05-20T21:48:58Z,10490
2018,34,Stanford,ACC,1764.3,9,4,13,0.692,9-4,Pitt,1764.8,1599.8,2026-05-20T21:48:58Z,12861.2
2018,35,UVA,NA,1742.8,8,5,13,0.615,8-5,Duke,1702.5,1416.5,2026-05-20T21:48:58Z,10244.6
2018,36,Utah,Big 12,1736.6,9,5,14,0.643,9-5,Stanford,1764.3,1539.9,2026-05-20T21:48:58Z,12222.7
2018,37,Troy,Sun Belt,1727,10,3,13,0.769,10-3,Ga Southern,1663.9,1319,2026-05-20T21:48:58Z,12177.3
2018,38,Wake Forest,ACC,1724,7,6,13,0.538,7-6,NC State,1783.4,1601.7,2026-05-20T21:48:58Z,8656.5
2018,39,Boston College,ACC,1718.6,7,5,12,0.583,7-5,Wake Forest,1724,1561.6,2026-05-20T21:48:58Z,8930.7
2018,40,Wisconsin,Big Ten,1712.5,8,5,13,0.615,8-5,Iowa,1890.1,1567.2,2026-05-20T21:48:58Z,11269.7
2018,41,TCU,Big 12,1710.9,7,6,13,0.538,7-6,Iowa State,1848.3,1634.2,2026-05-20T21:48:58Z,10266.2
2018,42,Minnesota,Big Ten,1706.7,7,6,13,0.538,7-6,Fresno State,1873,1636.8,2026-05-20T21:48:58Z,10782.7
2018,43,Duke,ACC,1702.5,8,5,13,0.615,8-5,Northwestern,1901.3,1605.2,2026-05-20T21:48:58Z,11378.5
2018,44,Ohio,NA,1702.4,9,4,13,0.692,9-4,Buffalo,1536.4,1270.8,2026-05-20T21:48:58Z,10067.1
2018,45,S Carolina,NA,1696.2,7,6,13,0.538,7-6,Missouri,1929,1675.3,2026-05-20T21:48:58Z,9165.9
2018,46,Vanderbilt,SEC,1679.8,6,7,13,0.462,6-7,Tennessee,1627.1,1628,2026-05-20T21:48:58Z,7420.9
2018,47,Purdue,Big Ten,1673,6,7,13,0.462,6-7,Ohio State,2191.3,1733.6,2026-05-20T21:48:58Z,10251.2
2018,48,Baylor,Big 12,1669.7,7,6,13,0.538,7-6,Vanderbilt,1679.8,1557.3,2026-05-20T21:48:58Z,8927.3
2018,49,Oklahoma State,NA,1664.2,7,6,13,0.538,7-6,Texas,2044.5,1595.2,2026-05-20T21:48:58Z,10150.9
