season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,draws,country
2026,194,Cercle Brugge,Pro League,1387.6,10,15,25,0.4,10-15,Anderlecht,1526.5,1472.2,NA,2026-06-24T10:28:04Z,11,BEL
2026,195,Nacional,Primeira Liga,1386.1,9,18,27,0.333,9-18,Sp Braga,1653,1555.1,NA,2026-06-24T10:28:04Z,7,POR
2026,196,Virtus Entella,Serie B,1384.5,10,16,26,0.385,10-16,Monza,1764.9,1511.9,NA,2026-06-24T10:28:04Z,12,ITA
2026,197,Dundee United,Scottish Premiership,1384.3,10,13,23,0.435,10-13,Celtic,1771.7,1488.5,NA,2026-06-24T10:28:04Z,15,SCO
2026,198,Bari,Serie B,1382.7,10,18,28,0.357,10-18,Catanzaro,1593.9,1532.2,NA,2026-06-24T10:28:04Z,10,ITA
2026,199,Stoke,Championship,1382.5,15,21,36,0.417,15-21,Southampton,1705.8,1504.4,NA,2026-06-24T10:28:04Z,10,ENG
2026,200,Valladolid,La Liga 2,1381.2,12,20,32,0.375,12-20,Castellon,1670.9,1497.2,NA,2026-06-24T10:28:04Z,10,ESP
2026,201,Nancy,Ligue 2,1380.4,9,15,24,0.375,9-15,Troyes,1716.7,1524.2,NA,2026-06-24T10:28:04Z,10,FRA
2026,202,Tottenham,Premier League,1378,10,17,27,0.37,10-17,Man City,1812.5,1512.3,NA,2026-06-24T10:28:04Z,11,ENG
2026,203,Eyupspor,Süper Lig,1377.6,8,17,25,0.32,8-17,Genclerbirligi,1427.1,1496.8,NA,2026-06-24T10:28:04Z,9,TUR
2026,204,Cesena,Serie B,1377.3,12,16,28,0.429,12-16,Venezia,1923.5,1507.6,NA,2026-06-24T10:28:04Z,10,ITA
2026,205,Hamburg,2. Bundesliga,1375.6,9,14,23,0.391,9-14,Stuttgart,1713.4,1498.5,NA,2026-06-24T10:28:04Z,11,GER
2026,206,Oxford,Championship,1375.6,11,21,32,0.344,11-21,Ipswich,1717,1482.6,NA,2026-06-24T10:28:04Z,14,ENG
2026,207,Sampdoria,Serie B,1372.5,11,16,27,0.407,11-16,Modena,1527.3,1483.4,NA,2026-06-24T10:28:04Z,11,ITA
2026,208,Empoli,Serie B,1370.4,9,15,24,0.375,9-15,Catanzaro,1593.9,1472.9,NA,2026-06-24T10:28:04Z,14,ITA
2026,209,Lecce,Serie A,1369.6,10,20,30,0.333,10-20,Udinese,1501.3,1528,NA,2026-06-24T10:28:04Z,8,ITA
2026,210,Parma,Serie A,1369,11,15,26,0.423,11-15,Milan,1627.1,1493.6,NA,2026-06-24T10:28:04Z,12,ITA
2026,211,West Ham,Premier League,1367.8,10,19,29,0.345,10-19,Fulham,1490.9,1474.1,NA,2026-06-24T10:28:04Z,9,ENG
2026,212,Dundee,Scottish Premiership,1366.9,11,18,29,0.379,11-18,Celtic,1771.7,1506.6,NA,2026-06-24T10:28:04Z,9,SCO
2026,213,Spezia,Serie B,1365.9,8,19,27,0.296,8-19,Monza,1764.9,1531.5,NA,2026-06-24T10:28:04Z,11,ITA
2026,214,Boulogne,Ligue 2,1356.3,9,16,25,0.36,9-16,St Etienne,1632.2,1500.4,NA,2026-06-24T10:28:04Z,9,FRA
2026,215,Aberdeen,Scottish Premiership,1354.4,11,20,31,0.355,11-20,Hearts,1810.5,1520.4,NA,2026-06-24T10:28:04Z,7,SCO
2026,216,Oud-Heverlee Leuven,Pro League,1352.6,10,20,30,0.333,10-20,Standard,1508.7,1500.4,NA,2026-06-24T10:28:04Z,10,BEL
2026,217,Pescara,Serie B,1347.9,7,17,24,0.292,7-17,Palermo,1708.4,1507.4,NA,2026-06-24T10:28:04Z,14,ITA
2026,218,FC Koln,2. Bundesliga,1345.7,7,16,23,0.304,7-16,Hoffenheim,1596.8,1580.9,NA,2026-06-24T10:28:04Z,11,GER
2026,219,Gaziantep,Süper Lig,1343.6,9,15,24,0.375,9-15,Genclerbirligi,1427.1,1496.6,NA,2026-06-24T10:28:04Z,10,TUR
2026,220,Sudtirol,Serie B,1343.4,8,13,21,0.381,8-13,Catanzaro,1593.9,1481.2,NA,2026-06-24T10:28:04Z,17,ITA
2026,221,Kasimpasa,Süper Lig,1342.5,8,15,23,0.348,8-15,Galatasaray,1791.4,1493.1,NA,2026-06-24T10:28:04Z,11,TUR
2026,222,Mirandes,La Liga 2,1340.9,10,22,32,0.312,10-22,Malaga,1701.7,1497.2,NA,2026-06-24T10:28:04Z,10,ESP
2026,223,Kocaelispor,Süper Lig,1338.4,9,15,24,0.375,9-15,Galatasaray,1791.4,1513.4,NA,2026-06-24T10:28:04Z,10,TUR
2026,224,Cremonese,Serie A,1332.6,8,20,28,0.286,8-20,Milan,1627.1,1538.3,NA,2026-06-24T10:28:04Z,10,ITA
2026,225,Karagumruk,Süper Lig,1330.4,8,20,28,0.286,8-20,Fenerbahce,1879.5,1526.6,NA,2026-06-24T10:28:04Z,6,TUR
2026,226,Angers,Ligue 1,1330.1,9,16,25,0.36,9-16,Paris FC,1537.5,1514.3,NA,2026-06-24T10:28:04Z,9,FRA
2026,227,Cadiz,La Liga 2,1329.9,11,21,32,0.344,11-21,Malaga,1701.7,1513.2,NA,2026-06-24T10:28:04Z,10,ESP
2026,228,Werder Bremen,2. Bundesliga,1323.2,8,18,26,0.308,8-18,M'gladbach,1442.8,1523.9,NA,2026-06-24T10:28:04Z,8,GER
2026,229,Nice,Ligue 1,1316.3,7,16,23,0.304,7-16,Lille,1640.7,1508.1,NA,2026-06-24T10:28:04Z,11,FRA
2026,230,Zwolle,Eredivisie,1315.3,9,15,24,0.375,9-15,Twente,1719.5,1499,NA,2026-06-24T10:28:04Z,10,NED
2026,231,Bastia,Ligue 2,1313.6,5,15,20,0.25,5-15,St Etienne,1632.2,1527.7,NA,2026-06-24T10:28:04Z,13,FRA
2026,232,Antalyaspor,Süper Lig,1309.8,8,18,26,0.308,8-18,Samsunspor,1580.7,1506.7,NA,2026-06-24T10:28:04Z,8,TUR
2026,233,RAAL La Louviere,Pro League,1309.8,7,15,22,0.318,7-15,Club Brugge,1889.3,1496.8,NA,2026-06-24T10:28:04Z,13,BEL
2026,234,Rio Ave,Primeira Liga,1306.8,8,14,22,0.364,8-14,Estoril,1452.5,1509.7,NA,2026-06-24T10:28:04Z,12,POR
2026,235,Laval,Ligue 2,1305.3,6,14,20,0.3,6-14,Dunkerque,1489.9,1475.3,NA,2026-06-24T10:28:04Z,14,FRA
2026,236,Huesca,La Liga 2,1302.5,9,22,31,0.29,9-22,Malaga,1701.7,1500.5,NA,2026-06-24T10:28:04Z,11,ESP
2026,237,Volendam,Eredivisie,1301.8,8,18,26,0.308,8-18,PSV Eindhoven,1888.2,1498,NA,2026-06-24T10:28:04Z,8,NED
2026,238,Cultural Leonesa,La Liga 2,1300,9,23,32,0.281,9-23,Malaga,1701.7,1531.1,NA,2026-06-24T10:28:04Z,10,ESP
2026,239,Reggiana,Serie B,1294.7,9,19,28,0.321,9-19,Modena,1527.3,1510.3,NA,2026-06-24T10:28:04Z,10,ITA
2026,240,Wolfsburg,2. Bundesliga,1292.1,7,19,26,0.269,7-19,M'gladbach,1442.8,1529.1,NA,2026-06-24T10:28:04Z,8,GER
2026,241,Nantes,Ligue 1,1291.1,5,20,25,0.2,5-20,Marseille,1579.1,1539,NA,2026-06-24T10:28:04Z,9,FRA
2026,242,Zaragoza,La Liga 2,1281.2,8,22,30,0.267,8-22,Santander,1683.3,1497.8,NA,2026-06-24T10:28:04Z,12,ESP
2026,243,Kayserispor,Süper Lig,1280.8,6,16,22,0.273,6-16,Konyaspor,1466.7,1548,NA,2026-06-24T10:28:04Z,12,TUR
2026,244,St Mirren,Scottish Premiership,1269.9,8,20,28,0.286,8-20,Hearts,1810.5,1508.7,NA,2026-06-24T10:28:04Z,10,SCO
2026,245,Estrela,Primeira Liga,1269.5,6,16,22,0.273,6-16,Famalicao,1613.1,1548.1,NA,2026-06-24T10:28:04Z,12,POR
2026,246,Tondela,Primeira Liga,1246.5,6,18,24,0.25,6-18,Gil Vicente,1568.5,1518.5,NA,2026-06-24T10:28:04Z,10,POR
2026,247,Heidenheim,2. Bundesliga,1242.9,6,20,26,0.231,6-20,Freiburg,1487.7,1504,NA,2026-06-24T10:28:04Z,8,GER
2026,248,Oviedo,La Liga,1241.7,6,21,27,0.222,6-21,Celta,1527.4,1524.1,NA,2026-06-24T10:28:04Z,11,ESP
2026,249,NAC Breda,Eredivisie,1236,6,17,23,0.261,6-17,Heerenveen,1515.4,1486,NA,2026-06-24T10:28:04Z,11,NED
2026,250,Amiens,Ligue 2,1235.4,6,22,28,0.214,6-22,Rodez,1669.2,1523,NA,2026-06-24T10:28:04Z,6,FRA
2026,251,Casa Pia,Primeira Liga,1208.1,6,16,22,0.273,6-16,Porto,1915.3,1507.6,NA,2026-06-24T10:28:04Z,12,POR
2026,252,AVS,Primeira Liga,1188.1,3,19,22,0.136,3-19,Porto,1915.3,1568.6,NA,2026-06-24T10:28:04Z,12,POR
2026,253,St Pauli,2. Bundesliga,1187.4,6,20,26,0.231,6-20,Stuttgart,1713.4,1530.4,NA,2026-06-24T10:28:04Z,8,GER
2026,254,Heracles,Eredivisie,1172.5,5,25,30,0.167,5-25,Excelsior,1449.5,1524.6,NA,2026-06-24T10:28:04Z,4,NED
2026,255,Dender,Pro League,1159.6,4,21,25,0.16,4-21,Antwerp,1417,1531.5,NA,2026-06-24T10:28:04Z,10,BEL
2026,256,Wolves,Premier League,1141,3,24,27,0.111,3-24,Aston Villa,1593.8,1524,NA,2026-06-24T10:28:04Z,11,ENG
2026,257,Metz,Ligue 1,1137.5,3,23,26,0.115,3-23,Lens,1708.8,1546.6,NA,2026-06-24T10:28:04Z,8,FRA
2026,258,Burnley,Premier League,1130.2,4,24,28,0.143,4-24,Sunderland,1451.5,1522.6,NA,2026-06-24T10:28:04Z,10,ENG
2026,259,Verona,Serie A,1127,3,23,26,0.115,3-23,Atalanta,1603.5,1548.6,NA,2026-06-24T10:28:04Z,12,ITA
2026,260,Livingston,Scottish Premiership,1087.1,2,21,23,0.087,2-21,Falkirk,1481.1,1549.1,NA,2026-06-24T10:28:04Z,15,SCO
2026,261,Pisa,Serie A,1067.3,2,24,26,0.077,2-24,Cagliari,1396.9,1559.2,NA,2026-06-24T10:28:04Z,12,ITA
2026,262,Sheffield Weds,Championship,1006.6,2,32,34,0.059,2-32,Portsmouth,1462.1,1529.1,NA,2026-06-24T10:28:04Z,12,ENG
