season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2012,1,Juventus,Serie A,2145.8,23,0,23,1,23-0,Milan,1746.3,1455.1,2026-05-21T07:17:45Z,15,ITA
2012,2,Real Madrid,La Liga,2085,32,2,34,0.941,32-2,Barcelona,2040,1477.2,2026-05-21T07:17:45Z,4,ESP
2012,3,Barcelona,La Liga,2040,28,3,31,0.903,28-3,Real Madrid,2085,1474.4,2026-05-21T07:17:45Z,7,ESP
2012,4,Porto,Primeira Liga,2032.2,23,1,24,0.958,23-1,Benfica,1902.1,1459.7,2026-05-21T07:17:45Z,6,POR
2012,5,Dortmund,2. Bundesliga,1967.6,25,3,28,0.893,25-3,Bayern Munich,1792.7,1463.9,2026-05-21T07:17:45Z,6,GER
2012,6,Anderlecht,Pro League,1945,20,3,23,0.87,20-3,Club Brugge,1702.4,1494.6,2026-05-21T07:17:45Z,7,BEL
2012,7,Man City,Premier League,1925.3,28,5,33,0.848,28-5,Man United,1833.6,1481.5,2026-05-21T07:17:45Z,5,ENG
2012,8,Celtic,Scottish Premiership,1920.9,30,5,35,0.857,30-5,Rangers,1838.8,1494.7,2026-05-21T07:17:45Z,3,SCO
2012,9,Benfica,Primeira Liga,1902.1,21,3,24,0.875,21-3,Sp Braga,1773.7,1450.6,2026-05-21T07:17:45Z,6,POR
2012,10,Galatasaray,Süper Lig,1898.2,23,3,26,0.885,23-3,Fenerbahce,1736.3,1467.8,2026-05-21T07:17:45Z,8,TUR
2012,11,Ajax,Eredivisie,1862.2,23,4,27,0.852,23-4,PSV Eindhoven,1706.8,1448.8,2026-05-21T07:17:45Z,7,NED
2012,12,Rangers,Scottish Premiership,1838.8,26,7,33,0.788,26-7,Celtic,1920.9,1493.8,2026-05-21T07:17:45Z,5,SCO
2012,13,Man United,Premier League,1833.6,28,5,33,0.848,28-5,Arsenal,1707,1475.1,2026-05-21T07:17:45Z,5,ENG
2012,14,Paris SG,Ligue 1,1793.7,23,5,28,0.821,23-5,Montpellier,1766.7,1461,2026-05-21T07:17:45Z,10,FRA
2012,15,Bayern Munich,2. Bundesliga,1792.7,23,7,30,0.767,23-7,Schalke 04,1658,1492.1,2026-05-21T07:17:45Z,4,GER
2012,16,Feyenoord,Eredivisie,1774.8,21,6,27,0.778,21-6,Ajax,1862.2,1468.8,2026-05-21T07:17:45Z,7,NED
2012,17,Sp Braga,Primeira Liga,1773.7,19,6,25,0.76,19-6,Sp Lisbon,1703.6,1481.9,2026-05-21T07:17:45Z,5,POR
2012,18,Celta,La Liga 2,1770.8,26,9,35,0.743,26-9,Valladolid,1693.7,1478.7,2026-05-21T07:17:45Z,7,ESP
2012,19,Montpellier,Ligue 1,1766.7,25,6,31,0.806,25-6,Lille,1758.4,1476.8,2026-05-21T07:17:45Z,7,FRA
2012,20,Lille,Ligue 1,1758.4,21,6,27,0.778,21-6,Paris SG,1793.7,1485,2026-05-21T07:17:45Z,11,FRA
2012,21,Torino,Serie B,1749.4,24,7,31,0.774,24-7,Sassuolo,1733.9,1500.6,2026-05-21T07:17:45Z,11,ITA
2012,22,Milan,Serie A,1746.3,24,6,30,0.8,24-6,Parma,1588.8,1458.3,2026-05-21T07:17:45Z,8,ITA
2012,23,Fenerbahce,Süper Lig,1736.3,20,6,26,0.769,20-6,Trabzonspor,1673.8,1474.2,2026-05-21T07:17:45Z,8,TUR
2012,24,Sassuolo,Serie B,1733.9,22,6,28,0.786,22-6,Verona,1678,1465.4,2026-05-21T07:17:45Z,14,ITA
2012,25,La Coruna,La Liga 2,1732.7,29,9,38,0.763,29-9,Celta,1770.8,1485.9,2026-05-21T07:17:45Z,4,ESP
2012,26,West Ham,Championship,1729.2,24,8,32,0.75,24-8,Blackpool,1656.4,1492.3,2026-05-21T07:17:45Z,14,ENG
