season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2016,1,Sp Lisbon,Primeira Liga,2096.3,27,2,29,0.931,27-2,Benfica,1980.4,1474.8,2026-05-20T22:16:38Z,5,POR
2016,2,Ajax,Eredivisie,2090.8,25,2,27,0.926,25-2,PSV Eindhoven,2056,1472.4,2026-05-20T22:16:38Z,7,NED
2016,3,PSV Eindhoven,Eredivisie,2056,26,2,28,0.929,26-2,Ajax,2090.8,1491.8,2026-05-20T22:16:38Z,6,NED
2016,4,Paris SG,Ligue 1,2002.2,30,2,32,0.938,30-2,Lyon,1645.5,1472.5,2026-05-20T22:16:38Z,6,FRA
2016,5,Bayern Munich,2. Bundesliga,1993,28,2,30,0.933,28-2,Dortmund,1845.5,1452.9,2026-05-20T22:16:38Z,4,GER
2016,6,Benfica,Primeira Liga,1980.4,29,4,33,0.879,29-4,Sp Lisbon,2096.3,1477.9,2026-05-20T22:16:38Z,1,POR
2016,7,Real Madrid,La Liga,1927.6,28,4,32,0.875,28-4,Barcelona,1904.3,1470.7,2026-05-20T22:16:38Z,6,ESP
2016,8,Juventus,Serie A,1922.4,29,5,34,0.853,29-5,Roma,1897.6,1485.8,2026-05-20T22:16:38Z,4,ITA
2016,9,Celtic,Scottish Premiership,1906.9,26,4,30,0.867,26-4,Hearts,1631.1,1478.9,2026-05-20T22:16:38Z,8,SCO
2016,10,Barcelona,La Liga,1904.3,29,5,34,0.853,29-5,Real Madrid,1927.6,1483.7,2026-05-20T22:16:38Z,4,ESP
2016,11,Roma,Serie A,1897.6,23,4,27,0.852,23-4,Juventus,1922.4,1484.4,2026-05-20T22:16:38Z,11,ITA
2016,12,Leicester,Premier League,1868.2,23,3,26,0.885,23-3,Tottenham,1719.6,1471.6,2026-05-20T22:16:38Z,12,ENG
2016,13,Dortmund,2. Bundesliga,1845.5,24,4,28,0.857,24-4,Leverkusen,1632.8,1467.5,2026-05-20T22:16:38Z,6,GER
2016,14,Fenerbahce,Süper Lig,1837.1,22,4,26,0.846,22-4,Besiktas,1820.4,1481.4,2026-05-20T22:16:38Z,8,TUR
2016,15,Ath Madrid,La Liga,1827.5,28,6,34,0.824,28-6,Real Madrid,1927.6,1470.5,2026-05-20T22:16:38Z,4,ESP
2016,16,Besiktas,Süper Lig,1820.4,25,5,30,0.833,25-5,Fenerbahce,1837.1,1471.4,2026-05-20T22:16:38Z,4,TUR
2016,17,Burnley,Championship,1797.6,26,5,31,0.839,26-5,Hull,1668.8,1455.6,2026-05-20T22:16:38Z,15,ENG
2016,18,Napoli,Serie A,1785.3,25,6,31,0.806,25-6,Juventus,1922.4,1474.8,2026-05-20T22:16:38Z,7,ITA
2016,19,Porto,Primeira Liga,1761.5,23,7,30,0.767,23-7,Benfica,1980.4,1487.8,2026-05-20T22:16:38Z,4,POR
2016,20,Nancy,Ligue 2,1749.9,21,6,27,0.778,21-6,Le Havre,1653.6,1484.8,2026-05-20T22:16:38Z,11,FRA
2016,21,Brighton,Championship,1735.6,24,5,29,0.828,24-5,Hull,1668.8,1448.2,2026-05-20T22:16:38Z,17,ENG
2016,22,Gent,Pro League,1727.2,17,4,21,0.81,17-4,Anderlecht,1717.9,1480.4,2026-05-20T22:16:38Z,9,BEL
2016,23,Buyuksehyr,Süper Lig,1724.6,16,7,23,0.696,16-7,Fenerbahce,1837.1,1493.3,2026-05-20T22:16:38Z,11,TUR
2016,24,Tottenham,Premier League,1719.6,19,6,25,0.76,19-6,Southampton,1660.8,1459.6,2026-05-20T22:16:38Z,13,ENG
2016,25,Anderlecht,Pro League,1717.9,15,5,20,0.75,15-5,Club Brugge,1709.1,1463.8,2026-05-20T22:16:38Z,10,BEL
2016,26,Middlesbrough,Championship,1716.9,26,9,35,0.743,26-9,Burnley,1797.6,1478.7,2026-05-20T22:16:38Z,11,ENG
2016,27,Crotone,Serie B,1716.7,23,6,29,0.793,23-6,Cagliari,1711.5,1509.6,2026-05-20T22:16:38Z,13,ITA
2016,28,Konyaspor,Süper Lig,1713.3,19,6,25,0.76,19-6,Fenerbahce,1837.1,1486.8,2026-05-20T22:16:38Z,9,TUR
2016,29,Cagliari,Serie B,1711.5,25,9,34,0.735,25-9,Crotone,1716.7,1507.9,2026-05-20T22:16:38Z,8,ITA
2016,30,Club Brugge,Pro League,1709.1,21,8,29,0.724,21-8,Gent,1727.2,1487.1,2026-05-20T22:16:38Z,1,BEL
2016,31,Arsenal,Premier League,1705.8,20,7,27,0.741,20-7,Leicester,1868.2,1464.6,2026-05-20T22:16:38Z,11,ENG
2016,32,Arouca,Primeira Liga,1699.3,13,6,19,0.684,13-6,Benfica,1980.4,1542.5,2026-05-20T22:16:38Z,15,POR
2016,33,Trapani,Serie B,1686.1,20,9,29,0.69,20-9,Crotone,1716.7,1497.8,2026-05-20T22:16:38Z,13,ITA
2016,34,AZ Alkmaar,Eredivisie,1683.9,18,11,29,0.621,18-11,Feyenoord,1633.6,1516,2026-05-20T22:16:38Z,5,NED
2016,35,Gimnastic,La Liga 2,1681.2,18,7,25,0.72,18-7,Girona,1657.9,1496.8,2026-05-20T22:16:38Z,17,ESP
