season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2020,214,St Etienne,Ligue 1,1370.5,8,14,22,0.364,8-14,Lyon,1591.4,1540.7,2026-05-21T19:19:50Z,6,FRA
2020,215,Tondela,Primeira Liga,1365.8,9,16,25,0.36,9-16,Sp Braga,1659.1,1523.9,2026-05-21T19:19:50Z,9,POR
2020,216,Valladolid,La Liga,1365.5,9,14,23,0.391,9-14,Eibar,1425.5,1489.9,2026-05-21T19:19:50Z,15,ESP
2020,217,Rizespor,Süper Lig,1365.4,10,19,29,0.345,10-19,Galatasaray,1599.1,1504.2,2026-05-21T19:19:50Z,5,TUR
2020,218,Le Mans,Ligue 2,1362.8,7,16,23,0.304,7-16,Clermont,1643.3,1520.3,2026-05-21T19:19:50Z,5,FRA
2020,219,Denizlispor,Süper Lig,1361.3,9,17,26,0.346,9-17,Trabzonspor,1768.5,1525.8,2026-05-21T19:19:50Z,8,TUR
2020,220,Genclerbirligi,Süper Lig,1360.2,9,16,25,0.36,9-16,Alanyaspor,1636.3,1502.5,2026-05-21T19:19:50Z,9,TUR
2020,221,Crystal Palace,Premier League,1358.6,11,17,28,0.393,11-17,Man United,1702.9,1509.5,2026-05-21T19:19:50Z,10,ENG
2020,222,Paris FC,Ligue 2,1357.1,7,14,21,0.333,7-14,Clermont,1643.3,1527,2026-05-21T19:19:50Z,7,FRA
2020,223,Leganes,La Liga,1356.4,8,18,26,0.308,8-18,Villarreal,1570.9,1515,2026-05-21T19:19:50Z,12,ESP
2020,224,For Sittard,Eredivisie,1353.3,6,12,18,0.333,6-12,Feyenoord,1769.3,1527.2,2026-05-21T19:19:50Z,8,NED
2020,225,Mallorca,La Liga,1352.9,9,23,32,0.281,9-23,Real Madrid,1948.1,1523.9,2026-05-21T19:19:50Z,6,ESP
2020,226,Torino,Serie A,1352.9,11,20,31,0.355,11-20,Atalanta,1802,1530.2,2026-05-21T19:19:50Z,7,ITA
2020,227,St Mirren,Scottish Premiership,1352.4,7,15,22,0.318,7-15,Aberdeen,1558,1546.6,2026-05-21T19:19:50Z,8,SCO
2020,228,Yeni Malatyaspor,Süper Lig,1351,8,18,26,0.308,8-18,Buyuksehyr,1730.4,1520.9,2026-05-21T19:19:50Z,8,TUR
2020,229,Charlton,Championship,1348.2,12,22,34,0.353,12-22,Leeds,1730.6,1495.6,2026-05-21T19:19:50Z,12,ENG
2020,230,Ross County,Scottish Premiership,1347,7,15,22,0.318,7-15,Aberdeen,1558,1589.2,2026-05-21T19:19:50Z,8,SCO
2020,231,Schalke 04,2. Bundesliga,1344.6,9,13,22,0.409,9-13,RB Leipzig,1759.5,1525.2,2026-05-21T19:19:50Z,12,GER
2020,232,Hamilton,Scottish Premiership,1342.1,6,15,21,0.286,6-15,Rangers,1839.5,1584.3,2026-05-21T19:19:50Z,9,SCO
2020,233,Setubal,Primeira Liga,1341.1,7,14,21,0.333,7-14,Sp Braga,1659.1,1522.5,2026-05-21T19:19:50Z,13,POR
2020,234,Watford,Premier League,1340.7,8,20,28,0.286,8-20,Liverpool,1865,1513.2,2026-05-21T19:19:50Z,10,ENG
2020,235,Portimonense,Primeira Liga,1338.6,7,15,22,0.318,7-15,Famalicao,1575.9,1532.6,2026-05-21T19:19:50Z,12,POR
2020,236,Aston Villa,Premier League,1331.8,9,21,30,0.3,9-21,Arsenal,1603.6,1518.1,2026-05-21T19:19:50Z,8,ENG
2020,237,Celta,La Liga,1330.6,7,15,22,0.318,7-15,Sevilla,1748.6,1500,2026-05-21T19:19:50Z,16,ESP
