season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2019,1,Liverpool,Premier League,2100.4,30,1,31,0.968,30-1,Chelsea,1646.7,1435.2,2026-05-21T02:38:25Z,7,ENG
2019,2,Porto,Primeira Liga,1966.7,27,3,30,0.9,27-3,Sp Lisbon,1800.1,1456.8,2026-05-21T02:38:25Z,4,POR
2019,3,PSV Eindhoven,Eredivisie,1959.6,26,3,29,0.897,26-3,Ajax,1925.1,1466,2026-05-21T02:38:25Z,5,NED
2019,4,Benfica,Primeira Liga,1944.6,28,3,31,0.903,28-3,Porto,1966.7,1468.9,2026-05-21T02:38:25Z,3,POR
2019,5,Man City,Premier League,1939.4,32,4,36,0.889,32-4,Liverpool,2100.4,1457.9,2026-05-21T02:38:25Z,2,ENG
2019,6,Ajax,Eredivisie,1925.1,28,4,32,0.875,28-4,PSV Eindhoven,1959.6,1479.4,2026-05-21T02:38:25Z,2,NED
2019,7,Barcelona,La Liga,1918.7,26,3,29,0.897,26-3,Ath Madrid,1689.9,1469.7,2026-05-21T02:38:25Z,9,ESP
2019,8,Bayern Munich,2. Bundesliga,1917.8,24,4,28,0.857,24-4,Dortmund,1813.5,1493.3,2026-05-21T02:38:25Z,6,GER
2019,9,Celtic,Scottish Premiership,1901.5,27,5,32,0.844,27-5,Rangers,1874.8,1496.3,2026-05-21T02:38:25Z,6,SCO
2019,10,Rangers,Scottish Premiership,1874.8,23,6,29,0.793,23-6,Celtic,1901.5,1479.2,2026-05-21T02:38:25Z,9,SCO
2019,11,Metz,Ligue 2,1829,24,5,29,0.828,24-5,Troyes,1727.4,1480.3,2026-05-21T02:38:25Z,9,FRA
2019,12,Genk,Pro League,1819.6,18,3,21,0.857,18-3,Standard,1638,1448.7,2026-05-21T02:38:25Z,9,BEL
2019,13,Paris SG,Ligue 1,1815.5,29,5,34,0.853,29-5,Lille,1780.7,1482.1,2026-05-21T02:38:25Z,4,FRA
2019,14,Dortmund,2. Bundesliga,1813.5,23,4,27,0.852,23-4,Bayern Munich,1917.8,1493.4,2026-05-21T02:38:25Z,7,GER
2019,15,Norwich,Championship,1802,27,6,33,0.818,27-6,Aston Villa,1701.6,1477.5,2026-05-21T02:38:25Z,13,ENG
2019,16,Sp Lisbon,Primeira Liga,1800.1,23,6,29,0.793,23-6,Sp Braga,1615.4,1461.1,2026-05-21T02:38:25Z,5,POR
2019,17,Juventus,Serie A,1791.9,28,4,32,0.875,28-4,Napoli,1770.5,1467.4,2026-05-21T02:38:25Z,6,ITA
2019,18,Lille,Ligue 1,1780.7,22,7,29,0.759,22-7,Paris SG,1815.5,1472.3,2026-05-21T02:38:25Z,9,FRA
2019,19,Osasuna,La Liga 2,1776.5,26,7,33,0.788,26-7,Granada,1731.6,1491.7,2026-05-21T02:38:25Z,9,ESP
2019,20,Sheffield United,Championship,1770.9,26,9,35,0.743,26-9,Norwich,1802,1490.4,2026-05-21T02:38:25Z,11,ENG
2019,21,Napoli,Serie A,1770.5,24,7,31,0.774,24-7,Atalanta,1692.1,1491.7,2026-05-21T02:38:25Z,7,ITA
2019,22,Galatasaray,Süper Lig,1769.4,20,5,25,0.8,20-5,Buyuksehyr,1760.4,1475.2,2026-05-21T02:38:25Z,9,TUR
2019,23,RB Leipzig,2. Bundesliga,1766.2,19,6,25,0.76,19-6,Leverkusen,1663.6,1479,2026-05-21T02:38:25Z,9,GER
2019,24,Brescia,Serie B,1760.4,18,5,23,0.783,18-5,Palermo,1690.5,1479,2026-05-21T02:38:25Z,13,ITA
