season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,draws,country,baseline_elo,baseline_date,elo_change
2027,56,QPR,Championship,1648.6,3,1,4,0.75,3-1,Blackburn,1478.8,1495.7,NA,2026-09-22T11:22:20Z,4,ENG,1639.5,2026-09-17,9.1
2027,57,Girona,La Liga 2,1647.1,3,2,5,0.6,3-2,Sp Gijon,1543.2,1518,NA,2026-09-22T11:22:20Z,1,ESP,1600.9,2026-09-17,46.2
2027,58,Red Star,Ligue 2,1646.9,4,1,5,0.8,4-1,Metz,1601.2,1458.3,NA,2026-09-22T11:22:20Z,2,FRA,1589.5,2026-09-17,57.4
2027,59,Sabadell,La Liga 2,1642.7,3,1,4,0.75,3-1,Almeria,1649.5,1549.7,NA,2026-09-22T11:22:20Z,2,ESP,1534.3,2026-09-17,108.4
2027,60,Academico Viseu,Primeira Liga,1636.9,3,2,5,0.6,3-2,Estrela,1524.8,1622,NA,2026-09-22T11:22:20Z,2,POR,1530.1,2026-09-17,106.8
2027,61,Kocaelispor,Süper Lig,1634.7,4,2,6,0.667,4-2,Amedspor,1751.9,1494.8,NA,2026-09-22T11:22:20Z,0,TUR,1557.5,2026-09-17,77.2
2027,62,Hearts,Scottish Premiership,1633,4,2,6,0.667,4-2,Dundee,1564.5,1458.5,NA,2026-09-22T11:22:20Z,1,SCO,1700,2026-09-17,-67
2027,63,Arouca,Primeira Liga,1630.4,3,2,5,0.6,3-2,Moreirense,1440.3,1584.2,NA,2026-09-22T11:22:20Z,2,POR,1609.2,2026-09-17,21.2
2027,64,Montpellier,Ligue 2,1628.1,3,1,4,0.75,3-1,Nancy,1521.9,1552.3,NA,2026-09-22T11:22:20Z,3,FRA,1622.8,2026-09-17,5.3
2027,65,Galatasaray,Süper Lig,1625.2,4,1,5,0.8,4-1,Kocaelispor,1634.7,1492.2,NA,2026-09-22T11:22:20Z,1,TUR,1755.3,2026-09-17,-130.1
2027,66,Arsenal,Premier League,1620,4,1,5,0.8,4-1,Chelsea,1353.7,1405.5,NA,2026-09-22T11:22:20Z,0,ENG,1753.2,2026-09-17,-133.2
2027,67,Lille,Ligue 1,1619.2,3,1,4,0.75,3-1,Angers,1495.8,1403.4,NA,2026-09-22T11:22:20Z,1,FRA,1682.4,2026-09-17,-63.2
2027,68,Leverkusen,2. Bundesliga,1613.7,2,1,3,0.667,2-1,RB Leipzig,1477.2,1377.6,NA,2026-09-22T11:22:20Z,1,GER,1500,2026-09-20,113.7
2027,69,Alanyaspor,Süper Lig,1610.9,3,1,4,0.75,3-1,Besiktas,1664.6,1440.1,NA,2026-09-22T11:22:20Z,2,TUR,1573.7,2026-09-17,37.2
2027,70,Anderlecht,Pro League,1607.9,4,2,6,0.667,4-2,Waregem,1549.9,1414.2,NA,2026-09-22T11:22:20Z,1,BEL,1479.2,2026-09-17,128.7
2027,71,Betis,La Liga,1603.7,5,1,6,0.833,5-1,Real Madrid,1680.4,1453.2,NA,2026-09-22T11:22:20Z,1,ESP,1553.6,2026-09-17,50.1
2027,72,Leganes,La Liga 2,1601.2,3,1,4,0.75,3-1,Granada,1560.6,1529.4,NA,2026-09-22T11:22:20Z,2,ESP,1560.9,2026-09-17,40.3
2027,73,Metz,Ligue 2,1601.2,2,1,3,0.667,2-1,Guingamp,1391,1463.7,NA,2026-09-22T11:22:20Z,4,FRA,1608.8,2026-09-17,-7.6
2027,74,Werder Bremen,2. Bundesliga,1599.5,2,1,3,0.667,2-1,RB Leipzig,1477.2,1575.5,NA,2026-09-22T11:22:20Z,1,GER,1500,2026-09-20,99.5
2027,75,Como,Serie A,1590.9,3,1,4,0.75,3-1,Napoli,1510,1441.7,NA,2026-09-22T11:22:20Z,1,ITA,1500,2026-09-20,90.9
2027,76,Paris SG,Ligue 1,1588,2,1,3,0.667,2-1,Marseille,1446.1,1531.2,NA,2026-09-22T11:22:20Z,2,FRA,833.8,2026-09-17,754.2
2027,77,Elversberg,2. Bundesliga,1587.4,2,1,3,0.667,2-1,Leverkusen,1613.7,1525.6,NA,2026-09-22T11:22:20Z,1,GER,1500,2026-09-20,87.4
2027,78,Burgos,La Liga 2,1587.2,3,1,4,0.75,3-1,Las Palmas,1458.1,1365.4,NA,2026-09-22T11:22:20Z,2,ESP,1512.2,2026-09-17,75
2027,79,Stoke,Championship,1586.1,4,3,7,0.571,4-3,Norwich,1422.7,1541.2,NA,2026-09-22T11:22:20Z,1,ENG,1585.9,2026-09-17,0.2
2027,80,La Coruna,La Liga,1583.2,2,1,3,0.667,2-1,Villarreal,1488.2,1491.8,NA,2026-09-22T11:22:20Z,4,ESP,1157.5,2026-09-17,425.7
2027,81,Wrexham,Championship,1573.7,2,2,4,0.5,2-2,Southampton,1745.4,1641,NA,2026-09-22T11:22:20Z,4,ENG,1486,2026-09-17,87.7
2027,82,Fenerbahce,Süper Lig,1572.9,3,2,5,0.6,3-2,Konyaspor,1336.1,1355.1,NA,2026-09-22T11:22:20Z,1,TUR,1522.5,2026-09-17,50.4
2027,83,Lommel SK,Pro League,1569.9,2,3,5,0.4,2-3,Westerlo,1535.6,1672.5,NA,2026-09-22T11:22:20Z,2,BEL,1544.1,2026-09-17,25.8
2027,84,West Brom,Championship,1567,4,2,6,0.667,4-2,Norwich,1422.7,1459.6,NA,2026-09-22T11:22:20Z,2,ENG,1625.6,2026-09-17,-58.6
2027,85,Sp Braga,Primeira Liga,1565.9,3,1,4,0.75,3-1,Alverca,1459.4,1353.4,NA,2026-09-22T11:22:20Z,2,POR,1506.4,2026-09-17,59.5
2027,86,Dundee,Scottish Premiership,1564.5,3,3,6,0.5,3-3,Aberdeen,1526.9,1525.9,NA,2026-09-22T11:22:20Z,1,SCO,1507.1,2026-09-17,57.4
2027,87,Granada,La Liga 2,1560.6,2,2,4,0.5,2-2,Mallorca,1672.1,1598.1,NA,2026-09-22T11:22:20Z,2,ESP,1603,2026-09-17,-42.4
2027,88,Benevento,Serie B,1558.6,2,2,4,0.5,2-2,Verona,1527.4,1517,NA,2026-09-22T11:22:20Z,1,ITA,1502.9,2026-09-17,55.7
2027,89,Excelsior,Eredivisie,1558.5,3,2,5,0.6,3-2,Cambuur,1352.7,1402.8,NA,2026-09-22T11:22:20Z,2,NED,1582.6,2026-09-17,-24.1
2027,90,Genk,Pro League,1554.6,2,2,4,0.5,2-2,Westerlo,1535.6,1568.6,NA,2026-09-22T11:22:20Z,3,BEL,1651.2,2026-09-17,-96.6
2027,91,Hull,Premier League,1552.3,2,1,3,0.667,2-1,Man United,1444.1,1378.2,NA,2026-09-22T11:22:20Z,2,ENG,1179.6,2026-09-17,372.7
2027,92,Waregem,Pro League,1549.9,3,2,5,0.6,3-2,Genk,1554.6,1493,NA,2026-09-22T11:22:20Z,2,BEL,1693.7,2026-09-17,-143.8
2027,93,Go Ahead Eagles,Eredivisie,1549.7,2,1,3,0.667,2-1,Den Haag,1195.2,1394.7,NA,2026-09-22T11:22:20Z,4,NED,1554.1,2026-09-17,-4.4
2027,94,Rennes,Ligue 1,1548.4,3,1,4,0.75,3-1,Angers,1495.8,1415.8,NA,2026-09-22T11:22:20Z,1,FRA,1645.5,2026-09-17,-97.1
2027,95,Alaves,La Liga,1545.2,3,2,5,0.6,3-2,Villarreal,1488.2,1367.6,NA,2026-09-22T11:22:20Z,2,ESP,1642.3,2026-09-17,-97.1
2027,96,For Sittard,Eredivisie,1545.1,4,2,6,0.667,4-2,Groningen,1537.6,1468.7,NA,2026-09-22T11:22:20Z,1,NED,1516.8,2026-09-17,28.3
2027,97,Sp Gijon,La Liga 2,1543.2,3,2,5,0.6,3-2,Tenerife,1665.6,1507.4,NA,2026-09-22T11:22:20Z,1,ESP,1489.7,2026-09-17,53.5
2027,98,Birmingham,Championship,1541,2,1,3,0.667,2-1,Wrexham,1573.7,1442.7,NA,2026-09-22T11:22:20Z,5,ENG,1537.5,2026-09-17,3.5
2027,99,Groningen,Eredivisie,1537.6,3,2,5,0.6,3-2,Utrecht,1368.6,1447.1,NA,2026-09-22T11:22:20Z,2,NED,1485.8,2026-09-17,51.8
2027,100,Westerlo,Pro League,1535.6,3,3,6,0.5,3-3,Standard,1494.6,1537.6,NA,2026-09-22T11:22:20Z,1,BEL,1476.3,2026-09-17,59.3
2027,101,Avellino,Serie B,1527.8,2,2,4,0.5,2-2,Modena,1651.3,1513.9,NA,2026-09-22T11:22:20Z,1,ITA,1530.5,2026-09-17,-2.7
2027,102,Verona,Serie B,1527.4,2,2,4,0.5,2-2,Arezzo,1391.3,1490.8,NA,2026-09-22T11:22:20Z,1,ITA,1482.3,2026-09-17,45.1
2027,103,Aberdeen,Scottish Premiership,1526.9,2,3,5,0.4,2-3,Hearts,1633,1622.8,NA,2026-09-22T11:22:20Z,2,SCO,1386.1,2026-09-17,140.8
2027,104,Buyuksehyr,Süper Lig,1526.9,2,3,5,0.4,2-3,Kocaelispor,1634.7,1596.8,NA,2026-09-22T11:22:20Z,1,TUR,1413.8,2026-09-17,113.1
2027,105,Estrela,Primeira Liga,1524.8,2,1,3,0.667,2-1,Sp Braga,1565.9,1467.5,NA,2026-09-22T11:22:20Z,4,POR,1106.5,2026-09-17,418.3
2027,106,Heerenveen,Eredivisie,1522.5,2,2,4,0.5,2-2,Twente,1725.9,1553.6,NA,2026-09-22T11:22:20Z,3,NED,1399.7,2026-09-17,122.8
2027,107,Nancy,Ligue 2,1521.9,3,3,6,0.5,3-3,Pau FC,1489.9,1498.8,NA,2026-09-22T11:22:20Z,1,FRA,1483.7,2026-09-17,38.2
2027,108,Sochaux,Ligue 2,1521.7,2,1,3,0.667,2-1,Guingamp,1391,1470.5,NA,2026-09-22T11:22:20Z,4,FRA,1530.2,2026-09-17,-8.5
2027,109,Sociedad B,La Liga 2,1519.1,2,2,4,0.5,2-2,Andorra,1232.7,1497.8,NA,2026-09-22T11:22:20Z,2,ESP,1576.7,2026-09-17,-57.6
2027,110,Napoli,Serie A,1510,2,2,4,0.5,2-2,Bologna,1301.7,1474,NA,2026-09-22T11:22:20Z,1,ITA,1500,2026-09-20,10
2027,111,Dijon,Ligue 2,1502.7,2,2,4,0.5,2-2,Annecy,1485.4,1487.6,NA,2026-09-22T11:22:20Z,3,FRA,1410.7,2026-09-17,92
