season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2025,1,New York Yankees,AL East,1640.7,94,68,162,0.58,94-68,Los Angeles Dodgers,1638.6,1497.4,NA,2026-05-24T20:22:58Z
2025,2,Los Angeles Dodgers,NL West,1638.6,93,69,162,0.574,93-69,New York Yankees,1640.7,1482.2,NA,2026-05-24T20:22:58Z
2025,3,Seattle Mariners,AL West,1591.9,90,72,162,0.556,90-72,New York Yankees,1640.7,1492.6,NA,2026-05-24T20:22:58Z
2025,4,Philadelphia Phillies,NL East,1586.2,96,66,162,0.593,96-66,New York Yankees,1640.7,1488.9,NA,2026-05-24T20:22:58Z
2025,5,Toronto Blue Jays,AL East,1585.1,94,68,162,0.58,94-68,New York Yankees,1640.7,1505,NA,2026-05-24T20:22:58Z
2025,6,Cleveland Guardians,AL Central,1578.8,88,75,163,0.54,88-75,New York Yankees,1640.7,1491.8,NA,2026-05-24T20:22:58Z
2025,7,Boston Red Sox,AL East,1569.3,90,73,163,0.552,90-73,New York Yankees,1640.7,1505.3,NA,2026-05-24T20:22:58Z
2025,8,San Diego Padres,NL West,1552.4,90,72,162,0.556,90-72,New York Yankees,1640.7,1493.2,NA,2026-05-24T20:22:58Z
2025,9,Chicago Cubs,NL Central,1545.6,92,70,162,0.568,92-70,New York Yankees,1640.7,1495.8,NA,2026-05-24T20:22:58Z
2025,10,Kansas City Royals,AL Central,1543.9,82,80,162,0.506,82-80,Los Angeles Dodgers,1638.6,1494.1,NA,2026-05-24T20:22:58Z
2025,11,Milwaukee Brewers,NL Central,1539,97,65,162,0.599,97-65,Los Angeles Dodgers,1638.6,1495.7,NA,2026-05-24T20:22:58Z
2025,12,Atlanta Braves,NL East,1528.4,77,86,163,0.472,77-86,New York Yankees,1640.7,1495.3,NA,2026-05-24T20:22:58Z
2025,13,Pittsburgh Pirates,NL Central,1517.2,71,91,162,0.438,71-91,New York Yankees,1640.7,1496.5,NA,2026-05-24T20:22:58Z
2025,14,Cincinnati Reds,NL Central,1517.1,84,81,165,0.509,84-81,New York Yankees,1640.7,1500.7,NA,2026-05-24T20:22:58Z
2025,15,San Francisco Giants,NL West,1509.1,81,81,162,0.5,81-81,New York Yankees,1640.7,1496.1,NA,2026-05-24T20:22:58Z
2025,16,Texas Rangers,AL West,1503.2,81,81,162,0.5,81-81,New York Yankees,1640.7,1499.4,NA,2026-05-24T20:22:58Z
2025,17,Athletics,AL West,1502.7,76,86,162,0.469,76-86,New York Yankees,1640.7,1499.2,NA,2026-05-24T20:22:58Z
2025,18,Miami Marlins,NL East,1499.9,79,83,162,0.488,79-83,New York Yankees,1640.7,1494.9,NA,2026-05-24T20:22:58Z
2025,19,Houston Astros,AL West,1499.7,87,75,162,0.537,87-75,New York Yankees,1640.7,1494,NA,2026-05-24T20:22:58Z
2025,20,Arizona Diamondbacks,NL West,1494.5,80,83,163,0.491,80-83,New York Yankees,1640.7,1497.2,NA,2026-05-24T20:22:58Z
2025,21,New York Mets,NL East,1472.8,83,79,162,0.512,83-79,New York Yankees,1640.7,1500.8,NA,2026-05-24T20:22:58Z
2025,22,Baltimore Orioles,AL East,1468.9,75,87,162,0.463,75-87,New York Yankees,1640.7,1510.8,NA,2026-05-24T20:22:58Z
2025,23,Tampa Bay Rays,AL East,1445.7,77,85,162,0.475,77-85,New York Yankees,1640.7,1515.5,NA,2026-05-24T20:22:58Z
2025,24,Detroit Tigers,AL Central,1439.9,87,75,162,0.537,87-75,New York Yankees,1640.7,1503.3,NA,2026-05-24T20:22:58Z
2025,25,Minnesota Twins,AL Central,1439.1,71,92,163,0.436,71-92,New York Yankees,1640.7,1505.3,NA,2026-05-24T20:22:58Z
2025,26,Chicago White Sox,AL Central,1430.5,60,102,162,0.37,60-102,New York Yankees,1640.7,1506.4,NA,2026-05-24T20:22:58Z
2025,27,St. Louis Cardinals,NL Central,1415.7,78,84,162,0.481,78-84,Los Angeles Dodgers,1638.6,1507.7,NA,2026-05-24T20:22:58Z
2025,28,Washington Nationals,NL East,1349.1,66,96,162,0.407,66-96,Los Angeles Dodgers,1638.6,1505.8,NA,2026-05-24T20:22:58Z
2025,29,Los Angeles Angels,AL West,1345.2,72,90,162,0.444,72-90,New York Yankees,1640.7,1514.6,NA,2026-05-24T20:22:58Z
2025,30,Colorado Rockies,NL West,1249.8,43,119,162,0.265,43-119,New York Yankees,1640.7,1515.7,NA,2026-05-24T20:22:58Z
