season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2011,1,Texas Rangers,AL West,1695.8,96,66,162,0.593,96-66,Tampa Bay Rays,1638.8,1492.7,2026-05-23T20:11:12Z
2011,2,Tampa Bay Rays,AL East,1638.8,91,71,162,0.562,91-71,Texas Rangers,1695.8,1503.6,2026-05-23T20:11:12Z
2011,3,Detroit Tigers,AL Central,1628.1,95,67,162,0.586,95-67,Texas Rangers,1695.8,1483.3,2026-05-23T20:11:12Z
2011,4,Arizona Diamondbacks,NL West,1590.5,94,68,162,0.58,94-68,Detroit Tigers,1628.1,1484,2026-05-23T20:11:12Z
2011,5,Los Angeles Dodgers,NL West,1590.5,83,79,162,0.512,83-79,Detroit Tigers,1628.1,1481.3,2026-05-23T20:11:12Z
2011,6,St. Louis Cardinals,NL Central,1581.6,90,72,162,0.556,90-72,Tampa Bay Rays,1638.8,1478.5,2026-05-23T20:11:12Z
2011,7,New York Yankees,AL East,1580.7,97,65,162,0.599,97-65,Texas Rangers,1695.8,1512.1,2026-05-23T20:11:12Z
2011,8,Milwaukee Brewers,NL Central,1579.4,96,66,162,0.593,96-66,Tampa Bay Rays,1638.8,1470.6,2026-05-23T20:11:12Z
2011,9,Philadelphia Phillies,NL East,1564.1,102,60,162,0.63,102-60,Texas Rangers,1695.8,1482.9,2026-05-23T20:11:12Z
2011,10,Washington Nationals,NL East,1538.1,80,81,161,0.497,80-81,Arizona Diamondbacks,1590.5,1479.2,2026-05-23T20:11:12Z
2011,11,Los Angeles Angels,AL West,1530.7,86,76,162,0.531,86-76,Texas Rangers,1695.8,1517.1,2026-05-23T20:11:12Z
2011,12,Oakland Athletics,AL West,1526.2,74,88,162,0.457,74-88,Texas Rangers,1695.8,1520.2,2026-05-23T20:11:12Z
2011,13,Baltimore Orioles,AL East,1518.3,69,93,162,0.426,69-93,Texas Rangers,1695.8,1521.2,2026-05-23T20:11:12Z
2011,14,Kansas City Royals,AL Central,1502.7,71,91,162,0.438,71-91,Texas Rangers,1695.8,1500.7,2026-05-23T20:11:12Z
2011,15,San Francisco Giants,NL West,1496.7,86,76,162,0.531,86-76,Detroit Tigers,1628.1,1494.5,2026-05-23T20:11:12Z
2011,16,Toronto Blue Jays,AL East,1491.4,81,81,162,0.5,81-81,Texas Rangers,1695.8,1524.4,2026-05-23T20:11:12Z
2011,17,Boston Red Sox,AL East,1489.7,90,72,162,0.556,90-72,Texas Rangers,1695.8,1523.1,2026-05-23T20:11:12Z
2011,18,San Diego Padres,NL West,1479.5,71,92,163,0.436,71-92,Los Angeles Dodgers,1590.5,1489.8,2026-05-23T20:11:12Z
2011,19,Chicago Cubs,NL Central,1473.1,71,91,162,0.438,71-91,Arizona Diamondbacks,1590.5,1482.3,2026-05-23T20:11:12Z
2011,20,New York Mets,NL East,1457,77,85,162,0.475,77-85,Texas Rangers,1695.8,1499,2026-05-23T20:11:12Z
2011,21,Chicago White Sox,AL Central,1444.7,79,83,162,0.488,79-83,Texas Rangers,1695.8,1507.5,2026-05-23T20:11:12Z
2011,22,Atlanta Braves,NL East,1439.2,89,73,162,0.549,89-73,Texas Rangers,1695.8,1495.2,2026-05-23T20:11:12Z
2011,23,Cincinnati Reds,NL Central,1437.2,79,83,162,0.488,79-83,Tampa Bay Rays,1638.8,1488.3,2026-05-23T20:11:12Z
2011,24,Florida Marlins,NL East,1426.9,72,90,162,0.444,72-90,Texas Rangers,1695.8,1504,2026-05-23T20:11:12Z
2011,25,Cleveland Indians,AL Central,1420.8,80,82,162,0.494,80-82,Texas Rangers,1695.8,1503.3,2026-05-23T20:11:12Z
2011,26,Seattle Mariners,AL West,1410.6,67,95,162,0.414,67-95,Texas Rangers,1695.8,1533.4,2026-05-23T20:11:12Z
2011,27,Colorado Rockies,NL West,1398.2,73,89,162,0.451,73-89,Detroit Tigers,1628.1,1507.2,2026-05-23T20:11:12Z
2011,28,Houston Astros,AL West,1376.3,56,106,162,0.346,56-106,Texas Rangers,1695.8,1500.4,2026-05-23T20:11:12Z
2011,29,Pittsburgh Pirates,NL Central,1357.7,72,90,162,0.444,72-90,Detroit Tigers,1628.1,1493.8,2026-05-23T20:11:12Z
2011,30,Minnesota Twins,AL Central,1335.8,63,99,162,0.389,63-99,Texas Rangers,1695.8,1526.4,2026-05-23T20:11:12Z
