date,home,away,winner,loser,winner_pts,loser_pts,end_type
2021-01-13,Philadelphia Flyers,Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,6,3,REG
2021-01-14,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,Montreal Canadiens,5,4,OT
2021-01-14,Tampa Bay Lightning,Chicago Blackhawks,Tampa Bay Lightning,Chicago Blackhawks,5,1,REG
2021-01-14,Edmonton Oilers,Vancouver Canucks,Vancouver Canucks,Edmonton Oilers,5,3,REG
2021-01-14,Colorado Avalanche,St. Louis Blues,St. Louis Blues,Colorado Avalanche,4,1,REG
2021-01-15,Buffalo Sabres,Washington Capitals,Washington Capitals,Buffalo Sabres,6,4,REG
2021-01-15,New Jersey Devils,Boston Bruins,Boston Bruins,New Jersey Devils,3,2,SO
2021-01-15,New York Rangers,New York Islanders,New York Islanders,New York Rangers,4,0,REG
2021-01-15,Detroit Red Wings,Carolina Hurricanes,Carolina Hurricanes,Detroit Red Wings,3,0,REG
2021-01-15,Nashville Predators,Columbus Blue Jackets,Nashville Predators,Columbus Blue Jackets,3,1,REG
2021-01-15,Winnipeg Jets,Calgary Flames,Winnipeg Jets,Calgary Flames,4,3,OT
2021-01-15,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,5,2,REG
2021-01-15,Arizona Coyotes,San Jose Sharks,San Jose Sharks,Arizona Coyotes,4,3,SO
2021-01-15,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,Anaheim Ducks,5,2,REG
2021-01-15,Los Angeles Kings,Minnesota Wild,Minnesota Wild,Los Angeles Kings,4,3,OT
2021-01-16,Buffalo Sabres,Washington Capitals,Washington Capitals,Buffalo Sabres,2,1,REG
2021-01-16,Philadelphia Flyers,Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,5,2,REG
2021-01-16,Tampa Bay Lightning,Chicago Blackhawks,Tampa Bay Lightning,Chicago Blackhawks,5,2,REG
2021-01-16,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,5,3,REG
2021-01-16,Colorado Avalanche,St. Louis Blues,Colorado Avalanche,St. Louis Blues,4,0,REG
2021-01-16,New Jersey Devils,Boston Bruins,New Jersey Devils,Boston Bruins,2,1,OT
2021-01-16,Arizona Coyotes,San Jose Sharks,Arizona Coyotes,San Jose Sharks,5,3,REG
2021-01-17,New York Rangers,New York Islanders,New York Rangers,New York Islanders,4,0,REG
2021-01-17,Detroit Red Wings,Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,4,2,REG
2021-01-17,Ottawa Senators,Toronto Maple Leafs,Toronto Maple Leafs,Ottawa Senators,3,2,REG
2021-01-17,Edmonton Oilers,Montreal Canadiens,Montreal Canadiens,Edmonton Oilers,5,1,REG
2021-01-17,Nashville Predators,Columbus Blue Jackets,Nashville Predators,Columbus Blue Jackets,5,2,REG
2021-01-17,Los Angeles Kings,Minnesota Wild,Minnesota Wild,Los Angeles Kings,4,3,OT
2021-01-17,Calgary Flames,Vancouver Canucks,Calgary Flames,Vancouver Canucks,3,0,REG
2021-01-17,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,Anaheim Ducks,2,1,OT
2021-01-17,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,Washington Capitals,4,3,SO
2021-01-18,Florida Panthers,Chicago Blackhawks,Florida Panthers,Chicago Blackhawks,5,2,REG
2021-01-18,Detroit Red Wings,Columbus Blue Jackets,Columbus Blue Jackets,Detroit Red Wings,3,2,REG
2021-01-19,Toronto Maple Leafs,Winnipeg Jets,Toronto Maple Leafs,Winnipeg Jets,3,1,REG
2021-01-19,Philadelphia Flyers,Buffalo Sabres,Buffalo Sabres,Philadelphia Flyers,5,1,REG
2021-01-19,St. Louis Blues,San Jose Sharks,St. Louis Blues,San Jose Sharks,5,4,REG
2021-01-19,Nashville Predators,Carolina Hurricanes,Carolina Hurricanes,Nashville Predators,4,2,REG
2021-01-19,Calgary Flames,Vancouver Canucks,Calgary Flames,Vancouver Canucks,5,2,REG
2021-01-19,Edmonton Oilers,Montreal Canadiens,Montreal Canadiens,Edmonton Oilers,3,1,REG
2021-01-19,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,Arizona Coyotes,4,2,REG
2021-01-20,New York Rangers,New Jersey Devils,New Jersey Devils,New York Rangers,4,3,REG
2021-01-20,Philadelphia Flyers,Buffalo Sabres,Philadelphia Flyers,Buffalo Sabres,3,0,REG
2021-01-20,Florida Panthers,Chicago Blackhawks,Florida Panthers,Chicago Blackhawks,5,4,OT
2021-01-20,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,Washington Capitals,5,4,OT
2021-01-20,Ottawa Senators,Winnipeg Jets,Winnipeg Jets,Ottawa Senators,4,3,OT
2021-01-20,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,Columbus Blue Jackets,3,2,OT
2021-01-20,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche,Los Angeles Kings,3,2,REG
2021-01-21,Toronto Maple Leafs,Edmonton Oilers,Edmonton Oilers,Toronto Maple Leafs,3,1,REG
2021-01-21,St. Louis Blues,San Jose Sharks,San Jose Sharks,St. Louis Blues,2,1,SO
2021-01-21,Anaheim Ducks,Minnesota Wild,Minnesota Wild,Anaheim Ducks,3,2,REG
2021-01-21,Vancouver Canucks,Montreal Canadiens,Vancouver Canucks,Montreal Canadiens,6,5,SO
2021-01-21,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,Arizona Coyotes,5,2,REG
2021-01-22,Boston Bruins,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,5,4,SO
