season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2026,1,Carolina Hurricanes,Metropolitan,1725,59,32,91,0.648,59-32,Montreal Canadiens,1618.5,1512.9,NA,2026-07-05T10:04:57Z
2026,2,Montreal Canadiens,Atlantic,1618.5,52,40,92,0.565,52-40,Carolina Hurricanes,1725,1523.7,NA,2026-07-05T10:04:57Z
2026,3,Buffalo Sabres,Atlantic,1615.9,54,36,90,0.6,54-36,Carolina Hurricanes,1725,1512.8,NA,2026-07-05T10:04:57Z
2026,4,Vegas Golden Knights,Pacific,1585.7,43,44,87,0.494,43-44,Carolina Hurricanes,1725,1502.4,NA,2026-07-05T10:04:57Z
2026,5,Colorado Avalanche,Central,1583.7,54,31,85,0.635,54-31,Carolina Hurricanes,1725,1499,NA,2026-07-05T10:04:57Z
2026,6,Dallas Stars,Central,1578.3,48,30,78,0.615,48-30,Carolina Hurricanes,1725,1500.1,NA,2026-07-05T10:04:57Z
2026,7,Tampa Bay Lightning,Atlantic,1578.1,49,34,83,0.59,49-34,Carolina Hurricanes,1725,1513.3,NA,2026-07-05T10:04:57Z
2026,8,Ottawa Senators,Atlantic,1575.6,41,40,81,0.506,41-40,Carolina Hurricanes,1725,1518.6,NA,2026-07-05T10:04:57Z
2026,9,St. Louis Blues,Central,1563.9,35,39,74,0.473,35-39,Carolina Hurricanes,1725,1490.7,NA,2026-07-05T10:04:57Z
2026,10,Philadelphia Flyers,Metropolitan,1559.6,44,39,83,0.53,44-39,Carolina Hurricanes,1725,1507.9,NA,2026-07-05T10:04:57Z
2026,11,Minnesota Wild,Central,1558.3,46,39,85,0.541,46-39,Carolina Hurricanes,1725,1503.8,NA,2026-07-05T10:04:57Z
2026,12,Columbus Blue Jackets,Metropolitan,1542.6,38,38,76,0.5,38-38,Carolina Hurricanes,1725,1507.8,NA,2026-07-05T10:04:57Z
2026,13,Boston Bruins,Atlantic,1542.1,41,37,78,0.526,41-37,Carolina Hurricanes,1725,1516.7,NA,2026-07-05T10:04:57Z
2026,14,Washington Capitals,Metropolitan,1536.2,38,35,73,0.521,38-35,Carolina Hurricanes,1725,1509.4,NA,2026-07-05T10:04:57Z
2026,15,Pittsburgh Penguins,Metropolitan,1526.5,42,40,82,0.512,42-40,Carolina Hurricanes,1725,1515.9,NA,2026-07-05T10:04:57Z
2026,16,Nashville Predators,Central,1482.6,35,40,75,0.467,35-40,Carolina Hurricanes,1725,1499.9,NA,2026-07-05T10:04:57Z
2026,17,New York Rangers,Metropolitan,1482,33,44,77,0.429,33-44,Carolina Hurricanes,1725,1511.7,NA,2026-07-05T10:04:57Z
2026,18,Detroit Red Wings,Atlantic,1481.3,42,35,77,0.545,42-35,Carolina Hurricanes,1725,1503.2,NA,2026-07-05T10:04:57Z
2026,19,New Jersey Devils,Metropolitan,1474.4,38,38,76,0.5,38-38,Montreal Canadiens,1618.5,1512,NA,2026-07-05T10:04:57Z
2026,20,Edmonton Oilers,Pacific,1472.4,39,41,80,0.488,39-41,Carolina Hurricanes,1725,1478.7,NA,2026-07-05T10:04:57Z
2026,21,Florida Panthers,Atlantic,1470.2,39,40,79,0.494,39-40,Carolina Hurricanes,1725,1513.2,NA,2026-07-05T10:04:57Z
2026,22,New York Islanders,Metropolitan,1453.4,39,36,75,0.52,39-36,Montreal Canadiens,1618.5,1511.5,NA,2026-07-05T10:04:57Z
2026,23,Winnipeg Jets,Central,1443,33,38,71,0.465,33-38,Buffalo Sabres,1615.9,1497.2,NA,2026-07-05T10:04:57Z
2026,24,San Jose Sharks,Pacific,1437.1,35,39,74,0.473,35-39,Carolina Hurricanes,1725,1490.2,NA,2026-07-05T10:04:57Z
2026,25,Los Angeles Kings,Pacific,1433.6,31,42,73,0.425,31-42,Montreal Canadiens,1618.5,1489.1,NA,2026-07-05T10:04:57Z
2026,26,Anaheim Ducks,Pacific,1430.6,40,43,83,0.482,40-43,Montreal Canadiens,1618.5,1491.8,NA,2026-07-05T10:04:57Z
2026,27,Calgary Flames,Pacific,1402.5,31,45,76,0.408,31-45,Carolina Hurricanes,1725,1491.3,NA,2026-07-05T10:04:57Z
2026,28,Seattle Kraken,Pacific,1385,32,43,75,0.427,32-43,Carolina Hurricanes,1725,1497.4,NA,2026-07-05T10:04:57Z
2026,29,Toronto Maple Leafs,Atlantic,1364,30,47,77,0.39,30-47,Carolina Hurricanes,1725,1513.9,NA,2026-07-05T10:04:57Z
2026,30,Chicago Blackhawks,Central,1299.8,22,52,74,0.297,22-52,Carolina Hurricanes,1725,1497.4,NA,2026-07-05T10:04:57Z
2026,31,Vancouver Canucks,Pacific,1298.5,25,51,76,0.329,25-51,Colorado Avalanche,1583.7,1495.7,NA,2026-07-05T10:04:57Z
