date,home,away,winner,loser,winner_pts,loser_pts,end_type
2015-10-13,New Jersey Devils,Nashville Predators,Nashville Predators,New Jersey Devils,3,1,REG
2015-10-13,New York Rangers,Winnipeg Jets,Winnipeg Jets,New York Rangers,4,1,REG
2015-10-13,Washington Capitals,San Jose Sharks,San Jose Sharks,Washington Capitals,4,0,REG
2015-10-13,Carolina Hurricanes,Florida Panthers,Florida Panthers,Carolina Hurricanes,4,1,REG
2015-10-13,Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,Tampa Bay Lightning,3,1,REG
2015-10-14,Dallas Stars,Edmonton Oilers,Dallas Stars,Edmonton Oilers,4,2,REG
2015-10-14,Calgary Flames,St. Louis Blues,St. Louis Blues,Calgary Flames,4,3,REG
2015-10-14,Los Angeles Kings,Vancouver Canucks,Vancouver Canucks,Los Angeles Kings,3,0,REG
2015-10-14,Columbus Blue Jackets,Ottawa Senators,Ottawa Senators,Columbus Blue Jackets,7,3,REG
2015-10-15,Philadelphia Flyers,Chicago Blackhawks,Philadelphia Flyers,Chicago Blackhawks,3,0,REG
2015-10-15,Colorado Avalanche,Boston Bruins,Boston Bruins,Colorado Avalanche,6,2,REG
2015-10-15,Anaheim Ducks,Arizona Coyotes,Arizona Coyotes,Anaheim Ducks,4,0,REG
2015-10-15,New York Islanders,Nashville Predators,New York Islanders,Nashville Predators,4,3,REG
2015-10-15,Pittsburgh Penguins,Ottawa Senators,Pittsburgh Penguins,Ottawa Senators,2,0,REG
2015-10-15,Washington Capitals,Chicago Blackhawks,Washington Capitals,Chicago Blackhawks,4,1,REG
2015-10-15,Montreal Canadiens,New York Rangers,Montreal Canadiens,New York Rangers,3,0,REG
2015-10-15,Tampa Bay Lightning,Dallas Stars,Dallas Stars,Tampa Bay Lightning,5,3,REG
2015-10-15,Florida Panthers,Buffalo Sabres,Florida Panthers,Buffalo Sabres,3,2,REG
2015-10-16,Edmonton Oilers,St. Louis Blues,St. Louis Blues,Edmonton Oilers,4,2,REG
2015-10-16,Arizona Coyotes,Minnesota Wild,Minnesota Wild,Arizona Coyotes,4,3,REG
2015-10-16,New Jersey Devils,San Jose Sharks,San Jose Sharks,New Jersey Devils,2,1,SO
2015-10-16,Columbus Blue Jackets,Toronto Maple Leafs,Toronto Maple Leafs,Columbus Blue Jackets,6,3,REG
2015-10-16,Detroit Red Wings,Carolina Hurricanes,Carolina Hurricanes,Detroit Red Wings,5,3,REG
2015-10-17,Winnipeg Jets,Calgary Flames,Winnipeg Jets,Calgary Flames,3,1,REG
2015-10-17,Vancouver Canucks,St. Louis Blues,St. Louis Blues,Vancouver Canucks,4,3,REG
2015-10-17,Anaheim Ducks,Colorado Avalanche,Colorado Avalanche,Anaheim Ducks,3,0,REG
2015-10-17,Los Angeles Kings,Minnesota Wild,Los Angeles Kings,Minnesota Wild,2,1,OT
2015-10-17,Montreal Canadiens,Detroit Red Wings,Montreal Canadiens,Detroit Red Wings,4,1,REG
2015-10-17,Ottawa Senators,Nashville Predators,Nashville Predators,Ottawa Senators,4,3,SO
2015-10-17,Tampa Bay Lightning,Buffalo Sabres,Tampa Bay Lightning,Buffalo Sabres,2,1,REG
