date,home,away,winner,loser,winner_pts,loser_pts,end_type
2024-10-01,Pittsburgh Penguins,Detroit Red Wings,Detroit Red Wings,Pittsburgh Penguins,2,1,REG
2024-10-01,New York Rangers,New Jersey Devils,New York Rangers,New Jersey Devils,5,4,REG
2024-10-01,Montreal Canadiens,Ottawa Senators,Ottawa Senators,Montreal Canadiens,4,3,REG
2024-10-01,Boston Bruins,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,4,1,REG
2024-10-02,Minnesota Wild,Chicago Blackhawks,Minnesota Wild,Chicago Blackhawks,6,2,REG
2024-10-02,St. Louis Blues,Columbus Blue Jackets,Columbus Blue Jackets,St. Louis Blues,3,1,REG
2024-10-02,Colorado Avalanche,Vegas Golden Knights,Vegas Golden Knights,Colorado Avalanche,5,1,REG
2024-10-02,San Jose Sharks,Utah Hockey Club,Utah Hockey Club,San Jose Sharks,3,1,REG
2024-10-02,Carolina Hurricanes,Nashville Predators,Nashville Predators,Carolina Hurricanes,6,4,REG
2024-10-02,Tampa Bay Lightning,Florida Panthers,Florida Panthers,Tampa Bay Lightning,2,1,OT
2024-10-03,Winnipeg Jets,Calgary Flames,Winnipeg Jets,Calgary Flames,5,2,REG
2024-10-03,Seattle Kraken,Edmonton Oilers,Seattle Kraken,Edmonton Oilers,6,2,REG
2024-10-03,Anaheim Ducks,Utah Hockey Club,Anaheim Ducks,Utah Hockey Club,5,2,REG
2024-10-03,Los Angeles Kings,Boston Bruins,Los Angeles Kings,Boston Bruins,4,1,REG
2024-10-03,Philadelphia Flyers,New Jersey Devils,Philadelphia Flyers,New Jersey Devils,5,4,REG
2024-10-03,Columbus Blue Jackets,Pittsburgh Penguins,Pittsburgh Penguins,Columbus Blue Jackets,3,1,REG
2024-10-03,Detroit Red Wings,Toronto Maple Leafs,Toronto Maple Leafs,Detroit Red Wings,2,0,REG
2024-10-04,St. Louis Blues,Dallas Stars,St. Louis Blues,Dallas Stars,4,3,OT
2024-10-04,Vegas Golden Knights,Colorado Avalanche,Colorado Avalanche,Vegas Golden Knights,3,1,REG
2024-10-04,Buffalo Sabres,New Jersey Devils,New Jersey Devils,Buffalo Sabres,4,1,REG
2024-10-04,Pittsburgh Penguins,Columbus Blue Jackets,Pittsburgh Penguins,Columbus Blue Jackets,7,3,REG
2024-10-04,Carolina Hurricanes,Tampa Bay Lightning,Carolina Hurricanes,Tampa Bay Lightning,2,1,OT
2024-10-04,New York Islanders,New York Rangers,New York Islanders,New York Rangers,5,2,REG
2024-10-04,Detroit Red Wings,Ottawa Senators,Ottawa Senators,Detroit Red Wings,4,3,OT
2024-10-05,Chicago Blackhawks,Minnesota Wild,Minnesota Wild,Chicago Blackhawks,5,1,REG
2024-10-05,Calgary Flames,Winnipeg Jets,Winnipeg Jets,Calgary Flames,3,2,REG
2024-10-05,San Jose Sharks,Anaheim Ducks,Anaheim Ducks,San Jose Sharks,3,2,SO
2024-10-05,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,4,1,REG
2024-10-05,New Jersey Devils,Buffalo Sabres,New Jersey Devils,Buffalo Sabres,3,1,REG
2024-10-05,Washington Capitals,Boston Bruins,Washington Capitals,Boston Bruins,2,0,REG
2024-10-05,Nashville Predators,Carolina Hurricanes,Carolina Hurricanes,Nashville Predators,5,3,REG
2024-10-05,Utah Hockey Club,Colorado Avalanche,Utah Hockey Club,Colorado Avalanche,2,1,REG
2024-10-05,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,3,2,REG
2024-10-05,Los Angeles Kings,Florida Panthers,Florida Panthers,Los Angeles Kings,4,2,REG
2024-10-05,Ottawa Senators,Montreal Canadiens,Ottawa Senators,Montreal Canadiens,4,2,REG
2024-10-06,Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,St. Louis Blues,6,2,REG
2024-10-06,Vegas Golden Knights,San Jose Sharks,San Jose Sharks,Vegas Golden Knights,6,5,REG
2024-10-08,Seattle Kraken,St. Louis Blues,St. Louis Blues,Seattle Kraken,3,2,REG
2024-10-08,Florida Panthers,Boston Bruins,Florida Panthers,Boston Bruins,6,4,REG
2024-10-09,Utah Hockey Club,Chicago Blackhawks,Utah Hockey Club,Chicago Blackhawks,5,2,REG
2024-10-09,Pittsburgh Penguins,New York Rangers,New York Rangers,Pittsburgh Penguins,4,0,REG
2024-10-10,Edmonton Oilers,Winnipeg Jets,Winnipeg Jets,Edmonton Oilers,4,0,REG
2024-10-10,Vancouver Canucks,Calgary Flames,Calgary Flames,Vancouver Canucks,6,5,OT
2024-10-10,Vegas Golden Knights,Colorado Avalanche,Vegas Golden Knights,Colorado Avalanche,8,4,REG
2024-10-10,Boston Bruins,Montreal Canadiens,Boston Bruins,Montreal Canadiens,6,4,REG
2024-10-10,Buffalo Sabres,Los Angeles Kings,Los Angeles Kings,Buffalo Sabres,3,1,REG
2024-10-10,Ottawa Senators,Florida Panthers,Ottawa Senators,Florida Panthers,3,1,REG
2024-10-10,New Jersey Devils,Toronto Maple Leafs,Toronto Maple Leafs,New Jersey Devils,4,2,REG
2024-10-10,New York Islanders,Utah Hockey Club,Utah Hockey Club,New York Islanders,5,4,OT
2024-10-11,Detroit Red Wings,Pittsburgh Penguins,Pittsburgh Penguins,Detroit Red Wings,6,3,REG
2024-10-11,Nashville Predators,Dallas Stars,Dallas Stars,Nashville Predators,4,3,REG
2024-10-11,Minnesota Wild,Columbus Blue Jackets,Minnesota Wild,Columbus Blue Jackets,3,2,REG
2024-10-11,San Jose Sharks,St. Louis Blues,St. Louis Blues,San Jose Sharks,5,4,OT
2024-10-11,Carolina Hurricanes,Tampa Bay Lightning,Tampa Bay Lightning,Carolina Hurricanes,4,1,REG
2024-10-12,Winnipeg Jets,Chicago Blackhawks,Winnipeg Jets,Chicago Blackhawks,2,1,OT
2024-10-12,Vancouver Canucks,Philadelphia Flyers,Philadelphia Flyers,Vancouver Canucks,3,2,SO
2024-10-12,Vegas Golden Knights,St. Louis Blues,Vegas Golden Knights,St. Louis Blues,4,3,REG
2024-10-12,Boston Bruins,Los Angeles Kings,Boston Bruins,Los Angeles Kings,2,1,OT
2024-10-12,Buffalo Sabres,Florida Panthers,Buffalo Sabres,Florida Panthers,5,2,REG
2024-10-12,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,Pittsburgh Penguins,4,2,REG
2024-10-12,Montreal Canadiens,Ottawa Senators,Montreal Canadiens,Ottawa Senators,4,1,REG
2024-10-12,Detroit Red Wings,Nashville Predators,Detroit Red Wings,Nashville Predators,3,0,REG
2024-10-12,New York Rangers,Utah Hockey Club,Utah Hockey Club,New York Rangers,6,5,OT
2024-10-12,Washington Capitals,New Jersey Devils,New Jersey Devils,Washington Capitals,5,3,REG
2024-10-13,Dallas Stars,New York Islanders,Dallas Stars,New York Islanders,3,0,REG
2024-10-13,Minnesota Wild,Seattle Kraken,Seattle Kraken,Minnesota Wild,5,4,SO
2024-10-13,Colorado Avalanche,Columbus Blue Jackets,Columbus Blue Jackets,Colorado Avalanche,6,4,REG
2024-10-13,Calgary Flames,Philadelphia Flyers,Calgary Flames,Philadelphia Flyers,6,3,REG
2024-10-13,Edmonton Oilers,Chicago Blackhawks,Chicago Blackhawks,Edmonton Oilers,5,2,REG
2024-10-13,San Jose Sharks,Anaheim Ducks,Anaheim Ducks,San Jose Sharks,2,0,REG
2024-10-13,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,Minnesota Wild,2,1,OT
2024-10-14,Dallas Stars,Seattle Kraken,Dallas Stars,Seattle Kraken,2,0,REG
2024-10-14,Edmonton Oilers,Calgary Flames,Calgary Flames,Edmonton Oilers,4,1,REG
2024-10-14,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,Anaheim Ducks,3,1,REG
2024-10-14,Boston Bruins,Florida Panthers,Florida Panthers,Boston Bruins,4,3,REG
2024-10-14,Ottawa Senators,Los Angeles Kings,Ottawa Senators,Los Angeles Kings,8,7,OT
2024-10-14,New Jersey Devils,Utah Hockey Club,New Jersey Devils,Utah Hockey Club,3,0,REG
2024-10-14,New York Rangers,Detroit Red Wings,New York Rangers,Detroit Red Wings,4,1,REG
2024-10-14,Montreal Canadiens,Pittsburgh Penguins,Pittsburgh Penguins,Montreal Canadiens,6,3,REG
2024-10-15,Colorado Avalanche,New York Islanders,New York Islanders,Colorado Avalanche,6,2,REG
2024-10-15,Tampa Bay Lightning,Vancouver Canucks,Tampa Bay Lightning,Vancouver Canucks,4,1,REG
2024-10-15,Washington Capitals,Vegas Golden Knights,Washington Capitals,Vegas Golden Knights,4,2,REG
2024-10-15,Carolina Hurricanes,New Jersey Devils,Carolina Hurricanes,New Jersey Devils,4,2,REG
2024-10-15,Columbus Blue Jackets,Florida Panthers,Florida Panthers,Columbus Blue Jackets,4,3,REG
2024-10-15,St. Louis Blues,Minnesota Wild,Minnesota Wild,St. Louis Blues,4,1,REG
2024-10-16,Nashville Predators,Seattle Kraken,Seattle Kraken,Nashville Predators,7,3,REG
2024-10-16,Dallas Stars,San Jose Sharks,Dallas Stars,San Jose Sharks,3,2,SO
2024-10-16,Calgary Flames,Chicago Blackhawks,Calgary Flames,Chicago Blackhawks,3,1,REG
2024-10-16,Edmonton Oilers,Philadelphia Flyers,Edmonton Oilers,Philadelphia Flyers,4,3,OT
2024-10-16,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,Buffalo Sabres,6,5,OT
2024-10-16,Toronto Maple Leafs,Los Angeles Kings,Toronto Maple Leafs,Los Angeles Kings,6,2,REG
2024-10-17,Colorado Avalanche,Boston Bruins,Boston Bruins,Colorado Avalanche,5,3,REG
2024-10-17,Anaheim Ducks,Utah Hockey Club,Anaheim Ducks,Utah Hockey Club,5,4,OT
2024-10-17,Montreal Canadiens,Los Angeles Kings,Los Angeles Kings,Montreal Canadiens,4,1,REG
2024-10-17,Ottawa Senators,New Jersey Devils,New Jersey Devils,Ottawa Senators,3,1,REG
2024-10-17,Tampa Bay Lightning,Vegas Golden Knights,Tampa Bay Lightning,Vegas Golden Knights,4,3,REG
2024-10-17,Florida Panthers,Vancouver Canucks,Vancouver Canucks,Florida Panthers,3,2,OT
2024-10-17,Washington Capitals,Dallas Stars,Washington Capitals,Dallas Stars,3,2,REG
2024-10-17,Columbus Blue Jackets,Buffalo Sabres,Columbus Blue Jackets,Buffalo Sabres,6,4,REG
2024-10-17,Detroit Red Wings,New York Rangers,New York Rangers,Detroit Red Wings,5,2,REG
2024-10-18,Nashville Predators,Edmonton Oilers,Edmonton Oilers,Nashville Predators,4,2,REG
2024-10-18,Chicago Blackhawks,San Jose Sharks,Chicago Blackhawks,San Jose Sharks,4,2,REG
2024-10-18,Seattle Kraken,Philadelphia Flyers,Seattle Kraken,Philadelphia Flyers,6,4,REG
2024-10-18,Pittsburgh Penguins,Carolina Hurricanes,Carolina Hurricanes,Pittsburgh Penguins,4,1,REG
2024-10-19,Winnipeg Jets,San Jose Sharks,Winnipeg Jets,San Jose Sharks,7,3,REG
2024-10-19,Colorado Avalanche,Anaheim Ducks,Colorado Avalanche,Anaheim Ducks,4,3,OT
2024-10-19,Ottawa Senators,Tampa Bay Lightning,Ottawa Senators,Tampa Bay Lightning,5,4,REG
2024-10-19,Nashville Predators,Detroit Red Wings,Detroit Red Wings,Nashville Predators,5,2,REG
2024-10-19,Dallas Stars,Edmonton Oilers,Dallas Stars,Edmonton Oilers,4,1,REG
2024-10-19,Florida Panthers,Vegas Golden Knights,Florida Panthers,Vegas Golden Knights,4,3,OT
2024-10-19,Toronto Maple Leafs,New York Rangers,New York Rangers,Toronto Maple Leafs,4,1,REG
2024-10-19,New Jersey Devils,Washington Capitals,Washington Capitals,New Jersey Devils,6,5,OT
2024-10-19,New York Islanders,Montreal Canadiens,New York Islanders,Montreal Canadiens,4,3,SO
2024-10-19,Philadelphia Flyers,Vancouver Canucks,Vancouver Canucks,Philadelphia Flyers,3,0,REG
2024-10-19,Columbus Blue Jackets,Minnesota Wild,Minnesota Wild,Columbus Blue Jackets,3,1,REG
2024-10-19,St. Louis Blues,Carolina Hurricanes,St. Louis Blues,Carolina Hurricanes,4,3,REG
2024-10-20,Chicago Blackhawks,Buffalo Sabres,Buffalo Sabres,Chicago Blackhawks,4,2,REG
2024-10-20,Utah Hockey Club,Boston Bruins,Utah Hockey Club,Boston Bruins,2,1,OT
2024-10-20,Seattle Kraken,Calgary Flames,Seattle Kraken,Calgary Flames,2,1,OT
2024-10-20,Winnipeg Jets,Pittsburgh Penguins,Winnipeg Jets,Pittsburgh Penguins,6,3,REG
2024-10-21,San Jose Sharks,Colorado Avalanche,Colorado Avalanche,San Jose Sharks,4,1,REG
2024-10-21,Anaheim Ducks,Los Angeles Kings,Los Angeles Kings,Anaheim Ducks,4,1,REG
2024-10-21,Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,Tampa Bay Lightning,5,2,REG
2024-10-22,Philadelphia Flyers,Washington Capitals,Washington Capitals,Philadelphia Flyers,4,1,REG
2024-10-22,Florida Panthers,Minnesota Wild,Minnesota Wild,Florida Panthers,5,1,REG
2024-10-22,New Jersey Devils,Tampa Bay Lightning,Tampa Bay Lightning,New Jersey Devils,8,5,REG
2024-10-22,Buffalo Sabres,Dallas Stars,Buffalo Sabres,Dallas Stars,4,2,REG
2024-10-22,Montreal Canadiens,New York Rangers,New York Rangers,Montreal Canadiens,6,2,REG
2024-10-22,Columbus Blue Jackets,Toronto Maple Leafs,Columbus Blue Jackets,Toronto Maple Leafs,6,2,REG
2024-10-23,St. Louis Blues,Winnipeg Jets,Winnipeg Jets,St. Louis Blues,3,2,REG
2024-10-23,Chicago Blackhawks,Vancouver Canucks,Vancouver Canucks,Chicago Blackhawks,6,3,REG
2024-10-23,Seattle Kraken,Colorado Avalanche,Colorado Avalanche,Seattle Kraken,3,2,REG
2024-10-23,Nashville Predators,Boston Bruins,Nashville Predators,Boston Bruins,4,0,REG
2024-10-23,Edmonton Oilers,Carolina Hurricanes,Carolina Hurricanes,Edmonton Oilers,3,2,OT
2024-10-23,Utah Hockey Club,Ottawa Senators,Ottawa Senators,Utah Hockey Club,4,0,REG
2024-10-23,Calgary Flames,Pittsburgh Penguins,Calgary Flames,Pittsburgh Penguins,4,3,SO
2024-10-23,Anaheim Ducks,San Jose Sharks,Anaheim Ducks,San Jose Sharks,3,1,REG
2024-10-23,Vegas Golden Knights,Los Angeles Kings,Vegas Golden Knights,Los Angeles Kings,5,1,REG
2024-10-23,Washington Capitals,Philadelphia Flyers,Washington Capitals,Philadelphia Flyers,6,3,REG
2024-10-24,Boston Bruins,Dallas Stars,Dallas Stars,Boston Bruins,5,2,REG
2024-10-24,Toronto Maple Leafs,St. Louis Blues,St. Louis Blues,Toronto Maple Leafs,5,1,REG
2024-10-24,Detroit Red Wings,New Jersey Devils,Detroit Red Wings,New Jersey Devils,5,3,REG
2024-10-24,Tampa Bay Lightning,Minnesota Wild,Minnesota Wild,Tampa Bay Lightning,4,2,REG
2024-10-24,New York Rangers,Florida Panthers,Florida Panthers,New York Rangers,3,1,REG
2024-10-25,Calgary Flames,Carolina Hurricanes,Carolina Hurricanes,Calgary Flames,4,2,REG
2024-10-25,Utah Hockey Club,Colorado Avalanche,Colorado Avalanche,Utah Hockey Club,5,1,REG
2024-10-25,Seattle Kraken,Winnipeg Jets,Winnipeg Jets,Seattle Kraken,4,3,OT
2024-10-25,Los Angeles Kings,San Jose Sharks,Los Angeles Kings,San Jose Sharks,3,2,REG
2024-10-25,Vegas Golden Knights,Ottawa Senators,Vegas Golden Knights,Ottawa Senators,6,4,REG
2024-10-25,New Jersey Devils,New York Islanders,New York Islanders,New Jersey Devils,4,3,OT
2024-10-26,Chicago Blackhawks,Nashville Predators,Nashville Predators,Chicago Blackhawks,3,2,REG
2024-10-26,Edmonton Oilers,Pittsburgh Penguins,Edmonton Oilers,Pittsburgh Penguins,4,0,REG
2024-10-26,Buffalo Sabres,Detroit Red Wings,Buffalo Sabres,Detroit Red Wings,5,3,REG
2024-10-26,Philadelphia Flyers,Minnesota Wild,Philadelphia Flyers,Minnesota Wild,7,5,REG
2024-10-26,Los Angeles Kings,Utah Hockey Club,Los Angeles Kings,Utah Hockey Club,3,2,REG
2024-10-26,Boston Bruins,Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,4,3,OT
2024-10-26,Montreal Canadiens,St. Louis Blues,Montreal Canadiens,St. Louis Blues,5,2,REG
2024-10-26,Tampa Bay Lightning,Washington Capitals,Tampa Bay Lightning,Washington Capitals,3,0,REG
2024-10-26,New York Rangers,Anaheim Ducks,New York Rangers,Anaheim Ducks,2,1,REG
2024-10-26,Calgary Flames,Winnipeg Jets,Winnipeg Jets,Calgary Flames,5,3,REG
2024-10-26,New York Islanders,Florida Panthers,Florida Panthers,New York Islanders,6,3,REG
2024-10-27,Nashville Predators,Columbus Blue Jackets,Nashville Predators,Columbus Blue Jackets,4,3,OT
2024-10-27,Dallas Stars,Chicago Blackhawks,Dallas Stars,Chicago Blackhawks,4,2,REG
2024-10-27,Vancouver Canucks,Pittsburgh Penguins,Vancouver Canucks,Pittsburgh Penguins,4,3,REG
2024-10-27,Vegas Golden Knights,San Jose Sharks,Vegas Golden Knights,San Jose Sharks,7,3,REG
2024-10-27,Seattle Kraken,Carolina Hurricanes,Carolina Hurricanes,Seattle Kraken,4,1,REG
2024-10-27,Detroit Red Wings,Edmonton Oilers,Edmonton Oilers,Detroit Red Wings,3,2,OT
2024-10-27,New Jersey Devils,Anaheim Ducks,New Jersey Devils,Anaheim Ducks,6,2,REG
2024-10-27,Philadelphia Flyers,Montreal Canadiens,Montreal Canadiens,Philadelphia Flyers,4,3,REG
2024-10-28,Colorado Avalanche,Ottawa Senators,Colorado Avalanche,Ottawa Senators,5,4,REG
2024-10-28,Buffalo Sabres,Florida Panthers,Florida Panthers,Buffalo Sabres,5,2,REG
2024-10-28,Columbus Blue Jackets,Edmonton Oilers,Columbus Blue Jackets,Edmonton Oilers,5,1,REG
2024-10-28,Tampa Bay Lightning,Nashville Predators,Tampa Bay Lightning,Nashville Predators,3,2,OT
2024-10-28,Winnipeg Jets,Toronto Maple Leafs,Toronto Maple Leafs,Winnipeg Jets,6,4,REG
2024-10-29,Colorado Avalanche,Chicago Blackhawks,Chicago Blackhawks,Colorado Avalanche,5,2,REG
2024-10-29,Utah Hockey Club,San Jose Sharks,San Jose Sharks,Utah Hockey Club,5,4,OT
2024-10-29,Vancouver Canucks,Carolina Hurricanes,Carolina Hurricanes,Vancouver Canucks,4,3,OT
2024-10-29,Vegas Golden Knights,Calgary Flames,Vegas Golden Knights,Calgary Flames,4,0,REG
