date,home,away,winner,loser,winner_pts,loser_pts,end_type
2013-10-01,Montreal Canadiens,Toronto Maple Leafs,Toronto Maple Leafs,Montreal Canadiens,4,3,REG
2013-10-02,Chicago Blackhawks,Washington Capitals,Chicago Blackhawks,Washington Capitals,6,4,REG
2013-10-02,Edmonton Oilers,Winnipeg Jets,Winnipeg Jets,Edmonton Oilers,5,4,REG
2013-10-02,Philadelphia Flyers,Toronto Maple Leafs,Toronto Maple Leafs,Philadelphia Flyers,3,1,REG
2013-10-03,Detroit Red Wings,Buffalo Sabres,Detroit Red Wings,Buffalo Sabres,2,1,REG
2013-10-03,Colorado Avalanche,Anaheim Ducks,Colorado Avalanche,Anaheim Ducks,5,1,REG
2013-10-03,Boston Bruins,Tampa Bay Lightning,Boston Bruins,Tampa Bay Lightning,3,1,REG
2013-10-03,Pittsburgh Penguins,New Jersey Devils,Pittsburgh Penguins,New Jersey Devils,3,0,REG
2013-10-03,Washington Capitals,Calgary Flames,Washington Capitals,Calgary Flames,5,4,SO
2013-10-04,Minnesota Wild,Los Angeles Kings,Los Angeles Kings,Minnesota Wild,3,2,SO
2013-10-04,St. Louis Blues,Nashville Predators,St. Louis Blues,Nashville Predators,4,2,REG
2013-10-04,Dallas Stars,Florida Panthers,Florida Panthers,Dallas Stars,4,2,REG
2013-10-04,San Jose Sharks,Vancouver Canucks,San Jose Sharks,Vancouver Canucks,4,1,REG
2013-10-04,New Jersey Devils,New York Islanders,New York Islanders,New Jersey Devils,4,3,SO
2013-10-04,Carolina Hurricanes,Detroit Red Wings,Detroit Red Wings,Carolina Hurricanes,3,2,OT
2013-10-04,Columbus Blue Jackets,Calgary Flames,Calgary Flames,Columbus Blue Jackets,4,3,REG
2013-10-05,Winnipeg Jets,Los Angeles Kings,Winnipeg Jets,Los Angeles Kings,5,3,REG
2013-10-05,Colorado Avalanche,Nashville Predators,Colorado Avalanche,Nashville Predators,3,1,REG
2013-10-05,Boston Bruins,Detroit Red Wings,Boston Bruins,Detroit Red Wings,4,1,REG
2013-10-05,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,5,4,SO
2013-10-05,Montreal Canadiens,Philadelphia Flyers,Montreal Canadiens,Philadelphia Flyers,4,1,REG
2013-10-05,New York Islanders,Columbus Blue Jackets,Columbus Blue Jackets,New York Islanders,3,2,SO
2013-10-05,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,Buffalo Sabres,4,1,REG
2013-10-06,Chicago Blackhawks,Tampa Bay Lightning,Tampa Bay Lightning,Chicago Blackhawks,3,2,SO
2013-10-06,St. Louis Blues,Florida Panthers,St. Louis Blues,Florida Panthers,4,0,REG
2013-10-06,Dallas Stars,Washington Capitals,Dallas Stars,Washington Capitals,2,1,REG
2013-10-06,Minnesota Wild,Anaheim Ducks,Anaheim Ducks,Minnesota Wild,4,3,OT
2013-10-06,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,6,2,REG
2013-10-06,Carolina Hurricanes,Philadelphia Flyers,Carolina Hurricanes,Philadelphia Flyers,2,1,REG
2013-10-07,Winnipeg Jets,Anaheim Ducks,Anaheim Ducks,Winnipeg Jets,3,2,REG
2013-10-07,Calgary Flames,Vancouver Canucks,Vancouver Canucks,Calgary Flames,5,4,OT
2013-10-08,Edmonton Oilers,New Jersey Devils,Edmonton Oilers,New Jersey Devils,5,4,SO
2013-10-08,Los Angeles Kings,New York Rangers,New York Rangers,Los Angeles Kings,3,1,REG
2013-10-08,Toronto Maple Leafs,Colorado Avalanche,Colorado Avalanche,Toronto Maple Leafs,2,1,REG
2013-10-08,Philadelphia Flyers,Florida Panthers,Philadelphia Flyers,Florida Panthers,2,1,REG
2013-10-08,Pittsburgh Penguins,Carolina Hurricanes,Pittsburgh Penguins,Carolina Hurricanes,5,2,REG
2013-10-08,Buffalo Sabres,Tampa Bay Lightning,Tampa Bay Lightning,Buffalo Sabres,3,2,OT
2013-10-09,Nashville Predators,Minnesota Wild,Nashville Predators,Minnesota Wild,3,2,REG
2013-10-09,Vancouver Canucks,New Jersey Devils,Vancouver Canucks,New Jersey Devils,3,2,OT
2013-10-09,San Jose Sharks,New York Rangers,San Jose Sharks,New York Rangers,6,2,REG
2013-10-10,St. Louis Blues,Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,3,2,REG
2013-10-10,Calgary Flames,Montreal Canadiens,Calgary Flames,Montreal Canadiens,3,2,REG
2013-10-10,Los Angeles Kings,Ottawa Senators,Los Angeles Kings,Ottawa Senators,4,3,OT
2013-10-10,Boston Bruins,Colorado Avalanche,Colorado Avalanche,Boston Bruins,2,0,REG
2013-10-10,Buffalo Sabres,Columbus Blue Jackets,Columbus Blue Jackets,Buffalo Sabres,4,1,REG
2013-10-10,Washington Capitals,Carolina Hurricanes,Carolina Hurricanes,Washington Capitals,3,2,REG
2013-10-10,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Florida Panthers,6,2,REG
2013-10-11,Nashville Predators,Toronto Maple Leafs,Toronto Maple Leafs,Nashville Predators,4,0,REG
2013-10-11,Minnesota Wild,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,2,1,REG
