date,home,away,winner,loser,winner_pts,loser_pts,end_type
2014-10-01,Buffalo Sabres,Washington Capitals,Buffalo Sabres,Washington Capitals,5,1,REG
2014-10-01,Columbus Blue Jackets,Carolina Hurricanes,Columbus Blue Jackets,Carolina Hurricanes,6,3,REG
2014-10-01,Detroit Red Wings,Pittsburgh Penguins,Pittsburgh Penguins,Detroit Red Wings,2,0,REG
2014-10-02,Chicago Blackhawks,Montreal Canadiens,Montreal Canadiens,Chicago Blackhawks,3,1,REG
2014-10-02,Edmonton Oilers,Arizona Coyotes,Edmonton Oilers,Arizona Coyotes,3,2,REG
2014-10-02,Washington Capitals,Philadelphia Flyers,Washington Capitals,Philadelphia Flyers,3,2,SO
2014-10-02,New Jersey Devils,New York Islanders,New Jersey Devils,New York Islanders,2,1,SO
2014-10-02,Florida Panthers,Tampa Bay Lightning,Tampa Bay Lightning,Florida Panthers,3,0,REG
2014-10-03,St. Louis Blues,Minnesota Wild,St. Louis Blues,Minnesota Wild,4,1,REG
2014-10-03,Colorado Avalanche,Los Angeles Kings,Los Angeles Kings,Colorado Avalanche,2,1,SO
2014-10-03,Calgary Flames,Winnipeg Jets,Calgary Flames,Winnipeg Jets,4,2,REG
2014-10-03,Edmonton Oilers,Vancouver Canucks,Vancouver Canucks,Edmonton Oilers,2,1,REG
2014-10-03,Carolina Hurricanes,Buffalo Sabres,Carolina Hurricanes,Buffalo Sabres,5,1,REG
2014-10-03,New York Rangers,Chicago Blackhawks,New York Rangers,Chicago Blackhawks,3,2,SO
2014-10-03,New York Islanders,Boston Bruins,Boston Bruins,New York Islanders,5,1,REG
2014-10-03,Ottawa Senators,Montreal Canadiens,Ottawa Senators,Montreal Canadiens,4,3,OT
2014-10-03,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,5,1,REG
2014-10-04,Arizona Coyotes,San Jose Sharks,San Jose Sharks,Arizona Coyotes,3,1,REG
2014-10-04,Boston Bruins,Detroit Red Wings,Detroit Red Wings,Boston Bruins,4,3,SO
2014-10-04,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Florida Panthers,4,1,REG
2014-10-04,Columbus Blue Jackets,Nashville Predators,Columbus Blue Jackets,Nashville Predators,3,2,REG
2014-10-04,New Jersey Devils,New York Rangers,New Jersey Devils,New York Rangers,3,0,REG
2014-10-04,Montreal Canadiens,Ottawa Senators,Ottawa Senators,Montreal Canadiens,4,2,REG
2014-10-05,Winnipeg Jets,Calgary Flames,Winnipeg Jets,Calgary Flames,4,1,REG
2014-10-05,Minnesota Wild,St. Louis Blues,Minnesota Wild,St. Louis Blues,5,4,OT
2014-10-05,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche,Los Angeles Kings,3,2,SO
2014-10-05,Anaheim Ducks,San Jose Sharks,Anaheim Ducks,San Jose Sharks,2,1,OT
2014-10-05,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,3,2,REG
2014-10-05,Washington Capitals,Carolina Hurricanes,Washington Capitals,Carolina Hurricanes,5,2,REG
2014-10-08,Toronto Maple Leafs,Montreal Canadiens,Montreal Canadiens,Toronto Maple Leafs,4,3,REG
2014-10-08,Boston Bruins,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,2,1,REG
2014-10-09,Calgary Flames,Vancouver Canucks,Vancouver Canucks,Calgary Flames,4,2,REG
2014-10-09,Los Angeles Kings,San Jose Sharks,San Jose Sharks,Los Angeles Kings,4,0,REG
2014-10-09,Buffalo Sabres,Columbus Blue Jackets,Columbus Blue Jackets,Buffalo Sabres,3,1,REG
2014-10-09,Washington Capitals,Montreal Canadiens,Montreal Canadiens,Washington Capitals,2,1,SO
2014-10-09,Philadelphia Flyers,New Jersey Devils,New Jersey Devils,Philadelphia Flyers,6,4,REG
2014-10-09,Pittsburgh Penguins,Anaheim Ducks,Pittsburgh Penguins,Anaheim Ducks,6,4,REG
2014-10-09,Detroit Red Wings,Boston Bruins,Detroit Red Wings,Boston Bruins,2,1,REG
2014-10-09,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Florida Panthers,3,2,OT
2014-10-10,Nashville Predators,Ottawa Senators,Nashville Predators,Ottawa Senators,3,2,REG
2014-10-10,St. Louis Blues,New York Rangers,New York Rangers,St. Louis Blues,3,2,REG
2014-10-10,Dallas Stars,Chicago Blackhawks,Chicago Blackhawks,Dallas Stars,3,2,SO
2014-10-10,Minnesota Wild,Colorado Avalanche,Minnesota Wild,Colorado Avalanche,4,0,REG
2014-10-10,Edmonton Oilers,Calgary Flames,Calgary Flames,Edmonton Oilers,5,2,REG
2014-10-10,Arizona Coyotes,Winnipeg Jets,Winnipeg Jets,Arizona Coyotes,6,2,REG
2014-10-10,Carolina Hurricanes,New York Islanders,New York Islanders,Carolina Hurricanes,5,3,REG
2014-10-11,Detroit Red Wings,Anaheim Ducks,Anaheim Ducks,Detroit Red Wings,3,2,REG
2014-10-11,Boston Bruins,Washington Capitals,Washington Capitals,Boston Bruins,4,0,REG
2014-10-11,Toronto Maple Leafs,Pittsburgh Penguins,Pittsburgh Penguins,Toronto Maple Leafs,5,2,REG
2014-10-11,Philadelphia Flyers,Montreal Canadiens,Montreal Canadiens,Philadelphia Flyers,4,3,SO
2014-10-11,Tampa Bay Lightning,Ottawa Senators,Ottawa Senators,Tampa Bay Lightning,3,2,SO
2014-10-11,Florida Panthers,New Jersey Devils,New Jersey Devils,Florida Panthers,5,1,REG
2014-10-11,New York Islanders,Carolina Hurricanes,New York Islanders,Carolina Hurricanes,4,3,REG
2014-10-11,Columbus Blue Jackets,New York Rangers,Columbus Blue Jackets,New York Rangers,5,2,REG
2014-10-11,St. Louis Blues,Calgary Flames,St. Louis Blues,Calgary Flames,4,1,REG
2014-10-12,Nashville Predators,Dallas Stars,Nashville Predators,Dallas Stars,4,1,REG
2014-10-12,Chicago Blackhawks,Buffalo Sabres,Chicago Blackhawks,Buffalo Sabres,6,2,REG
2014-10-12,Colorado Avalanche,Minnesota Wild,Minnesota Wild,Colorado Avalanche,3,0,REG
2014-10-12,Arizona Coyotes,Los Angeles Kings,Arizona Coyotes,Los Angeles Kings,3,2,OT
