season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2017,1,Pittsburgh Penguins,Metropolitan,1647.5,61,37,98,0.622,61-37,Washington Capitals,1629.4,1506.4,NA,2026-07-27T20:27:00Z
2017,2,Washington Capitals,Metropolitan,1629.4,59,31,90,0.656,59-31,Pittsburgh Penguins,1647.5,1509.8,NA,2026-07-27T20:27:00Z
2017,3,Edmonton Oilers,Pacific,1590.4,51,37,88,0.58,51-37,Washington Capitals,1629.4,1494.7,NA,2026-07-27T20:27:00Z
2017,4,Tampa Bay Lightning,Atlantic,1585.8,42,36,78,0.538,42-36,Washington Capitals,1629.4,1500.8,NA,2026-07-27T20:27:00Z
2017,5,St. Louis Blues,Central,1581.7,48,41,89,0.539,48-41,Pittsburgh Penguins,1647.5,1503.6,NA,2026-07-27T20:27:00Z
2017,6,Minnesota Wild,Central,1574.8,49,30,79,0.62,49-30,Pittsburgh Penguins,1647.5,1490.1,NA,2026-07-27T20:27:00Z
2017,7,Boston Bruins,Atlantic,1573.4,43,36,79,0.544,43-36,Pittsburgh Penguins,1647.5,1499.5,NA,2026-07-27T20:27:00Z
2017,8,Nashville Predators,Central,1571.1,49,45,94,0.521,49-45,Pittsburgh Penguins,1647.5,1512.8,NA,2026-07-27T20:27:00Z
2017,9,Anaheim Ducks,Pacific,1568.9,48,41,89,0.539,48-41,Washington Capitals,1629.4,1500.9,NA,2026-07-27T20:27:00Z
2017,10,Calgary Flames,Pacific,1535.5,40,39,79,0.506,40-39,Pittsburgh Penguins,1647.5,1496,NA,2026-07-27T20:27:00Z
2017,11,New York Islanders,Metropolitan,1534.2,41,40,81,0.506,41-40,Pittsburgh Penguins,1647.5,1500,NA,2026-07-27T20:27:00Z
2017,12,Chicago Blackhawks,Central,1531.9,49,34,83,0.59,49-34,Pittsburgh Penguins,1647.5,1494.4,NA,2026-07-27T20:27:00Z
2017,13,Ottawa Senators,Atlantic,1530.1,47,43,90,0.522,47-43,Pittsburgh Penguins,1647.5,1507.8,NA,2026-07-27T20:27:00Z
2017,14,Winnipeg Jets,Central,1519,39,43,82,0.476,39-43,Tampa Bay Lightning,1585.8,1498.5,NA,2026-07-27T20:27:00Z
2017,15,Montreal Canadiens,Atlantic,1515.6,48,37,85,0.565,48-37,Pittsburgh Penguins,1647.5,1500.4,NA,2026-07-27T20:27:00Z
2017,16,Columbus Blue Jackets,Metropolitan,1514.2,50,35,85,0.588,50-35,Pittsburgh Penguins,1647.5,1513.9,NA,2026-07-27T20:27:00Z
2017,17,New York Rangers,Metropolitan,1514.2,49,42,91,0.538,49-42,Pittsburgh Penguins,1647.5,1503.4,NA,2026-07-27T20:27:00Z
2017,18,Toronto Maple Leafs,Atlantic,1501.1,37,46,83,0.446,37-46,Pittsburgh Penguins,1647.5,1507.1,NA,2026-07-27T20:27:00Z
2017,19,San Jose Sharks,Pacific,1500.1,44,35,79,0.557,44-35,Washington Capitals,1629.4,1508.3,NA,2026-07-27T20:27:00Z
2017,20,Carolina Hurricanes,Metropolitan,1493.9,36,44,80,0.45,36-44,Washington Capitals,1629.4,1503,NA,2026-07-27T20:27:00Z
2017,21,Philadelphia Flyers,Metropolitan,1487.2,36,41,77,0.468,36-41,Pittsburgh Penguins,1647.5,1508.7,NA,2026-07-27T20:27:00Z
2017,22,Los Angeles Kings,Pacific,1474.1,36,43,79,0.456,36-43,Pittsburgh Penguins,1647.5,1490.3,NA,2026-07-27T20:27:00Z
2017,23,Florida Panthers,Atlantic,1472.2,36,42,78,0.462,36-42,Washington Capitals,1629.4,1498.5,NA,2026-07-27T20:27:00Z
2017,24,Buffalo Sabres,Atlantic,1423.4,35,48,83,0.422,35-48,Pittsburgh Penguins,1647.5,1507.4,NA,2026-07-27T20:27:00Z
2017,25,Detroit Red Wings,Atlantic,1410.8,34,44,78,0.436,34-44,Pittsburgh Penguins,1647.5,1504.7,NA,2026-07-27T20:27:00Z
2017,26,Dallas Stars,Central,1408.4,32,46,78,0.41,32-46,Pittsburgh Penguins,1647.5,1501.9,NA,2026-07-27T20:27:00Z
2017,27,Arizona Coyotes,Central,1371.2,28,49,77,0.364,28-49,Pittsburgh Penguins,1647.5,1501.9,NA,2026-07-27T20:27:00Z
2017,28,Vancouver Canucks,Pacific,1333.2,27,49,76,0.355,27-49,Edmonton Oilers,1590.4,1507.4,NA,2026-07-27T20:27:00Z
2017,29,New Jersey Devils,Metropolitan,1324.5,27,54,81,0.333,27-54,Washington Capitals,1629.4,1514.4,NA,2026-07-27T20:27:00Z
2017,30,Colorado Avalanche,Central,1281.9,23,56,79,0.291,23-56,Pittsburgh Penguins,1647.5,1516.3,NA,2026-07-27T20:27:00Z
