date,home,away,winner,loser,winner_pts,loser_pts,end_type
2022-10-01,Buffalo Sabres,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,3,1,REG
2022-10-01,Boston Bruins,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,4,0,REG
2022-10-01,Carolina Hurricanes,Florida Panthers,Carolina Hurricanes,Florida Panthers,4,3,REG
2022-10-01,Ottawa Senators,Montreal Canadiens,Ottawa Senators,Montreal Canadiens,5,4,OT
2022-10-01,Columbus Blue Jackets,Washington Capitals,Columbus Blue Jackets,Washington Capitals,2,1,REG
2022-10-02,St. Louis Blues,Dallas Stars,Dallas Stars,St. Louis Blues,5,2,REG
2022-10-02,Winnipeg Jets,Edmonton Oilers,Edmonton Oilers,Winnipeg Jets,3,2,SO
2022-10-02,Chicago Blackhawks,Detroit Red Wings,Detroit Red Wings,Chicago Blackhawks,3,0,REG
2022-10-02,Seattle Kraken,Vancouver Canucks,Seattle Kraken,Vancouver Canucks,4,0,REG
2022-10-02,New York Islanders,Philadelphia Flyers,New York Islanders,Philadelphia Flyers,2,1,REG
2022-10-02,Chicago Blackhawks,Minnesota Wild,Minnesota Wild,Chicago Blackhawks,3,0,REG
2022-10-03,Los Angeles Kings,Anaheim Ducks,Los Angeles Kings,Anaheim Ducks,2,1,REG
2022-10-03,Montreal Canadiens,Toronto Maple Leafs,Toronto Maple Leafs,Montreal Canadiens,5,1,REG
2022-10-03,Carolina Hurricanes,Columbus Blue Jackets,Carolina Hurricanes,Columbus Blue Jackets,5,1,REG
2022-10-03,Detroit Red Wings,Pittsburgh Penguins,Pittsburgh Penguins,Detroit Red Wings,3,2,REG
2022-10-04,Dallas Stars,Colorado Avalanche,Colorado Avalanche,Dallas Stars,3,1,REG
2022-10-04,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,6,2,REG
2022-10-04,Calgary Flames,Seattle Kraken,Calgary Flames,Seattle Kraken,4,1,REG
2022-10-04,Philadelphia Flyers,New York Islanders,New York Islanders,Philadelphia Flyers,4,3,OT
2022-10-04,Montreal Canadiens,Ottawa Senators,Ottawa Senators,Montreal Canadiens,5,4,REG
2022-10-04,Buffalo Sabres,Carolina Hurricanes,Buffalo Sabres,Carolina Hurricanes,4,2,REG
2022-10-05,St. Louis Blues,Minnesota Wild,St. Louis Blues,Minnesota Wild,4,2,REG
2022-10-05,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,Arizona Coyotes,4,3,REG
2022-10-05,Anaheim Ducks,Los Angeles Kings,Anaheim Ducks,Los Angeles Kings,5,4,REG
2022-10-05,Washington Capitals,Detroit Red Wings,Washington Capitals,Detroit Red Wings,4,2,REG
2022-10-05,New York Rangers,Boston Bruins,Boston Bruins,New York Rangers,5,4,REG
2022-10-06,Winnipeg Jets,Calgary Flames,Winnipeg Jets,Calgary Flames,4,0,REG
2022-10-06,Colorado Avalanche,Dallas Stars,Colorado Avalanche,Dallas Stars,2,1,REG
2022-10-06,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,5,4,REG
2022-10-06,Montreal Canadiens,Ottawa Senators,Ottawa Senators,Montreal Canadiens,4,3,REG
2022-10-06,Florida Panthers,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,3,2,REG
2022-10-06,New York Islanders,New Jersey Devils,New York Islanders,New Jersey Devils,5,2,REG
2022-10-07,Minnesota Wild,Chicago Blackhawks,Minnesota Wild,Chicago Blackhawks,4,1,REG
2022-10-07,Columbus Blue Jackets,St. Louis Blues,Columbus Blue Jackets,St. Louis Blues,4,0,REG
2022-10-07,Los Angeles Kings,Vegas Golden Knights,Vegas Golden Knights,Los Angeles Kings,6,4,REG
2022-10-07,Nashville Predators,San Jose Sharks,Nashville Predators,San Jose Sharks,4,1,REG
2022-10-07,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,Buffalo Sabres,5,1,REG
2022-10-07,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,4,2,REG
2022-10-08,Edmonton Oilers,Seattle Kraken,Edmonton Oilers,Seattle Kraken,5,3,REG
2022-10-08,Calgary Flames,Winnipeg Jets,Winnipeg Jets,Calgary Flames,5,3,REG
2022-10-08,Vancouver Canucks,Arizona Coyotes,Vancouver Canucks,Arizona Coyotes,4,0,REG
