date,home,away,winner,loser,winner_pts,loser_pts,end_type
2017-10-01,St. Louis Blues,Washington Capitals,Washington Capitals,St. Louis Blues,4,3,REG
2017-10-01,Philadelphia Flyers,New York Islanders,New York Islanders,Philadelphia Flyers,5,2,REG
2017-10-02,Vegas Golden Knights,San Jose Sharks,San Jose Sharks,Vegas Golden Knights,5,3,REG
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,Toronto Maple Leafs,Winnipeg Jets,6,2,REG
2017-10-05,Pittsburgh Penguins,St. Louis Blues,St. Louis Blues,Pittsburgh Penguins,5,4,OT
2017-10-05,Edmonton Oilers,Calgary Flames,Edmonton Oilers,Calgary Flames,3,0,REG
2017-10-05,San Jose Sharks,Philadelphia Flyers,Philadelphia Flyers,San Jose Sharks,5,3,REG
2017-10-05,Boston Bruins,Nashville Predators,Boston Bruins,Nashville Predators,4,3,REG
2017-10-05,Buffalo Sabres,Montreal Canadiens,Montreal Canadiens,Buffalo Sabres,3,2,SO
2017-10-05,New York Rangers,Colorado Avalanche,Colorado Avalanche,New York Rangers,4,2,REG
2017-10-05,Ottawa Senators,Washington Capitals,Washington Capitals,Ottawa Senators,5,4,SO
2017-10-05,Detroit Red Wings,Minnesota Wild,Detroit Red Wings,Minnesota Wild,4,2,REG
2017-10-06,Chicago Blackhawks,Pittsburgh Penguins,Chicago Blackhawks,Pittsburgh Penguins,5,1,REG
2017-10-06,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,5,4,REG
2017-10-06,Los Angeles Kings,Philadelphia Flyers,Los Angeles Kings,Philadelphia Flyers,2,0,REG
2017-10-06,Columbus Blue Jackets,New York Islanders,Columbus Blue Jackets,New York Islanders,4,0,REG
2017-10-06,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Florida Panthers,5,3,REG
2017-10-07,Dallas Stars,Vegas Golden Knights,Vegas Golden Knights,Dallas Stars,2,1,REG
2017-10-07,New Jersey Devils,Colorado Avalanche,New Jersey Devils,Colorado Avalanche,4,1,REG
2017-10-07,Toronto Maple Leafs,New York Rangers,Toronto Maple Leafs,New York Rangers,8,5,REG
2017-10-07,Ottawa Senators,Detroit Red Wings,Detroit Red Wings,Ottawa Senators,2,1,SO
2017-10-07,Florida Panthers,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,5,4,REG
2017-10-07,New York Islanders,Buffalo Sabres,New York Islanders,Buffalo Sabres,6,3,REG
2017-10-07,Pittsburgh Penguins,Nashville Predators,Pittsburgh Penguins,Nashville Predators,4,0,REG
2017-10-07,Washington Capitals,Montreal Canadiens,Washington Capitals,Montreal Canadiens,5,1,REG
2017-10-07,Carolina Hurricanes,Minnesota Wild,Carolina Hurricanes,Minnesota Wild,5,4,SO
2017-10-08,St. Louis Blues,Dallas Stars,St. Louis Blues,Dallas Stars,4,2,REG
2017-10-08,Chicago Blackhawks,Columbus Blue Jackets,Chicago Blackhawks,Columbus Blue Jackets,5,1,REG
2017-10-08,Arizona Coyotes,Vegas Golden Knights,Vegas Golden Knights,Arizona Coyotes,2,1,OT
2017-10-08,Calgary Flames,Winnipeg Jets,Calgary Flames,Winnipeg Jets,6,3,REG
2017-10-08,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,3,2,REG
2017-10-08,Anaheim Ducks,Philadelphia Flyers,Philadelphia Flyers,Anaheim Ducks,3,2,OT
2017-10-08,San Jose Sharks,Los Angeles Kings,Los Angeles Kings,San Jose Sharks,4,1,REG
2017-10-08,New York Rangers,Montreal Canadiens,New York Rangers,Montreal Canadiens,2,0,REG
2017-10-09,Boston Bruins,Colorado Avalanche,Colorado Avalanche,Boston Bruins,4,0,REG
2017-10-09,New York Islanders,St. Louis Blues,St. Louis Blues,New York Islanders,3,2,SO
2017-10-09,Buffalo Sabres,New Jersey Devils,New Jersey Devils,Buffalo Sabres,6,2,REG
2017-10-09,Toronto Maple Leafs,Chicago Blackhawks,Toronto Maple Leafs,Chicago Blackhawks,4,3,OT
2017-10-09,Tampa Bay Lightning,Washington Capitals,Tampa Bay Lightning,Washington Capitals,4,3,OT
2017-10-10,Edmonton Oilers,Winnipeg Jets,Winnipeg Jets,Edmonton Oilers,5,2,REG
2017-10-10,Anaheim Ducks,Calgary Flames,Calgary Flames,Anaheim Ducks,2,0,REG
2017-10-10,New York Rangers,St. Louis Blues,St. Louis Blues,New York Rangers,3,1,REG
2017-10-10,Carolina Hurricanes,Columbus Blue Jackets,Columbus Blue Jackets,Carolina Hurricanes,2,1,OT
2017-10-10,Montreal Canadiens,Chicago Blackhawks,Chicago Blackhawks,Montreal Canadiens,3,1,REG
2017-10-11,Nashville Predators,Philadelphia Flyers,Nashville Predators,Philadelphia Flyers,6,5,REG
2017-10-11,Dallas Stars,Detroit Red Wings,Dallas Stars,Detroit Red Wings,4,2,REG
2017-10-11,Vancouver Canucks,Ottawa Senators,Ottawa Senators,Vancouver Canucks,3,2,SO
2017-10-11,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,Arizona Coyotes,5,2,REG
2017-10-11,Toronto Maple Leafs,New Jersey Devils,New Jersey Devils,Toronto Maple Leafs,6,3,REG
2017-10-11,Washington Capitals,Pittsburgh Penguins,Pittsburgh Penguins,Washington Capitals,3,2,REG
2017-10-12,Colorado Avalanche,Boston Bruins,Colorado Avalanche,Boston Bruins,6,3,REG
2017-10-12,Anaheim Ducks,New York Islanders,Anaheim Ducks,New York Islanders,3,2,REG
2017-10-12,Los Angeles Kings,Calgary Flames,Calgary Flames,Los Angeles Kings,4,3,OT
2017-10-12,Tampa Bay Lightning,Pittsburgh Penguins,Tampa Bay Lightning,Pittsburgh Penguins,5,4,REG
2017-10-12,Florida Panthers,St. Louis Blues,Florida Panthers,St. Louis Blues,5,2,REG
2017-10-13,Nashville Predators,Dallas Stars,Nashville Predators,Dallas Stars,4,1,REG
2017-10-13,Chicago Blackhawks,Minnesota Wild,Minnesota Wild,Chicago Blackhawks,5,2,REG
2017-10-13,Vancouver Canucks,Winnipeg Jets,Winnipeg Jets,Vancouver Canucks,4,2,REG
2017-10-13,Arizona Coyotes,Detroit Red Wings,Detroit Red Wings,Arizona Coyotes,4,2,REG
2017-10-13,San Jose Sharks,Buffalo Sabres,San Jose Sharks,Buffalo Sabres,3,2,REG
2017-10-13,New Jersey Devils,Washington Capitals,Washington Capitals,New Jersey Devils,5,2,REG
2017-10-13,Columbus Blue Jackets,New York Rangers,Columbus Blue Jackets,New York Rangers,3,1,REG
2017-10-14,Colorado Avalanche,Anaheim Ducks,Colorado Avalanche,Anaheim Ducks,3,1,REG
2017-10-14,Calgary Flames,Ottawa Senators,Ottawa Senators,Calgary Flames,4,0,REG
2017-10-14,Vegas Golden Knights,Detroit Red Wings,Detroit Red Wings,Vegas Golden Knights,6,3,REG
2017-10-14,Montreal Canadiens,Toronto Maple Leafs,Toronto Maple Leafs,Montreal Canadiens,4,3,OT
2017-10-14,Tampa Bay Lightning,St. Louis Blues,Tampa Bay Lightning,St. Louis Blues,2,1,REG
2017-10-14,New York Rangers,New Jersey Devils,New Jersey Devils,New York Rangers,3,2,REG
2017-10-14,Philadelphia Flyers,Washington Capitals,Philadelphia Flyers,Washington Capitals,6,2,REG
2017-10-14,Pittsburgh Penguins,Florida Panthers,Pittsburgh Penguins,Florida Panthers,4,3,REG
2017-10-14,Winnipeg Jets,Carolina Hurricanes,Winnipeg Jets,Carolina Hurricanes,2,1,REG
2017-10-15,Dallas Stars,Colorado Avalanche,Dallas Stars,Colorado Avalanche,3,1,REG
2017-10-15,Minnesota Wild,Columbus Blue Jackets,Columbus Blue Jackets,Minnesota Wild,5,4,OT
2017-10-15,Chicago Blackhawks,Nashville Predators,Chicago Blackhawks,Nashville Predators,2,1,OT
2017-10-15,Arizona Coyotes,Boston Bruins,Boston Bruins,Arizona Coyotes,6,2,REG
2017-10-15,Edmonton Oilers,Ottawa Senators,Ottawa Senators,Edmonton Oilers,5,1,REG
2017-10-15,Vancouver Canucks,Calgary Flames,Calgary Flames,Vancouver Canucks,5,2,REG
