season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2025,1,Florida Panthers,Atlantic,1696.1,64,41,105,0.61,64-41,St. Louis Blues,1628.4,1511.1,NA,2026-09-22T00:11:08Z,1640,2026-09-17,56.1
2025,2,St. Louis Blues,Central,1628.4,46,44,90,0.511,46-44,Winnipeg Jets,1601.3,1504.1,NA,2026-09-22T00:11:08Z,1638.2,2026-09-17,-9.8
2025,3,Edmonton Oilers,Pacific,1613.2,60,43,103,0.583,60-43,Florida Panthers,1696.1,1512.1,NA,2026-09-22T00:11:08Z,1625.9,2026-09-17,-12.7
2025,4,Winnipeg Jets,Central,1601.3,63,32,95,0.663,63-32,Florida Panthers,1696.1,1508.4,NA,2026-09-22T00:11:08Z,1558.8,2026-09-17,42.5
2025,5,Colorado Avalanche,Central,1598,52,38,90,0.578,52-38,Florida Panthers,1696.1,1499.6,NA,2026-09-22T00:11:08Z,1593.1,2026-09-17,4.9
2025,6,Toronto Maple Leafs,Atlantic,1577.3,60,35,95,0.632,60-35,Florida Panthers,1696.1,1516.7,NA,2026-09-22T00:11:08Z,1600.7,2026-09-17,-23.4
2025,7,Los Angeles Kings,Pacific,1570.4,50,37,87,0.575,50-37,Florida Panthers,1696.1,1504.2,NA,2026-09-22T00:11:08Z,1557.5,2026-09-17,12.9
2025,8,Vegas Golden Knights,Pacific,1556.5,55,39,94,0.585,55-39,Florida Panthers,1696.1,1501.4,NA,2026-09-22T00:11:08Z,1559.9,2026-09-17,-3.4
2025,9,Columbus Blue Jackets,Metropolitan,1551.4,41,41,82,0.5,41-41,St. Louis Blues,1628.4,1493.7,NA,2026-09-22T00:11:08Z,1545.5,2026-09-17,5.9
2025,10,Carolina Hurricanes,Metropolitan,1550.8,58,41,99,0.586,58-41,Florida Panthers,1696.1,1502.6,NA,2026-09-22T00:11:08Z,1552.2,2026-09-17,-1.4
2025,11,Ottawa Senators,Atlantic,1547.3,50,39,89,0.562,50-39,Florida Panthers,1696.1,1502.8,NA,2026-09-22T00:11:08Z,1540.7,2026-09-17,6.6
2025,12,Tampa Bay Lightning,Atlantic,1540.5,48,41,89,0.539,48-41,Florida Panthers,1696.1,1514.8,NA,2026-09-22T00:11:08Z,1540.7,2026-09-17,-0.2
2025,13,Dallas Stars,Central,1531.4,59,42,101,0.584,59-42,St. Louis Blues,1628.4,1517.5,NA,2026-09-22T00:11:08Z,1552.5,2026-09-17,-21.1
2025,14,Calgary Flames,Pacific,1521.4,39,43,82,0.476,39-43,Florida Panthers,1696.1,1497.5,NA,2026-09-22T00:11:08Z,1505,2026-09-17,16.4
2025,15,Utah Hockey Club,Central,1520.1,40,44,84,0.476,40-44,St. Louis Blues,1628.4,1499.1,NA,2026-09-22T00:11:08Z,1503.5,2026-09-17,16.6
2025,16,Detroit Red Wings,Atlantic,1508.9,39,45,84,0.464,39-45,Florida Panthers,1696.1,1505.2,NA,2026-09-22T00:11:08Z,1515.9,2026-09-17,-7
2025,17,Washington Capitals,Metropolitan,1504,56,35,91,0.615,56-35,Florida Panthers,1696.1,1501.4,NA,2026-09-22T00:11:08Z,1482.3,2026-09-17,21.7
2025,18,New York Rangers,Metropolitan,1492.2,39,44,83,0.47,39-44,Florida Panthers,1696.1,1496.1,NA,2026-09-22T00:11:08Z,1508.2,2026-09-17,-16
2025,19,Vancouver Canucks,Pacific,1487.9,39,43,82,0.476,39-43,Florida Panthers,1696.1,1498.7,NA,2026-09-22T00:11:08Z,1506.1,2026-09-17,-18.2
2025,20,Montreal Canadiens,Atlantic,1484.9,39,46,85,0.459,39-46,Florida Panthers,1696.1,1504.4,NA,2026-09-22T00:11:08Z,1485.2,2026-09-17,-0.3
2025,21,Minnesota Wild,Central,1481.8,46,41,87,0.529,46-41,Florida Panthers,1696.1,1504.4,NA,2026-09-22T00:11:08Z,1454.5,2026-09-17,27.3
2025,22,Buffalo Sabres,Atlantic,1476,35,44,79,0.443,35-44,Florida Panthers,1696.1,1500.5,NA,2026-09-22T00:11:08Z,1478.6,2026-09-17,-2.6
