date,home,away,winner,loser,winner_pts,loser_pts,end_type
2016-10-01,Ottawa Senators,Montreal Canadiens,Montreal Canadiens,Ottawa Senators,3,2,OT
2016-10-01,New Jersey Devils,New York Rangers,New Jersey Devils,New York Rangers,5,4,REG
2016-10-01,New York Islanders,Washington Capitals,Washington Capitals,New York Islanders,2,1,REG
2016-10-01,Philadelphia Flyers,Boston Bruins,Boston Bruins,Philadelphia Flyers,4,3,SO
2016-10-02,Nashville Predators,Tampa Bay Lightning,Nashville Predators,Tampa Bay Lightning,4,3,REG
2016-10-02,Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,St. Louis Blues,4,0,REG
2016-10-02,Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,3,2,OT
2016-10-02,Florida Panthers,Dallas Stars,Dallas Stars,Florida Panthers,2,1,OT
2016-10-02,Columbus Blue Jackets,Pittsburgh Penguins,Pittsburgh Penguins,Columbus Blue Jackets,2,0,REG
2016-10-02,Detroit Red Wings,Chicago Blackhawks,Detroit Red Wings,Chicago Blackhawks,6,3,REG
2016-10-02,Minnesota Wild,Carolina Hurricanes,Minnesota Wild,Carolina Hurricanes,3,1,REG
2016-10-02,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,Montreal Canadiens,3,2,OT
2016-10-03,Vancouver Canucks,San Jose Sharks,San Jose Sharks,Vancouver Canucks,3,2,OT
2016-10-03,Edmonton Oilers,Los Angeles Kings,Edmonton Oilers,Los Angeles Kings,3,2,REG
2016-10-03,Calgary Flames,Winnipeg Jets,Winnipeg Jets,Calgary Flames,4,0,REG
2016-10-03,New York Islanders,New Jersey Devils,New York Islanders,New Jersey Devils,4,3,REG
2016-10-03,Philadelphia Flyers,New York Rangers,Philadelphia Flyers,New York Rangers,4,3,OT
2016-10-03,Washington Capitals,St. Louis Blues,Washington Capitals,St. Louis Blues,2,1,SO
2016-10-04,Winnipeg Jets,Ottawa Senators,Winnipeg Jets,Ottawa Senators,4,2,REG
2016-10-04,Vancouver Canucks,Arizona Coyotes,Arizona Coyotes,Vancouver Canucks,4,2,REG
2016-10-04,Montreal Canadiens,Boston Bruins,Montreal Canadiens,Boston Bruins,4,3,REG
2016-10-04,Buffalo Sabres,Carolina Hurricanes,Buffalo Sabres,Carolina Hurricanes,2,0,REG
2016-10-04,New York Islanders,New York Rangers,New York Islanders,New York Rangers,3,2,OT
2016-10-05,Nashville Predators,Columbus Blue Jackets,Columbus Blue Jackets,Nashville Predators,3,2,OT
2016-10-05,Chicago Blackhawks,Detroit Red Wings,Chicago Blackhawks,Detroit Red Wings,5,1,REG
2016-10-05,Dallas Stars,Florida Panthers,Dallas Stars,Florida Panthers,2,1,SO
2016-10-05,Colorado Avalanche,Minnesota Wild,Colorado Avalanche,Minnesota Wild,2,0,REG
2016-10-05,Edmonton Oilers,Anaheim Ducks,Edmonton Oilers,Anaheim Ducks,2,1,REG
2016-10-05,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,3,2,OT
2016-10-05,Carolina Hurricanes,Buffalo Sabres,Carolina Hurricanes,Buffalo Sabres,3,2,SO
2016-10-05,New Jersey Devils,New York Islanders,New York Islanders,New Jersey Devils,3,2,REG
2016-10-05,Pittsburgh Penguins,Detroit Red Wings,Detroit Red Wings,Pittsburgh Penguins,5,2,REG
2016-10-06,St. Louis Blues,Washington Capitals,Washington Capitals,St. Louis Blues,4,2,REG
2016-10-06,Calgary Flames,Arizona Coyotes,Calgary Flames,Arizona Coyotes,2,1,SO
2016-10-06,San Jose Sharks,Anaheim Ducks,Anaheim Ducks,San Jose Sharks,2,0,REG
2016-10-06,Columbus Blue Jackets,Boston Bruins,Boston Bruins,Columbus Blue Jackets,2,1,REG
2016-10-06,New York Rangers,Philadelphia Flyers,Philadelphia Flyers,New York Rangers,4,2,REG
2016-10-06,Montreal Canadiens,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,5,1,REG
2016-10-07,Edmonton Oilers,Winnipeg Jets,Edmonton Oilers,Winnipeg Jets,5,2,REG
2016-10-07,Vancouver Canucks,Calgary Flames,Vancouver Canucks,Calgary Flames,4,0,REG
2016-10-07,Toronto Maple Leafs,Detroit Red Wings,Detroit Red Wings,Toronto Maple Leafs,2,1,REG
2016-10-07,Carolina Hurricanes,Washington Capitals,Carolina Hurricanes,Washington Capitals,3,2,SO
2016-10-07,Ottawa Senators,Buffalo Sabres,Buffalo Sabres,Ottawa Senators,4,2,REG
2016-10-08,Arizona Coyotes,San Jose Sharks,Arizona Coyotes,San Jose Sharks,3,1,REG
2016-10-08,Los Angeles Kings,Dallas Stars,Dallas Stars,Los Angeles Kings,6,3,REG
2016-10-08,Pittsburgh Penguins,Columbus Blue Jackets,Columbus Blue Jackets,Pittsburgh Penguins,5,3,REG
2016-10-08,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,4,3,REG
2016-10-08,Tampa Bay Lightning,Nashville Predators,Tampa Bay Lightning,Nashville Predators,5,3,REG
2016-10-08,Florida Panthers,New Jersey Devils,Florida Panthers,New Jersey Devils,4,2,REG
2016-10-09,Minnesota Wild,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,5,1,REG
2016-10-09,St. Louis Blues,Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,2,1,REG
2016-10-09,Edmonton Oilers,Vancouver Canucks,Vancouver Canucks,Edmonton Oilers,3,2,REG
2016-10-09,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche,Los Angeles Kings,2,1,OT
2016-10-09,Washington Capitals,New York Islanders,Washington Capitals,New York Islanders,4,0,REG
2016-10-10,Anaheim Ducks,San Jose Sharks,Anaheim Ducks,San Jose Sharks,3,2,OT
2016-10-12,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,5,4,OT
2016-10-13,Chicago Blackhawks,St. Louis Blues,St. Louis Blues,Chicago Blackhawks,5,2,REG
2016-10-13,Edmonton Oilers,Calgary Flames,Edmonton Oilers,Calgary Flames,7,4,REG
2016-10-13,San Jose Sharks,Los Angeles Kings,San Jose Sharks,Los Angeles Kings,2,1,REG
2016-10-13,Buffalo Sabres,Montreal Canadiens,Montreal Canadiens,Buffalo Sabres,4,1,REG
2016-10-13,New York Rangers,New York Islanders,New York Rangers,New York Islanders,5,3,REG
2016-10-13,Columbus Blue Jackets,Boston Bruins,Boston Bruins,Columbus Blue Jackets,6,3,REG
2016-10-13,Tampa Bay Lightning,Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,6,4,REG
2016-10-13,Florida Panthers,New Jersey Devils,Florida Panthers,New Jersey Devils,2,1,OT
2016-10-14,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,Washington Capitals,3,2,SO
2016-10-14,St. Louis Blues,Minnesota Wild,St. Louis Blues,Minnesota Wild,3,2,REG
2016-10-14,Winnipeg Jets,Carolina Hurricanes,Winnipeg Jets,Carolina Hurricanes,5,4,OT
