date,home,away,winner,loser,winner_pts,loser_pts,end_type
2023-10-01,Ottawa Senators,Florida Panthers,Ottawa Senators,Florida Panthers,4,2,REG
2023-10-01,Arizona Coyotes,Anaheim Ducks,Anaheim Ducks,Arizona Coyotes,5,4,REG
2023-10-01,Detroit Red Wings,Chicago Blackhawks,Detroit Red Wings,Chicago Blackhawks,5,1,REG
2023-10-01,Colorado Avalanche,Dallas Stars,Colorado Avalanche,Dallas Stars,4,3,OT
2023-10-02,Pittsburgh Penguins,Ottawa Senators,Ottawa Senators,Pittsburgh Penguins,3,0,REG
2023-10-02,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,Boston Bruins,3,1,REG
2023-10-02,New Jersey Devils,New York Islanders,New Jersey Devils,New York Islanders,6,5,REG
2023-10-02,Columbus Blue Jackets,St. Louis Blues,Columbus Blue Jackets,St. Louis Blues,5,3,REG
2023-10-02,Toronto Maple Leafs,Montreal Canadiens,Montreal Canadiens,Toronto Maple Leafs,5,4,OT
2023-10-03,Calgary Flames,Winnipeg Jets,Calgary Flames,Winnipeg Jets,5,4,REG
2023-10-03,Seattle Kraken,Edmonton Oilers,Edmonton Oilers,Seattle Kraken,4,1,REG
2023-10-03,Boston Bruins,Washington Capitals,Washington Capitals,Boston Bruins,5,4,OT
2023-10-03,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Florida Panthers,2,0,REG
2023-10-04,Dallas Stars,Colorado Avalanche,Dallas Stars,Colorado Avalanche,3,1,REG
2023-10-04,Chicago Blackhawks,Detroit Red Wings,Chicago Blackhawks,Detroit Red Wings,4,2,REG
2023-10-04,Los Angeles Kings,Anaheim Ducks,Los Angeles Kings,Anaheim Ducks,4,1,REG
2023-10-04,Vegas Golden Knights,San Jose Sharks,San Jose Sharks,Vegas Golden Knights,2,0,REG
2023-10-04,Columbus Blue Jackets,Buffalo Sabres,Columbus Blue Jackets,Buffalo Sabres,5,3,REG
2023-10-04,Pittsburgh Penguins,Detroit Red Wings,Detroit Red Wings,Pittsburgh Penguins,2,1,REG
2023-10-04,New Jersey Devils,New York Rangers,New Jersey Devils,New York Rangers,5,2,REG
2023-10-05,Edmonton Oilers,Calgary Flames,Edmonton Oilers,Calgary Flames,6,2,REG
2023-10-05,Vancouver Canucks,Seattle Kraken,Seattle Kraken,Vancouver Canucks,2,1,REG
2023-10-05,Columbus Blue Jackets,Washington Capitals,Washington Capitals,Columbus Blue Jackets,4,2,REG
2023-10-05,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,4,3,OT
2023-10-05,Tampa Bay Lightning,Florida Panthers,Florida Panthers,Tampa Bay Lightning,6,3,REG
2023-10-05,Philadelphia Flyers,New York Islanders,Philadelphia Flyers,New York Islanders,5,2,REG
2023-10-05,New York Rangers,Boston Bruins,Boston Bruins,New York Rangers,3,1,REG
2023-10-06,Nashville Predators,Carolina Hurricanes,Nashville Predators,Carolina Hurricanes,5,1,REG
2023-10-06,Dallas Stars,St. Louis Blues,St. Louis Blues,Dallas Stars,4,0,REG
2023-10-06,Winnipeg Jets,Ottawa Senators,Ottawa Senators,Winnipeg Jets,3,0,REG
2023-10-06,Chicago Blackhawks,Minnesota Wild,Minnesota Wild,Chicago Blackhawks,3,2,SO
2023-10-06,Los Angeles Kings,San Jose Sharks,Los Angeles Kings,San Jose Sharks,4,3,OT
2023-10-06,Anaheim Ducks,Arizona Coyotes,Arizona Coyotes,Anaheim Ducks,4,2,REG
2023-10-06,Vegas Golden Knights,Colorado Avalanche,Vegas Golden Knights,Colorado Avalanche,4,3,REG
2023-10-06,Buffalo Sabres,Pittsburgh Penguins,Pittsburgh Penguins,Buffalo Sabres,7,4,REG
2023-10-06,New York Islanders,New Jersey Devils,New Jersey Devils,New York Islanders,3,0,REG
2023-10-06,Carolina Hurricanes,Nashville Predators,Carolina Hurricanes,Nashville Predators,4,1,REG
2023-10-07,Edmonton Oilers,Seattle Kraken,Edmonton Oilers,Seattle Kraken,3,1,REG
2023-10-07,Vancouver Canucks,Calgary Flames,Vancouver Canucks,Calgary Flames,3,1,REG
2023-10-07,Los Angeles Kings,Vegas Golden Knights,Vegas Golden Knights,Los Angeles Kings,7,4,REG
2023-10-07,Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,5,1,REG
2023-10-07,Florida Panthers,Tampa Bay Lightning,Tampa Bay Lightning,Florida Panthers,4,2,REG
2023-10-07,Minnesota Wild,Dallas Stars,Minnesota Wild,Dallas Stars,4,0,REG
