date,home,away,winner,loser,winner_pts,loser_pts,end_type
2019-10-02,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,5,3,REG
2019-10-03,St. Louis Blues,Washington Capitals,Washington Capitals,St. Louis Blues,3,2,OT
2019-10-03,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,3,2,REG
2019-10-03,Vegas Golden Knights,San Jose Sharks,Vegas Golden Knights,San Jose Sharks,4,1,REG
2019-10-03,Carolina Hurricanes,Montreal Canadiens,Carolina Hurricanes,Montreal Canadiens,4,3,SO
2019-10-03,New York Rangers,Winnipeg Jets,New York Rangers,Winnipeg Jets,6,4,REG
2019-10-03,Pittsburgh Penguins,Buffalo Sabres,Buffalo Sabres,Pittsburgh Penguins,3,1,REG
2019-10-03,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Florida Panthers,5,2,REG
2019-10-04,Nashville Predators,Minnesota Wild,Nashville Predators,Minnesota Wild,5,2,REG
2019-10-04,Dallas Stars,Boston Bruins,Boston Bruins,Dallas Stars,2,1,REG
2019-10-04,Colorado Avalanche,Calgary Flames,Colorado Avalanche,Calgary Flames,5,3,REG
2019-10-04,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,2,1,REG
2019-10-04,Philadelphia Flyers,Chicago Blackhawks,Philadelphia Flyers,Chicago Blackhawks,4,3,REG
2019-10-04,Columbus Blue Jackets,Toronto Maple Leafs,Toronto Maple Leafs,Columbus Blue Jackets,4,1,REG
2019-10-04,New Jersey Devils,Winnipeg Jets,Winnipeg Jets,New Jersey Devils,5,4,SO
2019-10-04,New York Islanders,Washington Capitals,Washington Capitals,New York Islanders,2,1,REG
2019-10-05,San Jose Sharks,Vegas Golden Knights,Vegas Golden Knights,San Jose Sharks,5,1,REG
2019-10-05,Buffalo Sabres,New Jersey Devils,Buffalo Sabres,New Jersey Devils,6,2,REG
2019-10-05,Florida Panthers,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,4,3,REG
2019-10-05,Ottawa Senators,New York Rangers,New York Rangers,Ottawa Senators,4,1,REG
2019-10-05,Washington Capitals,Carolina Hurricanes,Carolina Hurricanes,Washington Capitals,3,2,OT
2019-10-05,Toronto Maple Leafs,Montreal Canadiens,Montreal Canadiens,Toronto Maple Leafs,6,5,SO
2019-10-05,Pittsburgh Penguins,Columbus Blue Jackets,Pittsburgh Penguins,Columbus Blue Jackets,6,2,REG
2019-10-06,St. Louis Blues,Dallas Stars,St. Louis Blues,Dallas Stars,3,2,REG
2019-10-06,Nashville Predators,Detroit Red Wings,Detroit Red Wings,Nashville Predators,5,3,REG
2019-10-06,Colorado Avalanche,Minnesota Wild,Colorado Avalanche,Minnesota Wild,4,2,REG
2019-10-06,Calgary Flames,Vancouver Canucks,Calgary Flames,Vancouver Canucks,3,0,REG
2019-10-06,Edmonton Oilers,Los Angeles Kings,Edmonton Oilers,Los Angeles Kings,6,5,REG
2019-10-06,Anaheim Ducks,San Jose Sharks,Anaheim Ducks,San Jose Sharks,3,1,REG
2019-10-06,Carolina Hurricanes,Tampa Bay Lightning,Carolina Hurricanes,Tampa Bay Lightning,4,3,OT
2019-10-06,Detroit Red Wings,Dallas Stars,Detroit Red Wings,Dallas Stars,4,3,REG
2019-10-06,New York Islanders,Winnipeg Jets,New York Islanders,Winnipeg Jets,4,1,REG
2019-10-07,Toronto Maple Leafs,St. Louis Blues,St. Louis Blues,Toronto Maple Leafs,3,2,REG
2019-10-07,Columbus Blue Jackets,Buffalo Sabres,Columbus Blue Jackets,Buffalo Sabres,4,3,OT
2019-10-08,Florida Panthers,Carolina Hurricanes,Carolina Hurricanes,Florida Panthers,6,3,REG
2019-10-08,New York Islanders,Edmonton Oilers,Edmonton Oilers,New York Islanders,5,2,REG
2019-10-08,Pittsburgh Penguins,Winnipeg Jets,Winnipeg Jets,Pittsburgh Penguins,4,1,REG
2019-10-08,Washington Capitals,Dallas Stars,Dallas Stars,Washington Capitals,4,3,OT
2019-10-08,Detroit Red Wings,Anaheim Ducks,Anaheim Ducks,Detroit Red Wings,3,1,REG
2019-10-09,Nashville Predators,San Jose Sharks,Nashville Predators,San Jose Sharks,5,2,REG
2019-10-09,Calgary Flames,Los Angeles Kings,Los Angeles Kings,Calgary Flames,4,3,OT
2019-10-09,Vegas Golden Knights,Boston Bruins,Boston Bruins,Vegas Golden Knights,4,3,REG
2019-10-09,Buffalo Sabres,Montreal Canadiens,Buffalo Sabres,Montreal Canadiens,5,4,OT
2019-10-09,Philadelphia Flyers,New Jersey Devils,Philadelphia Flyers,New Jersey Devils,4,0,REG
2019-10-10,Vancouver Canucks,Los Angeles Kings,Vancouver Canucks,Los Angeles Kings,6,2,REG
2019-10-10,Montreal Canadiens,Detroit Red Wings,Detroit Red Wings,Montreal Canadiens,4,2,REG
2019-10-10,Toronto Maple Leafs,Tampa Bay Lightning,Tampa Bay Lightning,Toronto Maple Leafs,7,3,REG
2019-10-10,New Jersey Devils,Edmonton Oilers,Edmonton Oilers,New Jersey Devils,4,3,SO
2019-10-10,Pittsburgh Penguins,Anaheim Ducks,Pittsburgh Penguins,Anaheim Ducks,2,1,REG
2019-10-10,Ottawa Senators,St. Louis Blues,St. Louis Blues,Ottawa Senators,6,4,REG
2019-10-11,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,Minnesota Wild,5,2,REG
2019-10-11,Nashville Predators,Washington Capitals,Nashville Predators,Washington Capitals,6,5,REG
2019-10-11,Chicago Blackhawks,San Jose Sharks,San Jose Sharks,Chicago Blackhawks,5,4,REG
2019-10-11,Dallas Stars,Calgary Flames,Calgary Flames,Dallas Stars,3,2,SO
2019-10-11,Colorado Avalanche,Boston Bruins,Colorado Avalanche,Boston Bruins,4,2,REG
2019-10-11,Arizona Coyotes,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,4,1,REG
2019-10-11,Buffalo Sabres,Florida Panthers,Buffalo Sabres,Florida Panthers,3,2,SO
2019-10-11,Columbus Blue Jackets,Anaheim Ducks,Anaheim Ducks,Columbus Blue Jackets,2,1,REG
2019-10-11,Carolina Hurricanes,New York Islanders,Carolina Hurricanes,New York Islanders,5,2,REG
2019-10-12,New York Rangers,Edmonton Oilers,Edmonton Oilers,New York Rangers,4,1,REG
2019-10-12,Ottawa Senators,Tampa Bay Lightning,Ottawa Senators,Tampa Bay Lightning,4,2,REG
2019-10-12,Los Angeles Kings,Nashville Predators,Los Angeles Kings,Nashville Predators,7,4,REG
2019-10-12,Boston Bruins,New Jersey Devils,Boston Bruins,New Jersey Devils,3,0,REG
2019-10-12,Montreal Canadiens,St. Louis Blues,Montreal Canadiens,St. Louis Blues,6,3,REG
2019-10-12,Detroit Red Wings,Toronto Maple Leafs,Toronto Maple Leafs,Detroit Red Wings,5,2,REG
2019-10-12,New York Islanders,Florida Panthers,New York Islanders,Florida Panthers,3,2,SO
2019-10-12,Carolina Hurricanes,Columbus Blue Jackets,Columbus Blue Jackets,Carolina Hurricanes,3,2,REG
2019-10-12,Chicago Blackhawks,Winnipeg Jets,Winnipeg Jets,Chicago Blackhawks,3,2,OT
2019-10-13,Dallas Stars,Washington Capitals,Washington Capitals,Dallas Stars,4,1,REG
2019-10-13,Minnesota Wild,Pittsburgh Penguins,Pittsburgh Penguins,Minnesota Wild,7,4,REG
2019-10-13,Colorado Avalanche,Arizona Coyotes,Colorado Avalanche,Arizona Coyotes,3,2,OT
2019-10-13,Vancouver Canucks,Philadelphia Flyers,Vancouver Canucks,Philadelphia Flyers,3,2,SO
2019-10-13,Vegas Golden Knights,Calgary Flames,Vegas Golden Knights,Calgary Flames,6,2,REG
2019-10-13,Winnipeg Jets,Pittsburgh Penguins,Pittsburgh Penguins,Winnipeg Jets,6,2,REG
2019-10-14,Los Angeles Kings,Vegas Golden Knights,Vegas Golden Knights,Los Angeles Kings,5,2,REG
2019-10-14,San Jose Sharks,Calgary Flames,San Jose Sharks,Calgary Flames,3,1,REG
2019-10-14,Boston Bruins,Anaheim Ducks,Boston Bruins,Anaheim Ducks,4,2,REG
2019-10-14,Ottawa Senators,Minnesota Wild,Minnesota Wild,Ottawa Senators,2,0,REG
2019-10-14,New Jersey Devils,Florida Panthers,Florida Panthers,New Jersey Devils,6,4,REG
2019-10-14,New York Islanders,St. Louis Blues,New York Islanders,St. Louis Blues,3,2,OT
