season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2021,1,Tampa Bay Lightning,Atlantic,1718.7,41,19,60,0.683,41-19,Carolina Hurricanes,1642.5,1546.2,NA,2026-06-27T10:05:06Z
2021,2,Vegas Golden Knights,Pacific,1647.5,34,15,49,0.694,34-15,Colorado Avalanche,1619.1,1466.7,NA,2026-06-27T10:05:06Z
2021,3,Carolina Hurricanes,Metropolitan,1642.5,29,18,47,0.617,29-18,Tampa Bay Lightning,1718.7,1549.6,NA,2026-06-27T10:05:06Z
2021,4,Boston Bruins,Atlantic,1619.6,33,17,50,0.66,33-17,New York Islanders,1574.3,1458.4,NA,2026-06-27T10:05:06Z
2021,5,Colorado Avalanche,Central,1619.1,33,16,49,0.673,33-16,Vegas Golden Knights,1647.5,1459,NA,2026-06-27T10:05:06Z
2021,6,Florida Panthers,Atlantic,1616.6,31,18,49,0.633,31-18,Tampa Bay Lightning,1718.7,1552.3,NA,2026-06-27T10:05:06Z
2021,7,Toronto Maple Leafs,Atlantic,1584.3,31,19,50,0.62,31-19,Calgary Flames,1551.6,1503.4,NA,2026-06-27T10:05:06Z
2021,8,New York Islanders,Metropolitan,1574.3,27,22,49,0.551,27-22,Tampa Bay Lightning,1718.7,1504.5,NA,2026-06-27T10:05:06Z
2021,9,Nashville Predators,Central,1559,20,22,42,0.476,20-22,Tampa Bay Lightning,1718.7,1574.8,NA,2026-06-27T10:05:06Z
2021,10,Pittsburgh Penguins,Metropolitan,1553.5,30,20,50,0.6,30-20,Boston Bruins,1619.6,1463.6,NA,2026-06-27T10:05:06Z
2021,11,Calgary Flames,Pacific,1551.6,24,22,46,0.522,24-22,Toronto Maple Leafs,1584.3,1511.1,NA,2026-06-27T10:05:06Z
2021,12,Dallas Stars,Central,1548.2,17,21,38,0.447,17-21,Tampa Bay Lightning,1718.7,1557.8,NA,2026-06-27T10:05:06Z
2021,13,New York Rangers,Metropolitan,1524.4,22,22,44,0.5,22-22,Boston Bruins,1619.6,1457.2,NA,2026-06-27T10:05:06Z
2021,14,Minnesota Wild,Central,1517.7,28,21,49,0.571,28-21,Vegas Golden Knights,1647.5,1489.3,NA,2026-06-27T10:05:06Z
2021,15,Winnipeg Jets,Central,1513,27,22,49,0.551,27-22,Toronto Maple Leafs,1584.3,1516.8,NA,2026-06-27T10:05:06Z
2021,16,Edmonton Oilers,Pacific,1508.4,25,22,47,0.532,25-22,Toronto Maple Leafs,1584.3,1518.4,NA,2026-06-27T10:05:06Z
2021,17,Montreal Canadiens,Atlantic,1491.2,25,33,58,0.431,25-33,Vegas Golden Knights,1647.5,1539.2,NA,2026-06-27T10:05:06Z
2021,18,Chicago Blackhawks,Central,1490.8,17,23,40,0.425,17-23,Tampa Bay Lightning,1718.7,1563,NA,2026-06-27T10:05:06Z
2021,19,Detroit Red Wings,Atlantic,1487.8,14,26,40,0.35,14-26,Tampa Bay Lightning,1718.7,1557.6,NA,2026-06-27T10:05:06Z
2021,20,Ottawa Senators,Atlantic,1486.3,15,23,38,0.395,15-23,Toronto Maple Leafs,1584.3,1518.9,NA,2026-06-27T10:05:06Z
2021,21,Washington Capitals,Metropolitan,1482.9,26,20,46,0.565,26-20,Boston Bruins,1619.6,1487.4,NA,2026-06-27T10:05:06Z
2021,22,St. Louis Blues,Central,1478.6,23,26,49,0.469,23-26,Vegas Golden Knights,1647.5,1472.9,NA,2026-06-27T10:05:06Z
2021,23,Vancouver Canucks,Pacific,1474.4,20,28,48,0.417,20-28,Toronto Maple Leafs,1584.3,1522.6,NA,2026-06-27T10:05:06Z
2021,24,Arizona Coyotes,Central,1448.7,18,22,40,0.45,18-22,Vegas Golden Knights,1647.5,1470.7,NA,2026-06-27T10:05:06Z
2021,25,San Jose Sharks,Pacific,1378.5,19,24,43,0.442,19-24,Colorado Avalanche,1619.1,1457,NA,2026-06-27T10:05:06Z
2021,26,Philadelphia Flyers,Metropolitan,1359.9,20,25,45,0.444,20-25,Boston Bruins,1619.6,1486.3,NA,2026-06-27T10:05:06Z
2021,27,New Jersey Devils,Metropolitan,1355.8,16,29,45,0.356,16-29,Boston Bruins,1619.6,1476.4,NA,2026-06-27T10:05:06Z
2021,28,Columbus Blue Jackets,Metropolitan,1340.8,12,30,42,0.286,12-30,Tampa Bay Lightning,1718.7,1581.9,NA,2026-06-27T10:05:06Z
2021,29,Anaheim Ducks,Pacific,1320.4,11,28,39,0.282,11-28,Colorado Avalanche,1619.1,1466.8,NA,2026-06-27T10:05:06Z
2021,30,Los Angeles Kings,Pacific,1309.3,16,30,46,0.348,16-30,Vegas Golden Knights,1647.5,1478.7,NA,2026-06-27T10:05:06Z
2021,31,Buffalo Sabres,Atlantic,1296.3,10,31,41,0.244,10-31,Boston Bruins,1619.6,1496.1,NA,2026-06-27T10:05:06Z
