season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2019,1,Mississippi St,SEC,1988.6,32,9,41,0.78,32-9,Georgia,1918,1547.6,NA,2026-07-25T09:05:07Z
2019,2,UCLA,Pac-12,1957.2,33,5,38,0.868,33-5,Georgia Tech,1752.8,1404.1,NA,2026-07-25T09:05:07Z
2019,3,Vanderbilt,SEC,1948.2,35,9,44,0.795,35-9,Georgia,1918,1546.9,NA,2026-07-25T09:05:07Z
2019,4,Santa Barbara,Big West,1933.3,18,2,20,0.9,18-2,UC Riverside,1863.4,1362.3,NA,2026-07-25T09:05:07Z
2019,5,Georgia,SEC,1918,30,10,40,0.75,30-10,Vanderbilt,1948.2,1539.3,NA,2026-07-25T09:05:07Z
2019,6,UC Riverside,Big West,1863.4,2,1,3,0.667,2-1,Santa Barbara,1933.3,1933.3,NA,2026-07-25T09:05:07Z
2019,7,Oklahoma St,Big 12,1835.9,16,7,23,0.696,16-7,Baylor,1760.5,1651.5,NA,2026-07-25T09:05:07Z
2019,8,East Carolina,AAC,1825.8,30,8,38,0.789,30-8,Wichita St,1752.7,1450.8,NA,2026-07-25T09:05:07Z
2019,9,Texas Tech,Big 12,1814.8,28,9,37,0.757,28-9,Oklahoma St,1835.9,1522.7,NA,2026-07-25T09:05:07Z
2019,10,Arkansas,SEC,1805,26,11,37,0.703,26-11,Texas A&M,1801.1,1588.3,NA,2026-07-25T09:05:07Z
2019,11,Texas A&M,SEC,1801.1,25,15,40,0.625,25-15,Mississippi St,1988.6,1573.9,NA,2026-07-25T09:05:07Z
2019,12,NC State,ACC,1796.7,28,10,38,0.737,28-10,Boston College,1737.4,1456.1,NA,2026-07-25T09:05:07Z
2019,13,Southern,SWAC/MEAC,1796.7,5,2,7,0.714,5-2,LSU,1756.9,1614.3,NA,2026-07-25T09:05:07Z
2019,14,Ole Miss,SEC,1783.9,24,15,39,0.615,24-15,Arkansas,1805,1658.9,NA,2026-07-25T09:05:07Z
2019,15,Baylor,Big 12,1760.5,15,5,20,0.75,15-5,Dallas Baptist,1698.2,1512.9,NA,2026-07-25T09:05:07Z
2019,16,Little Rock,Sun Belt,1758.7,2,2,4,0.5,2-2,Arkansas,1805,1791.5,NA,2026-07-25T09:05:07Z
2019,17,LSU,SEC,1756.9,27,13,40,0.675,27-13,Mississippi St,1988.6,1559.8,NA,2026-07-25T09:05:07Z
2019,18,Georgia Tech,ACC,1752.8,18,8,26,0.692,18-8,UCLA,1957.2,1624.6,NA,2026-07-25T09:05:07Z
2019,19,Wichita St,AAC,1752.7,2,3,5,0.4,2-3,East Carolina,1825.8,1797.1,NA,2026-07-25T09:05:07Z
2019,20,Michigan,Big Ten,1741.2,14,7,21,0.667,14-7,Vanderbilt,1948.2,1409.1,NA,2026-07-25T09:05:07Z
2019,21,Boston College,ACC,1737.4,6,5,11,0.545,6-5,NC State,1796.7,1671.2,NA,2026-07-25T09:05:07Z
2019,22,Tennessee,SEC,1731.6,23,16,39,0.59,23-16,Mississippi St,1988.6,1566.6,NA,2026-07-25T09:05:07Z
2019,23,Texas Southern,SWAC/MEAC,1723.7,3,2,5,0.6,3-2,Southern,1796.7,1652.3,NA,2026-07-25T09:05:07Z
2019,24,North Florida,ASUN/OVC,1721.4,3,2,5,0.6,3-2,Missouri,1704.8,1652.8,NA,2026-07-25T09:05:07Z
2019,25,UIC,Horizon,1709.4,1,2,3,0.333,1-2,Texas A&M,1801.1,1801.1,NA,2026-07-25T09:05:07Z
2019,26,Virginia,ACC,1708.8,4,8,12,0.333,4-8,NC State,1796.7,1706.5,NA,2026-07-25T09:05:07Z
2019,27,Missouri,SEC,1704.8,24,17,41,0.585,24-17,Vanderbilt,1948.2,1543.5,NA,2026-07-25T09:05:07Z
2019,28,UConn,Big East,1700.9,3,1,4,0.75,3-1,Louisville,1692,1631.7,NA,2026-07-25T09:05:07Z
2019,29,Dallas Baptist,AAC,1698.2,2,1,3,0.667,2-1,TCU,1654.8,1565.6,NA,2026-07-25T09:05:07Z
2019,30,Southern Miss,Sun Belt,1693.2,3,3,6,0.5,3-3,Mississippi St,1988.6,1784.2,NA,2026-07-25T09:05:07Z
2019,31,Louisville,ACC,1692,29,13,42,0.69,29-13,Mississippi St,1988.6,1498.9,NA,2026-07-25T09:05:07Z
2019,32,West Virginia,Big 12,1689.8,13,5,18,0.722,13-5,TCU,1654.8,1415.9,NA,2026-07-25T09:05:07Z
2019,33,Louisiana Tech,Sun Belt,1685.1,1,2,3,0.333,1-2,LSU,1756.9,1595.8,NA,2026-07-25T09:05:07Z
2019,34,Stanford,Pac-12,1682.1,26,7,33,0.788,26-7,UCLA,1957.2,1372.8,NA,2026-07-25T09:05:07Z
2019,35,Florida,SEC,1673.5,21,19,40,0.525,21-19,Mississippi St,1988.6,1659.2,NA,2026-07-25T09:05:07Z
2019,36,Clemson,ACC,1670.1,17,11,28,0.607,17-11,NC State,1796.7,1494.2,NA,2026-07-25T09:05:07Z
2019,37,TCU,Big 12,1654.8,15,14,29,0.517,15-14,Vanderbilt,1948.2,1620.8,NA,2026-07-25T09:05:07Z
2019,38,Arkansas St,Sun Belt,1641.6,3,2,5,0.6,3-2,Ole Miss,1783.9,1639.8,NA,2026-07-25T09:05:07Z
2019,39,USC,Pac-12,1638.8,5,8,13,0.385,5-8,UCLA,1957.2,1757.7,NA,2026-07-25T09:05:07Z
2019,40,Jax State,C-USA,1628.3,2,1,3,0.667,2-1,Georgia,1918,1697.2,NA,2026-07-25T09:05:07Z
2019,41,Oregon St,Pac-12,1624.9,25,12,37,0.676,25-12,UCLA,1957.2,1429.6,NA,2026-07-25T09:05:07Z
2019,42,Florida A&M,SWAC/MEAC,1622.4,5,3,8,0.625,5-3,Norfolk St,1540.6,1509.9,NA,2026-07-25T09:05:07Z
2019,43,Stetson,ASUN/OVC,1619.1,3,2,5,0.6,3-2,Texas Tech,1814.8,1456.3,NA,2026-07-25T09:05:07Z
2019,44,UT Rio Grande,WAC/Southland,1616.5,2,4,6,0.333,2-4,Oklahoma St,1835.9,1798.7,NA,2026-07-25T09:05:07Z
2019,45,California,Pac-12,1614.1,3,5,8,0.375,3-5,Stanford,1682.1,1622.2,NA,2026-07-25T09:05:07Z
2019,46,Wright St,Horizon,1609.7,2,3,5,0.4,2-3,Oklahoma St,1835.9,1815.1,NA,2026-07-25T09:05:07Z
2019,47,UNLV,Mountain West,1609.5,2,2,4,0.5,2-2,Stanford,1682.1,1643.6,NA,2026-07-25T09:05:07Z
2019,48,North Carolina,ACC,1604.4,26,12,38,0.684,26-12,NC State,1796.7,1467.6,NA,2026-07-25T09:05:07Z
2019,49,Tulane,AAC,1602.4,3,4,7,0.429,3-4,East Carolina,1825.8,1768.6,NA,2026-07-25T09:05:07Z
2019,50,Fullerton,Big West,1596.1,5,3,8,0.625,5-3,Virginia,1708.8,1473.8,NA,2026-07-25T09:05:07Z
2019,51,Pitt,ACC,1590.8,4,6,10,0.4,4-6,Georgia Tech,1752.8,1638.2,NA,2026-07-25T09:05:07Z
2019,52,Alabama,SEC,1587.8,19,20,39,0.487,19-20,Arkansas,1805,1611.8,NA,2026-07-25T09:05:07Z
2019,53,Auburn,SEC,1585.8,19,20,39,0.487,19-20,Mississippi St,1988.6,1676.9,NA,2026-07-25T09:05:07Z
2019,54,UT Arlington,Sun Belt,1557.6,2,2,4,0.5,2-2,Baylor,1760.5,1679.9,NA,2026-07-25T09:05:07Z
2019,55,UCF,AAC,1551.1,5,6,11,0.455,5-6,Florida,1673.5,1622.1,NA,2026-07-25T09:05:07Z
2019,56,Kansas,Big 12,1551,4,6,10,0.4,4-6,Texas Tech,1814.8,1612.5,NA,2026-07-25T09:05:07Z
2019,57,Coastal,Sun Belt,1543.8,17,10,27,0.63,17-10,NC State,1796.7,1414.7,NA,2026-07-25T09:05:07Z
2019,58,Kansas St,Big 12,1541.2,3,8,11,0.273,3-8,Texas Tech,1814.8,1755.9,NA,2026-07-25T09:05:07Z
