season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2025,167,Lehigh,NA,1349.6,1,5,6,0.167,1-5,Holy Cross,1557.5,1711,2026-05-21T03:41:59Z
2025,168,North Florida,NA,1347.6,2,9,11,0.182,2-9,Notre Dame,1783.1,1718.7,2026-05-21T03:41:59Z
2025,169,Arkansas St,Sun Belt,1344.1,2,9,11,0.182,2-9,Coastal,2070.8,1827.1,2026-05-21T03:41:59Z
2025,170,Jackson St,NA,1339.9,1,4,5,0.2,1-4,Texas Southern,1117.9,1594.1,2026-05-21T03:41:59Z
2025,171,UT Arlington,NA,1336.2,4,13,17,0.235,4-13,TCU,1789.7,1663.5,2026-05-21T03:41:59Z
2025,172,Milwaukee,NA,1328.3,3,13,16,0.188,3-13,Wright St,1523.7,1584.2,2026-05-21T03:41:59Z
2025,173,Florida A&M,NA,1325.5,3,7,10,0.3,3-7,Grambling,1265.3,1472.5,2026-05-21T03:41:59Z
2025,174,New Mexico St,C-USA,1321.7,2,9,11,0.182,2-9,Texas A&M,1862.1,1742.6,2026-05-21T03:41:59Z
2025,175,St John's,NA,1320.9,2,9,11,0.182,2-9,Louisville,1827.1,1708,2026-05-21T03:41:59Z
2025,176,Portland,NA,1318.6,2,8,10,0.2,2-8,Oregon,1832.2,1836,2026-05-21T03:41:59Z
2025,177,SE Louisiana,NA,1316.9,1,5,6,0.167,1-5,McNeese,1287.5,1687.5,2026-05-21T03:41:59Z
2025,178,Gonzaga,NA,1315.4,5,14,19,0.263,5-14,USC,1694.9,1666.6,2026-05-21T03:41:59Z
2025,179,New Mexico,Mountain West,1312.4,1,2,3,0.333,1-2,Texas Tech,1599.9,1642.2,2026-05-21T03:41:59Z
2025,180,San Diego St,Mountain West,1311.1,1,6,7,0.143,1-6,UNLV,1558,1592.6,2026-05-21T03:41:59Z
2025,181,UIC,NA,1307.8,3,15,18,0.167,3-15,Missouri St,1534.3,1605.8,2026-05-21T03:41:59Z
2025,182,Long Island,NA,1301.1,3,4,7,0.429,3-4,C Connecticut,1411.4,1263.4,2026-05-21T03:41:59Z
2025,183,Davidson,NA,1299.3,2,8,10,0.2,2-8,Saint Joseph's,1133.6,1586.9,2026-05-21T03:41:59Z
2025,184,N Kentucky,NA,1288.9,2,5,7,0.286,2-5,Indiana,1650.2,1619.7,2026-05-21T03:41:59Z
2025,185,CSU Northridge,NA,1287.8,1,13,14,0.071,1-13,BYU,1608.5,1730.2,2026-05-21T03:41:59Z
2025,186,McNeese,NA,1287.5,1,4,5,0.2,1-4,Houston,1601.6,1638.1,2026-05-21T03:41:59Z
2025,187,Bellarmine,NA,1287.2,1,4,5,0.2,1-4,Louisville,1827.1,1728.8,2026-05-21T03:41:59Z
2025,188,North Alabama,NA,1287.2,1,8,9,0.111,1-8,North Florida,1347.6,1785.4,2026-05-21T03:41:59Z
2025,189,Kent State,MAC,1285.3,2,4,6,0.333,2-4,Ohio State,1275.3,1439.7,2026-05-21T03:41:59Z
