season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2026,1,Georgia Tech,ACC,2118.3,46,9,55,0.836,46-9,Georgia,2101.4,1696.5,NA,2026-05-25T11:11:45Z
2026,2,Georgia,SEC,2101.4,45,12,57,0.789,45-12,Auburn,2079,1741,NA,2026-05-25T11:11:45Z
2026,3,UCLA,Big Ten,2083.7,50,6,56,0.893,50-6,Mississippi St,1986.7,1683,NA,2026-05-25T11:11:45Z
2026,4,Auburn,SEC,2079,37,19,56,0.661,37-19,Georgia Tech,2118.3,1802.9,NA,2026-05-25T11:11:45Z
2026,5,Florida,SEC,2013.7,39,18,57,0.684,39-18,Georgia,2101.4,1751.1,NA,2026-05-25T11:11:45Z
2026,6,North Carolina,ACC,1988.8,44,11,55,0.8,44-11,Georgia Tech,2118.3,1647.6,NA,2026-05-25T11:11:45Z
2026,7,Mississippi St,SEC,1986.7,39,17,56,0.696,39-17,Auburn,2079,1736.6,NA,2026-05-25T11:11:45Z
2026,8,Texas A&M,SEC,1983.8,38,14,52,0.731,38-14,Georgia,2101.4,1727.5,NA,2026-05-25T11:11:45Z
2026,9,Kansas,Big 12,1976.4,42,15,57,0.737,42-15,West Virginia,1940.2,1680.4,NA,2026-05-25T11:11:45Z
2026,10,Texas,SEC,1960.3,39,13,52,0.75,39-13,Auburn,2079,1751.3,NA,2026-05-25T11:11:45Z
2026,11,Arkansas,SEC,1948.2,38,20,58,0.655,38-20,Georgia,2101.4,1723.4,NA,2026-05-25T11:11:45Z
2026,12,West Virginia,Big 12,1940.2,38,14,52,0.731,38-14,Kansas,1976.4,1681.6,NA,2026-05-25T11:11:45Z
2026,13,Oregon,Big Ten,1911.6,38,16,54,0.704,38-16,UCLA,2083.7,1636.7,NA,2026-05-25T11:11:45Z
2026,14,Florida St,ACC,1901.7,37,17,54,0.685,37-17,Wake Forest,1897.6,1703.5,NA,2026-05-25T11:11:45Z
2026,15,Jax State,C-USA,1898.8,46,12,58,0.793,46-12,Auburn,2079,1583.3,NA,2026-05-25T11:11:45Z
2026,16,Wake Forest,ACC,1897.6,37,17,54,0.685,37-17,Miami,1816.7,1658,NA,2026-05-25T11:11:45Z
2026,17,Southern Miss,Sun Belt,1895.6,44,14,58,0.759,44-14,Mississippi St,1986.7,1638.1,NA,2026-05-25T11:11:45Z
2026,18,USC,Big Ten,1881.6,41,15,56,0.732,41-15,Oregon,1911.6,1645.7,NA,2026-05-25T11:11:45Z
2026,19,Nebraska,Big Ten,1877.6,41,15,56,0.732,41-15,Auburn,2079,1687.3,NA,2026-05-25T11:11:45Z
2026,20,Oklahoma St,Big 12,1876.8,37,19,56,0.661,37-19,Kansas,1976.4,1665.8,NA,2026-05-25T11:11:45Z
2026,21,Tennessee,SEC,1873.5,37,20,57,0.649,37-20,Georgia,2101.4,1674.1,NA,2026-05-25T11:11:45Z
2026,22,Ole Miss,SEC,1864.9,35,21,56,0.625,35-21,Georgia,2101.4,1750.5,NA,2026-05-25T11:11:45Z
2026,23,Oregon St,WCC,1860.3,42,11,53,0.792,42-11,Oregon,1911.6,1597,NA,2026-05-25T11:11:45Z
2026,24,Arizona St,Big 12,1857.2,36,19,55,0.655,36-19,West Virginia,1940.2,1653.1,NA,2026-05-25T11:11:45Z
2026,25,Alabama,SEC,1847.9,37,18,55,0.673,37-18,Auburn,2079,1757.5,NA,2026-05-25T11:11:45Z
2026,26,Miami,ACC,1816.7,37,18,55,0.673,37-18,Florida St,1901.7,1650.8,NA,2026-05-25T11:11:45Z
2026,27,The Citadel,SoCon,1814.3,12,11,23,0.522,12-11,Liberty,1768.2,1679.1,NA,2026-05-25T11:11:45Z
2026,28,TCU,Big 12,1810.7,32,21,53,0.604,32-21,Kansas,1976.4,1661.5,NA,2026-05-25T11:11:45Z
2026,29,UCF,Big 12,1809.4,30,21,51,0.588,30-21,West Virginia,1940.2,1692.7,NA,2026-05-25T11:11:45Z
2026,30,Vanderbilt,SEC,1808.9,33,24,57,0.579,33-24,Texas A&M,1983.8,1664.4,NA,2026-05-25T11:11:45Z
2026,31,Notre Dame,ACC,1793.9,31,20,51,0.608,31-20,Pitt,1762.4,1647.6,NA,2026-05-25T11:11:45Z
2026,32,CA Baptist,WAC/Southland,1782.7,27,6,33,0.818,27-6,Santa Barbara,1746.6,1495.5,NA,2026-05-25T11:11:45Z
2026,33,East Carolina,AAC,1780,35,21,56,0.625,35-21,North Carolina,1988.8,1610.1,NA,2026-05-25T11:11:45Z
2026,34,Cincinnati,Big 12,1778.3,36,20,56,0.643,36-20,Auburn,2079,1673.2,NA,2026-05-25T11:11:45Z
2026,35,Troy,Sun Belt,1777.5,31,28,59,0.525,31-28,Georgia,2101.4,1671.9,NA,2026-05-25T11:11:45Z
2026,36,Virginia Tech,ACC,1777.1,29,24,53,0.547,29-24,Georgia Tech,2118.3,1691.4,NA,2026-05-25T11:11:45Z
2026,37,UTSA,AAC,1772.5,37,20,57,0.649,37-20,East Carolina,1780,1598.6,NA,2026-05-25T11:11:45Z
2026,38,Kentucky,SEC,1770.8,29,21,50,0.58,29-21,Auburn,2079,1730,NA,2026-05-25T11:11:45Z
2026,39,NC State,ACC,1769.7,30,22,52,0.577,30-22,North Carolina,1988.8,1650.5,NA,2026-05-25T11:11:45Z
2026,40,LSU,SEC,1768.6,29,28,57,0.509,29-28,Tennessee,1873.5,1690.3,NA,2026-05-25T11:11:45Z
2026,41,Liberty,C-USA,1768.2,40,19,59,0.678,40-19,West Virginia,1940.2,1611.5,NA,2026-05-25T11:11:45Z
2026,42,Louisiana,Sun Belt,1766.7,39,22,61,0.639,39-22,Southern Miss,1895.6,1628.5,NA,2026-05-25T11:11:45Z
2026,43,Tarleton St,WAC/Southland,1763.4,7,7,14,0.5,7-7,Texas,1960.3,1731,NA,2026-05-25T11:11:45Z
2026,44,Pitt,ACC,1762.4,32,24,56,0.571,32-24,Georgia Tech,2118.3,1663.9,NA,2026-05-25T11:11:45Z
2026,45,Oklahoma,SEC,1758.1,31,21,52,0.596,31-21,Auburn,2079,1752.2,NA,2026-05-25T11:11:45Z
2026,46,Santa Barbara,Big West,1746.6,37,18,55,0.673,37-18,UCLA,2083.7,1593,NA,2026-05-25T11:11:45Z
2026,47,Yale,Ivy League,1742.7,5,1,6,0.833,5-1,Columbia,1429,1370.3,NA,2026-05-25T11:11:45Z
2026,48,Morehead St,ASUN/OVC,1740.9,9,2,11,0.818,9-2,Kentucky,1770.8,1456,NA,2026-05-25T11:11:45Z
2026,49,Samford,SoCon,1740.6,8,11,19,0.421,8-11,Jax State,1898.8,1791.3,NA,2026-05-25T11:11:45Z
2026,50,Dallas Baptist,AAC,1736.3,30,26,56,0.536,30-26,Jax State,1898.8,1623.5,NA,2026-05-25T11:11:45Z
2026,51,Campbell,Big South,1729.5,40,17,57,0.702,40-17,East Carolina,1780,1493.4,NA,2026-05-25T11:11:45Z
2026,52,Minnesota,Big Ten,1726.9,29,23,52,0.558,29-23,Kansas,1976.4,1632.5,NA,2026-05-25T11:11:45Z
2026,53,Ohio State,Big Ten,1724.3,29,24,53,0.547,29-24,Nebraska,1877.6,1640.9,NA,2026-05-25T11:11:45Z
2026,54,Kansas St,Big 12,1722.4,29,27,56,0.518,29-27,Nebraska,1877.6,1712.3,NA,2026-05-25T11:11:45Z
2026,55,Coastal,Sun Belt,1721.3,36,21,57,0.632,36-21,North Carolina,1988.8,1653.5,NA,2026-05-25T11:11:45Z
