season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2022,267,Marist,MAAC,1118.6,0,4,4,0,0-4,NA,NA,1652.9,NA,2026-09-07T04:02:07Z,1118.6,2026-09-03,0
2022,268,Butler,Big East,1113.7,1,9,10,0.1,1-9,Northwestern,1434.8,1708.7,NA,2026-09-07T04:02:07Z,1113.7,2026-09-03,0
2022,269,Rice,AAC,1112.9,0,11,11,0,0-11,NA,NA,1832.3,NA,2026-09-07T04:02:07Z,1112.9,2026-09-03,0
2022,270,St Thomas,Other D1,1108.1,1,5,6,0.167,1-5,Minnesota,1217.6,1366.6,NA,2026-09-07T04:02:07Z,1108.1,2026-09-03,0
2022,271,Wagner,NEC,1103.5,0,7,7,0,0-7,NA,NA,1712.1,NA,2026-09-07T04:02:07Z,1103.5,2026-09-03,0
2022,272,Alabama A&M,SWAC/MEAC,1100.9,1,1,2,0.5,1-1,Alabama St,1350.1,1741,NA,2026-09-07T04:02:07Z,1100.9,2026-09-03,0
2022,273,Morehead St,ASUN/OVC,1095.5,0,6,6,0,0-6,NA,NA,1684.9,NA,2026-09-07T04:02:07Z,1095.5,2026-09-03,0
2022,274,UC Riverside,Big West,1087.3,0,8,8,0,0-8,NA,NA,1726.7,NA,2026-09-07T04:02:07Z,1087.3,2026-09-03,0
2022,275,Merrimack,NEC,1081.8,0,6,6,0,0-6,NA,NA,1728,NA,2026-09-07T04:02:07Z,1081.8,2026-09-03,0
2022,276,N Colorado,Other D1,1037.8,0,8,8,0,0-8,NA,NA,1590.7,NA,2026-09-07T04:02:07Z,1037.8,2026-09-03,0
2022,277,Little Rock,Sun Belt,1017.7,0,7,7,0,0-7,NA,NA,1708.1,NA,2026-09-07T04:02:07Z,1017.7,2026-09-03,0
2022,278,Holy Cross,Patriot,992.3,0,3,3,0,0-3,NA,NA,1380.9,NA,2026-09-07T04:02:07Z,992.3,2026-09-03,0
2022,279,Texas Southern,SWAC/MEAC,982.4,0,5,5,0,0-5,NA,NA,1461.2,NA,2026-09-07T04:02:07Z,982.4,2026-09-03,0
2022,280,UT Martin,ASUN/OVC,925,1,1,2,0.5,1-1,Alabama,1828.5,1746.5,NA,2026-09-07T04:02:07Z,925,2026-09-03,0
2022,281,W Illinois,Summit,904.9,0,5,5,0,0-5,NA,NA,1426.7,NA,2026-09-07T04:02:07Z,904.9,2026-09-03,0
2022,282,Fresno St,Mountain West,736.8,0,2,2,0,0-2,NA,NA,1478.6,NA,2026-09-07T04:02:07Z,736.8,2026-09-03,0
2022,283,CA Baptist,WAC/Southland,728.5,0,2,2,0,0-2,NA,NA,1704.3,NA,2026-09-07T04:02:07Z,728.5,2026-09-03,0
2022,284,N Illinois,MAC,727.6,0,2,2,0,0-2,NA,NA,1691.8,NA,2026-09-07T04:02:07Z,727.6,2026-09-03,0
2022,285,Lafayette,Patriot,721.4,0,2,2,0,0-2,NA,NA,1793.2,NA,2026-09-07T04:02:07Z,721.4,2026-09-03,0
2022,286,Fairfield,MAAC,718.6,0,2,2,0,0-2,NA,NA,1365,NA,2026-09-07T04:02:07Z,718.6,2026-09-02,0
2022,287,Norfolk St,SWAC/MEAC,717.3,0,2,2,0,0-2,NA,NA,1398.8,NA,2026-09-07T04:02:07Z,717.3,2026-09-03,0
2022,288,Lehigh,Patriot,705.9,0,2,2,0,0-2,NA,NA,1289.9,NA,2026-09-07T04:02:07Z,705.9,2026-09-03,0
2022,289,Mount St Marys,Other D1,704.4,0,2,2,0,0-2,NA,NA,1484.4,NA,2026-09-07T04:02:07Z,704.4,2026-09-03,0
2022,290,FDU,NEC,688.1,0,2,2,0,0-2,NA,NA,1315.4,NA,2026-09-07T04:02:07Z,688.1,2026-09-02,0
2022,291,Loras,Other D1,659.7,1,0,1,1,1-0,Iowa,1676.9,1676.9,NA,2026-09-07T04:02:07Z,659.7,2026-09-03,0
2022,292,St Bonaventure,A-10,370.6,0,1,1,0,0-1,NA,NA,1464.8,NA,2026-09-07T04:02:07Z,370.6,2026-09-03,0
2022,293,UC Davis,Big West,370.6,0,1,1,0,0-1,NA,NA,1942.5,NA,2026-09-07T04:02:07Z,370.6,2026-09-03,0
2022,294,Navy,AAC,370.5,0,1,1,0,0-1,NA,NA,1792,NA,2026-09-07T04:02:07Z,370.5,2026-09-03,0
2022,295,Alcorn St,SWAC/MEAC,370.2,0,1,1,0,0-1,NA,NA,2100.2,NA,2026-09-07T04:02:07Z,370.2,2026-09-03,0
2022,296,Saint Peter's,Other D1,368.7,0,1,1,0,0-1,NA,NA,1732.6,NA,2026-09-07T04:02:07Z,368.7,2026-09-03,0
2022,297,Sacred Heart,MAAC,368.6,0,1,1,0,0-1,NA,NA,1424.3,NA,2026-09-07T04:02:07Z,368.6,2026-09-03,0
2022,298,Roosevelt,Other D1,367.6,0,1,1,0,0-1,NA,NA,1434.8,NA,2026-09-07T04:02:07Z,367.6,2026-09-03,0
2022,299,Manhattan,MAAC,365.2,0,1,1,0,0-1,NA,NA,1899.4,NA,2026-09-07T04:02:07Z,365.2,2026-09-03,0
